"","X1","lakeid","year4","sample_date","species_code","species_name","density","individuals_measured","avg_length","group"
"1",4,"SP",1981,"6/4/81",30000,"CALANOID",5.22,NA,NA,"iceoff"
"2",26,"SP",1981,"6/30/81",30000,"CALANOID",0.85,NA,NA,"iceoff"
"3",45,"SP",1981,"7/16/81",30000,"CALANOID",0.52,NA,NA,"iceoff"
"4",63,"SP",1981,"7/27/81",30000,"CALANOID",0.56,NA,NA,"iceoff"
"5",79,"SP",1981,"8/11/81",30000,"CALANOID",0.21,NA,NA,"iceoff"
"6",105,"SP",1981,"8/25/81",30000,"CALANOID",1.03,NA,NA,"iceoff"
"7",123,"SP",1981,"9/15/81",30000,"CALANOID",0.58,NA,NA,"iceoff"
"8",163,"SP",1981,"12/2/81",30000,"CALANOID",0.08,NA,NA,"iceoff"
"9",224,"SP",1982,"5/27/82",30000,"CALANOID",1.44,NA,NA,"iceoff"
"10",252,"SP",1982,"6/10/82",30000,"CALANOID",0.95,NA,NA,"iceoff"
"11",281,"SP",1982,"7/8/82",30000,"CALANOID",1.88,NA,NA,"iceoff"
"12",296,"SP",1982,"8/2/82",30000,"CALANOID",0.39,NA,NA,"iceoff"
"13",314,"SP",1982,"8/17/82",30000,"CALANOID",0.48,NA,NA,"iceoff"
"14",370,"SP",1982,"11/10/82",30000,"CALANOID",0.05,NA,NA,"iceoff"
"15",420,"SP",1983,"6/9/83",30000,"CALANOID",3.18,NA,NA,"iceoff"
"16",442,"SP",1983,"6/21/83",30000,"CALANOID",2.41,NA,NA,"iceoff"
"17",470,"SP",1983,"7/8/83",30000,"CALANOID",2.23,NA,NA,"iceoff"
"18",494,"SP",1983,"7/21/83",30000,"CALANOID",0.85,NA,NA,"iceoff"
"19",878,"SP",1985,"5/15/85",30000,"CALANOID",1.39,NA,NA,"iceoff"
"20",1631,"SP",1987,"9/21/87",30000,"CALANOID",1.8,NA,NA,"iceoff"
"21",1789,"SP",1988,"5/24/88",30000,"CALANOID",11.29,NA,NA,"iceoff"
"22",1809,"SP",1988,"6/21/88",30000,"CALANOID",0.96,NA,NA,"iceoff"
"23",1861,"SP",1988,"8/1/88",30000,"CALANOID",1.82,NA,NA,"iceoff"
"24",1888,"SP",1988,"8/16/88",30000,"CALANOID",0.58,NA,NA,"iceoff"
"25",1916,"SP",1988,"8/29/88",30000,"CALANOID",2.45,NA,NA,"iceoff"
"26",1944,"SP",1988,"9/12/88",30000,"CALANOID",0.98,NA,NA,"iceoff"
"27",2090,"SP",1989,"5/17/89",30000,"CALANOID",4,NA,NA,"iceoff"
"28",2108,"SP",1989,"5/30/89",30000,"CALANOID",0.92,NA,NA,"iceoff"
"29",2132,"SP",1989,"6/13/89",30000,"CALANOID",0.86,NA,NA,"iceoff"
"30",2156,"SP",1989,"6/26/89",30000,"CALANOID",17.21,NA,NA,"iceoff"
"31",2177,"SP",1989,"7/10/89",30000,"CALANOID",34.55,NA,NA,"iceoff"
"32",2223,"SP",1989,"8/8/89",30000,"CALANOID",4.18,NA,NA,"iceoff"
"33",2411,"SP",1990,"8/21/90",30000,"CALANOID",5.3,"10","0.52","iceoff"
"34",2466,"SP",1991,"5/7/91",30000,"CALANOID",7.7,"10","0.58","iceoff"
"35",2482,"SP",1991,"6/19/91",30000,"CALANOID",10.4,"16","0.55","iceoff"
"36",2559,"SP",1992,"6/15/92",30000,"CALANOID",2.2,"4","0.56","iceoff"
"37",2578,"SP",1992,"8/24/92",30000,"CALANOID",1,"2","0.67","iceoff"
"38",2629,"SP",1993,"5/4/93",30000,"CALANOID",1.1,"2","0.51","iceoff"
"39",2666,"SP",1993,"8/23/93",30000,"CALANOID",3.7,"7","0.58","iceoff"
"40",2689,"SP",1993,"11/10/93",30000,"CALANOID",1,"1","0.59","iceoff"
"41",2726,"SP",1994,"5/5/94",30000,"CALANOID",1.6,"3","0.56","iceoff"
"42",2741,"SP",1994,"6/15/94",30000,"CALANOID",0.5,"1","0.41","iceoff"
"43",2758,"SP",1994,"8/24/94",30000,"CALANOID",10.9,"7","0.65","iceoff"
"44",2864,"SP",1995,"11/13/95",30000,"CALANOID",0.5,NA,NA,"iceoff"
"45",3163,"SP",1999,"5/4/99",30000,"CALANOID",0.5,NA,NA,"iceoff"
"46",3401,"SP",2001,"5/14/01",30000,"CALANOID",5.3,NA,NA,"iceoff"
"47",3556,"SP",2001,"9/4/01",30000,"CALANOID",3.7,NA,NA,"iceoff"
