group,year,month,sampledate,Genus,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,InchesSnow,whiteice,blackice,totalice,# of Transects,Start XY,End XY,,,,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage,,
iceon,1997,1,1/14/97,Limnothrix,6808,100,5.642771,38415.98497,0.653168238,11,26,11,37,1,,,,,,,,,,,,
iceon,1997,1,1/14/97,Microcystis,1830,,3.156457729,5776.317644,0.098211909,11,26,11,37,,,,,,,,,,,,,
iceon,1997,1,1/14/97,Peanut,47,,84.9851,3994.2997,0.067913128,11,26,11,37,,,,,,,,,,,,,
iceon,1997,1,1/14/97,Cyclotella,1,,113.0973355,113.0973355,0.001922939,11,26,11,37,,,,,,,,,,,,,
iceon,1997,1,1/14/97,unID cyanobacteria (colony),7,,157.8228865,1104.760206,0.018783698,11,26,11,37,,,,,,,,,,,,,
iceon,1997,1,1/14/97,Cyclostephanos invisitatus,2,,94.247,188.494,0.003204871,11,26,11,37,,,,,,,,,,,,,
iceon,1997,1,1/14/97,Naked Dinoflagellate,1,,7003.540037,7003.540037,0.119077772,11,26,11,37,,,,,,,,,,,,,
iceon,1997,1,1/14/97,Cryptomonas,5,,195.2354,976.177,0.016597461,11,26,11,37,,,,,,,,,,,,,
iceon,1997,1,1/14/97,Cf. Komvophoron / Trichormus,127,,9.7808535,1242.168395,0.021119983,11,26,11,37,,,,,,,,,,,,,
iceon,1997,1,1/14/97,TotalBiovolume,,,,58814.83928,,11,26,11,37,,,,,,,,,,,,,
iceon,1997,2,2/17/97,Limnothrix,229,100,5.642771,1292.194559,0.751195007,24.5,26,14,40,0,,,,,,,7,,,,,
iceon,1997,2,2/17/97,Microcystis,117,,3.156457729,369.3055543,0.214689411,24.5,26,14,40,,,,,,,,,,,,,
iceon,1997,2,2/17/97,Cf. Komvophoron / Trichormus,6,,9.7808535,58.685121,0.034115582,24.5,26,14,40,,,,,,,,,,,,,
iceon,1997,2,2/17/97,TotalBiovolume,,,,1720.185234,,24.5,26,14,40,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Limnothrix,86,100,5.642771,485.278306,0.000876584,,,,,1,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Microcystis,270,,3.156457729,852.2435868,0.001539453,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Cf. Komvophoron / Trichormus,144,,9.7808535,1408.442904,0.002544145,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Cf. Planktolyngabia,20,,314.1592654,6283.185307,0.01134965,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Small cocconeis,83,,152.6421331,12669.29705,0.02288522,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Peanut,11,,84.9851,934.8361,0.001688644,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Rhoicosphenia,1,,6568.57089,6568.57089,0.011865157,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Cyclotella,5,,113.0973355,565.4866776,0.001021468,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Cyclostephanos invisitatus,1,,94.247,94.247,0.000170243,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Cryptomonad,217,,195.2354,42366.0818,0.076528091,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Naked Dinoflagellate,43,,7003.540037,301152.2216,0.543987165,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Armored Dinoflagellate,206,,874.8631698,180221.813,0.32554418,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,TotalBiovolume,,,,553601.7042,,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Sellaphora,1,,120,120,0.000992944,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Diatoma mesodon,1,,530.1437603,530.1437603,0.00438669,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Small cocconeis,4,,152.6421331,610.5685324,0.005052168,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Navicula,2,,186.6048309,373.2096619,0.003088134,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Limnothrix,8,,5.642771,45.142168,0.00037353,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Dinobryon,57,,1034.087,58942.959,0.487725274,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Microcystis,184,,3.156457729,580.7882221,0.004805749,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Cryptomonad,65,,195.2354,12690.301,0.105006275,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Naked Dinoflagellate,5,,7003.540037,35017.70018,0.289755006,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Armored Dinoflagellate,9,,874.8631698,7873.768528,0.065151733,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Cyclotella,18,,113.0973355,2035.75204,0.016844891,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Cyclostephanos invisitatus,1,,94.247,94.247,0.00077985,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Small Cocconeis,12,,152.6421331,1831.705597,0.015156503,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Cf. Elakatothrix,41,,2.597609,106.501969,0.000881254,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,TotalBiovolume,,,,120852.7877,,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Cf. Planktolyngabia,14,100,314.1592654,4398.229715,0.059432529,,,,,1,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Nostoc,1,,195.61707,195.61707,0.00264334,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Peanut,2,,84.9851,169.9702,0.002296778,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Limnothrix,213,,5.642771,1201.910223,0.016241208,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Microcystis,478,,3.156457729,1508.786794,0.020387979,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Cf. Komvophoron / Trichormus,161,,9.7808535,1574.717414,0.021278888,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Cryptomonad,60,,195.2354,11714.124,0.158290963,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Naked Dinoflagellate,5,,7003.540037,35017.70018,0.47318822,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Armored Dinoflagellate,7,,874.8631698,6124.042189,0.082753139,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Cyclotella,5,,113.0973355,565.4866776,0.007641325,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Small Cocconeis,74,,152.6421331,11295.51785,0.152634409,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Cf. Elakatothrix,21,,2.597609,54.549789,0.000737122,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Cyclostephanos invisitatus,1,,94.247,94.247,0.001273544,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Lindavia,2,,44.42277385,88.84554771,0.001200555,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,TotalBiovolume,,,,74003.74465,,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Cf. Craspedostauros,1,100,,0,0,,,,,1,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Cyclostephanos invisitatus,4,,94.247,376.988,0.002926165,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Microcystis,83,,3.156457729,261.9859915,0.002033524,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Limnothrix,146,,5.642771,823.844566,0.006394647,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Cf. Komvophoron / Trichormus,28,,9.7808535,273.863898,0.00212572,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Cryptomonad,97,,195.2354,18937.8338,0.146994684,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Naked Dinoflagellate,12,,7003.540037,84042.48044,0.652334262,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Armored Dinoflagellate,12,,874.8631698,10498.35804,0.081487821,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Lindavia,1,,44.42277385,44.42277385,0.000344808,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Cyanobacterium diachloros,55,,87.26957,4799.82635,0.037256054,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Dinobryon,2,,1034.087,2068.174,0.016053081,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Fragilaria crototensis,4,,311.155,1244.62,0.009660689,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Cf. Elakatothrix,2,,2.597609,5.195218,4.03251E-05,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,Asterionella,10,,545.5867498,5455.867498,0.042348218,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,TotalBiovolume,,,,128833.4606,,,,,,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Cf. Planktolyngabia,5,100,314.1592654,1570.796327,0.008306377,0,11,24,35,1,,,,,,,,,,,,
iceon,1998,2,2/23/98,Limnothrix,1522,,5.642771,8588.297462,0.04541495,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Microcystis,998,,3.156457729,3150.144814,0.016657978,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Cf. Komvophoron / Trichormus,295,,9.7808535,2885.351783,0.015257751,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Cryptomonad,75,,195.2354,14642.655,0.077430417,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Naked Dinoflagellate,18,,7003.540037,126063.7207,0.666625446,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Armored Dinoflagellate,21,,874.8631698,18372.12657,0.097151877,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Cf. Merispomedia,188,,3,564,0.002982434,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Cf. Komvophoron / Trichormus,13,,9.7808535,127.1510955,0.000672375,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Cyclostephanos invisitatus,1,,94.247,94.247,0.000498379,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Fragilaria crototensis,19,,311.155,5911.945,0.031262388,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Dinobryon,2,,1034.087,2068.174,0.010936512,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Cyanobacterium diachloros,56,,87.26957,4887.09592,0.025842982,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Cf. Cavinula,1,,131.95,131.95,0.000697752,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Cf. Elakatothrix,2,,2.597609,5.195218,2.74723E-05,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,Lindavia,1,,44.42277385,44.42277385,0.000234908,0,11,24,35,,,,,,,,,,,,,
iceon,1998,2,2/23/98,TotalBiovolume,,,,189107.2736,,0,11,24,35,,,,,,,,,,,,,
iceon,1998,4,4/20/98,Fragilaria crototensis,12,100,311.155,3733.86,0.020553037,,,,,1,,,,,,,,,,,,
iceon,1998,4,4/20/98,Peanut,2,,84.9851,169.9702,0.000935601,,,,,,,,,,,,,,,15%,,
iceon,1998,4,4/20/98,Fragilaria intermedia,4,,311.155,1244.62,0.006851012,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,Cf. Komvophoron / Trichormus,6,,9.7808535,58.685121,0.000323032,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,Asterionella formosa,1,,545.5867498,545.5867498,0.003003183,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,Cf. Planktolyngabia,2,,314.1592654,628.3185307,0.00345858,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,Limnothrix,52,,5.642771,293.424092,0.001615153,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,Cryptomonad,109,,195.2354,21280.6586,0.117139414,,,,,,228.25,,,,,,,,,,,
iceon,1998,4,4/20/98,Naked Dinoflagellate,12,,7003.540037,84042.48044,0.462611949,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,Armored Dinoflagellate,71,,874.8631698,62115.28506,0.341913672,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,Dinobryon,7,,1034.087,7238.609,0.039844933,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,Cf. Merispomedia,106,,3,318,0.001750431,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,TotalBiovolume,,,,181669.4978,,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Asterionella,20,100,545.5867498,10911.735,0.064985716,,,,,1,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Cf. Planktolyngabia,18,,314.1592654,5654.866776,0.033678014,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Peanut,12,,84.9851,1019.8212,0.006073627,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Microcystis,470,,3.156457729,1483.535132,0.008835313,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Cyclostephanos invisitatus,2,,94.247,188.494,0.001122591,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Diploneis,1,,241.4706653,241.4706653,0.001438098,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Cf. Encyonema,1,,47.63282781,47.63282781,0.000283681,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Limnothrix,384,,5.642771,2166.824064,0.012904695,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Cf. Komvophoron / Trichormus,392,,9.7808535,3834.094572,0.022834259,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Cryptomonad,127,,195.2354,24794.8958,0.147667997,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Naked Dinoflagellate,11,,7003.540037,77038.9404,0.458811608,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Armored Dinoflagellate,15,,874.8631698,13122.94755,0.07815477,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Cyanobacterium diachloros,40,,87.26957,3490.7828,0.020789638,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Dinobryon,21,,1034.087,21715.827,0.129330355,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Fragilaria crototensis,7,,311.155,2178.085,0.01297176,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Cf. Merispomedia,4,,3,12,7.1467E-05,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,Cf. Elakatothrix,3,,2.597609,7.792827,4.64108E-05,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,TotalBiovolume,,,,167909.7456,,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,Cf. Elakatothrix,36,100,2.597609,93.513924,0.000457466,,,,,1,,,,,,,,,,,,
