group,year,month,sampledate,Genus,TotalCellCount,FromGroup,TotalBiovolume,Chloro,CellBioVol,PerBioVol,InchesSnow,whiteice
iceon,1997,1,1/14/97,iceon TotalCellCount,8828,8828,,1.3,,,11,26
iceon,1997,2,2/17/97,iceon TotalCellCount,352,352,,0.9,,,24.5,26
iceoff,1997,5,5/6/97,iceoff TotalCellCount,1087,1087,,7.3,,,,
iceoff,1997,6,6/18/97,iceoff TotalCellCount,408,408,,1,,,,
iceoff,1997,8,8/28/97,iceoff TotalCellCount,1044,1044,,0.5,,,,
iceoff,1997,11,11/10/97,iceoff TotalCellCount,457,457,,1.8,,,,
iceon,1998,2,2/23/98,iceon TotalCellCount,3217,3217,,0.7,,,0,11
iceon,1998,4,4/20/98,iceon TotalCellCount,384,384,,NA,,,,
iceoff,1998,6,6/15/98,iceoff TotalCellCount,1528,1528,,0.9,,,,
iceoff,1997,7,7/14/97,iceoff TotalCellCount,1644,1644,,0,,,,
iceoff,1998,8,8/12/98,iceoff TotalCellCount,1818,1818,,1,,,,
iceoff,1998,11,11/12/98,iceoff TotalCellCount,1008,1008,,3.9,,,,
iceon,1999,2,2/23/99,iceoff TotalCellCount,461,461,,5.1,,,9,14
iceoff,1999,5,5/4/99,iceoff TotalCellCount,381,381,,3.3,,,,
iceoff,1999,7,7/1/99,iceoff TotalCellCount,314,314,,1.3,,,,
iceoff,1999,8,8/23/99,iceoff TotalCellCount,482,482,,1.7,,,,
iceoff,1999,11,11/10/99,iceoff TotalCellCount,404,404,,15.2,,,,
iceon,2000,2,2/22/00,iceon TotalCellCount,77,77,,4.3,,,0,2
iceon,2000,4,4/6/00,iceon TotalCellCount,289,289,,10.9,,,,
iceoff,2000,5,5/30/00,iceoff TotalCellCount,369,369,,0.7,,,,
iceoff,2000,7,7/26/00,iceoff TotalCellCount,254,254,,1.8,0,#REF!,,
iceoff,2000,8,8/21/00,iceoff TotalCellCount,402.8,402.8,,NA,,,,
iceoff,2000,11,11/16/00,iceoff TotalCellCount,275,275,,6,,,,
iceon,2001,2,2/28/01,iceoff TotalCellCount,189,189,,2.2,,,15.7,23
iceoff,2001,4,4/30/01,iceoff TotalCellCount,107,107,,11,,,,
iceoff,2001,5,5/29/01,iceoff TotalCellCount,174,174,,0.5,,,,
