group,year,month,sampledate,Genus,TotalCellCount,Magnification,TotalBiovolume,CellBioVol,PerBioVol,InchesSnow,whiteice,blackice,totalice,# of Transects,Start XY,End XY,,,,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage,,,,,,
iceon,1997,1,1/14/97,TotalCellCount,8828,8828,,,,11,26,11,37,,,,,,,,,,,,,,,,,
iceon,1997,1,1/14/97,TotalBiovolume,,58814.8393,58814.8393,,,11,26,11,37,,,,,,,,,,,,,,,,,
iceon,1997,2,2/17/97,TotalCellCount,352,352,,,,24.5,26,14,40,,,,,,,,,,,,,,,,,
iceon,1997,2,2/17/97,TotalBiovolume,,1720.185234,1720.185234,,,24.5,26,14,40,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,TotalCellCount,1087,1087,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,TotalBiovolume,,553601.7042,553601.7042,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,TotalCellCount,408,408,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,TotalBiovolume,,120852.7877,120852.7877,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,TotalCellCount,1044,1044,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,TotalBiovolume,,74003.74465,74003.74465,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,TotalCellCount,457,457,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,11,11/10/97,TotalBiovolume,,128833.4606,128833.4606,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,2,2/23/98,TotalCellCount,3217,3217,,,,0,11,24,35,,,,,,,,,,,,,,,,,
iceon,1998,2,2/23/98,TotalBiovolume,,189107.2736,189107.2736,,,0,11,24,35,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,TotalCellCount,384,384,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1998,4,4/20/98,TotalBiovolume,,181669.4978,181669.4978,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,TotalCellCount,1528,1528,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,6,6/15/98,TotalBiovolume,,167909.7456,167909.7456,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,TotalCellCount,1644,1644,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,7,7/14/97,TotalBiovolume,,204417.0737,204417.0737,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,TotalCellCount,1818,1818,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,8,8/12/98,TotalBiovolume,,193824.5165,193824.5165,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,TotalCellCount,1008,1008,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1998,11,11/12/98,TotalBiovolume,,147520.6467,147520.6467,,,,,,,,,,,,,,,,,,,,,,,
iceon,1999,2,2/23/99,TotalCellCount,461,461,,,,9,14,27,41,,,,,,,,,,,,,,,,,
iceon,1999,2,2/23/99,TotalBiovolume,,83274.68798,83274.68798,,,9,14,27,41,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,TotalCellCount,381,381,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,5,5/4/99,TotalBiovolume,,227305.348,227305.348,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,TotalCellCount,314,314,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,7,7/1/99,TotalBiovolume,,74952.73654,74952.73654,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,8,8/23/99,TotalCellCount,482,482,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,8,8/23/99,TotalBiovolume,,58570.67871,58570.67871,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,11,11/10/99,TotalCellCount,404,404,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1999,11,11/10/99,TotalBiovolume,,29393.12457,29393.12457,,,,,,,,,,,,,,,,,,,,,,,
iceon,2000,2,2/22/00,TotalCellCount,77,77,,,,0,2,34,36,,,,,,,,,,,,,,,,,
iceon,2000,2,2/22/00,TotalBiovolume,,19235.34559,19235.34559,,,0,2,34,36,,,,,,,,,,,,,,,,,
iceon,2000,4,4/6/00,TotalCellCount,289,289,,,,,,,,,,,,,,,,,,,,,,,,
iceon,2000,4,4/6/00,TotalBiovolume,,128642.492,128642.492,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,5,5/30/00,TotalCellCount,369,369,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,5,5/30/00,TotalBiovolume,,306599.4631,306599.4631,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,7,7/26/00,TotalCellCount,254,254,,0,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,7,7/26/00,TotalBiovolume,,77778.75809,77778.75809,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,8,8/21/00,TotalCellCount,402.8,402.8,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,8,8/21/00,TotalBiovolume,,76589.00186,76589.00186,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,11,11/16/00,TotalCellCount,275,275,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2000,11,11/16/00,TotalBiovolume,,95748.80998,95748.80998,,,,,,,,,,,,,,,,,,,,,,,
iceon,2001,2,2/28/01,TotalCellCount,189,189,,,,15.7,23,21,22,,,,,,,,,,,,,,,,,
iceon,2001,2,2/28/01,TotalBiovolume,,21262.77994,21262.77994,,,15.7,23,21,22,,,,,,,,,,,,,,,,,
iceoff,2001,4,4/30/01,TotalCellCount,107,107,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,4,4/30/01,TotalBiovolume,,28410.14551,28410.14551,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,5,5/29/01,TotalCellCount,174,174,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,2001,5,5/29/01,TotalBiovolume,,41235.72366,41235.72366,,,,,,,,,,,,,,,,,,,,,,,
