lakeid,year4,sampledate,depth,chlor
SP,1990,1/17/90,0,2.8
SP,1990,2/19/90,0,2.1
SP,1990,3/28/90,0,0.7
SP,1990,4/30/90,0,3.4
SP,1990,5/15/90,0,1.4
SP,1990,5/29/90,0,0.8
SP,1990,6/14/90,0,0.9
SP,1990,6/26/90,0,0.2
SP,1990,7/23/90,0,0.8
SP,1990,8/7/90,0,0.5
SP,1990,8/21/90,0,0.9
SP,1990,9/4/90,0,0.8
SP,1990,9/19/90,0,1.5
SP,1990,10/2/90,0,1.3
SP,1990,10/16/90,0,1.5
SP,1990,10/31/90,0,3.1
SP,1990,11/12/90,0,3.1
SP,1991,1/16/91,0,-0.9
SP,1991,2/19/91,0,10.8
SP,1991,3/25/91,0,0.4
SP,1991,5/7/91,0,6.4
SP,1991,5/22/91,0,-0.1
SP,1991,6/3/91,0,1.5
SP,1991,6/19/91,0,0.7
SP,1991,7/1/91,0,2.2
SP,1991,7/16/91,0,1.8
SP,1991,7/30/91,0,2.9
SP,1991,8/12/91,0,1.7
SP,1991,8/28/91,0,1.9
SP,1991,9/9/91,0,2.5
SP,1991,9/23/91,0,2.3
SP,1991,10/7/91,0,2.4
SP,1991,11/11/91,0,3
SP,1992,1/14/92,0,14.8
SP,1992,3/1/92,0,2.7
SP,1992,3/27/92,0,0.8
SP,1992,5/19/92,0,7.5
SP,1992,6/2/92,0,1.6
SP,1992,6/15/92,0,1.2
SP,1992,6/30/92,0,1.2
SP,1992,7/14/92,0,2
SP,1992,8/11/92,0,2.3
SP,1992,8/24/92,0,1.4
SP,1992,9/8/92,0,1.9
SP,1992,9/24/92,0,2.8
SP,1992,10/5/92,0,1.4
SP,1992,10/20/92,0,2.4
SP,1992,11/9/92,0,3.6
SP,1993,1/13/93,0,10.2
SP,1993,3/1/93,0,5.8
SP,1993,3/22/93,0,7.5
SP,1993,5/4/93,0,3.7
SP,1993,5/18/93,0,2.2
SP,1993,6/1/93,0,2.8
SP,1993,6/14/93,0,2.7
SP,1993,6/30/93,0,1.2
SP,1993,7/14/93,0,2.9
SP,1993,7/27/93,0,1.9
SP,1993,8/11/93,0,1.7
SP,1993,8/23/93,0,1.1
SP,1993,9/8/93,0,1.1
SP,1993,9/23/93,0,4.6
SP,1993,10/5/93,0,1.8
SP,1993,10/18/93,0,3.2
SP,1993,11/10/93,0,6.4
SP,1994,1/12/94,0,8.2
SP,1994,2/21/94,0,2
SP,1994,3/28/94,0,27.6
SP,1994,5/5/94,0,9
SP,1994,5/16/94,0,9.4
SP,1994,6/1/94,0,3.8
SP,1994,6/15/94,0,3.5
SP,1994,6/27/94,0,1
