group,year,month,sampledate,Genus,chloro,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,InchesSnow,whiteice,blackice,totalice,Chl,# of Transects,Start XY,End XY,,,,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage,,,,,,,,,,,,
iceon,1997,1,1/14/97,Limnothrix,1.3,6808,100,5.642771,38415.98497,#REF!,11,26,11,37,,1,,,,,,,,,,,,,,,,,,,,,,
iceon,1997,1,1/14/97,Microcystis,1.3,1830,,3.156457729,5776.317644,#REF!,11,26,11,37,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1997,1,1/14/97,Cyclotella,1.3,1,,113.0973355,113.0973355,#REF!,11,26,11,37,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1997,1,1/14/97,Cyanobacteria,1.3,7,,157.8228865,1104.760206,#REF!,11,26,11,37,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1997,1,1/14/97,Cryptomonad,1.3,5,,195.2354,976.177,#REF!,11,26,11,37,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1997,1,1/14/97,Komvophoron / Trichormus,1.3,127,,9.7808535,1242.168395,#REF!,11,26,11,37,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1997,1,1/14/97,Other,1.3,50,,,11186.33374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1997,1,1/14/97,TotalBiovolume,1.3,,,,58814.83928,,11,26,11,37,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1997,2,2/17/97,Limnothrix,0.9,229,100,5.642771,1292.194559,0.751195007,24.5,26,14,40,,0,,,,,,,7,,,,,,,,,,,,,,,
iceon,1997,2,2/17/97,Microcystis,0.9,117,,3.156457729,369.3055543,0.214689411,24.5,26,14,40,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1997,2,2/17/97,Komvophoron / Trichormus,0.9,6,,9.7808535,58.685121,0.034115582,24.5,26,14,40,,,,,,,,,,,,,,,,,,,,,,,,
iceon,1997,2,2/17/97,TotalBiovolume,0.9,,,,1720.185234,,24.5,26,14,40,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Limnothrix,7.3,86,100,5.642771,485.278306,#REF!,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Microcystis,7.3,270,,3.156457729,852.2435868,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Komvophoron / Trichormus,7.3,144,,9.7808535,1408.442904,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Cyclotella,7.3,5,,113.0973355,565.4866776,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Cryptomonad,7.3,217,,195.2354,42366.0818,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Naked Dinoflagellate,7.3,43,,7003.540037,301152.2216,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,Armored Dinoflagellate,7.3,206,,874.8631698,180221.813,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5/6/97,Other,,332,,,7315.592788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,5,5/6/97,TotalBiovolume,7.3,,,,527051.5678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Limnothrix,,8,,5.642771,45.142168,0.00077506,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Microcystis,,184,,3.156457729,580.7882221,0.009971734,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Cryptomonad,,65,,195.2354,12690.301,0.217883737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Naked Dinoflagellate,,5,,7003.540037,35017.70018,0.601229819,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Armored Dinoflagellate,,9,,874.8631698,7873.768528,0.135187188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,Cyclotella,,18,,113.0973355,2035.75204,0.034952462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6/18/97,Other,,119,,,62609.33552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,6,6/18/97,TotalBiovolume,,,,,58243.45214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iceoff,1997,8,8/28/97,Limnothrix,,213,,5.642771,1201.910223,0.02082789,,,,,,,,,,,,,,,,,,,,,,,,,,,,
