
"year4","sampledate","avsnow","totice"
1984,"1984-01-06",2.7,36.2
1995,"1995-01-09",2.1,30.0
1985,"1985-01-11",8.8,28.7
1989,"1989-01-12",18.3,33.0
1994,"1994-01-12",6.8,30.0
1998,"1998-01-12",17.5,26.0
2004,"2004-01-12",10.0,37.0
2010,"2010-01-12",5.7,32.0
2012,"2012-01-12",9.0,29.0
1983,"1983-01-13",24.0,27.0
1993,"1993-01-13",19.0,36.5
1986,"1986-01-14",17.5,29.0
1987,"1987-01-14",3.5,24.0
1992,"1992-01-14",11.3,30.0
1997,"1997-01-14",11.0,37.0
2013,"2013-01-14",0.0,21.0
2015,"2015-01-14",24.1,23.0
2003,"2003-01-15",1.0,45.0
2007,"2007-01-15",6.8,29.0
1991,"1991-01-16",8.8,38.0
2002,"2002-01-16",5.1,16.5
1990,"1990-01-17",15.9,36.0
2006,"2006-01-17",12.5,29.0
2008,"2008-01-17",11.1,33.0
2017,"2017-01-17",16.5,26.0
1999,"1999-01-18",22.9,26.0
2000,"2000-01-18",18.9,27.5
2011,"2011-01-18",16.9,31.0
1988,"1988-01-19",2.8,35.0
2005,"2005-01-19",11.2,43.0
1982,"1982-01-20",4.3,43.0
2009,"2009-01-20",17.8,45.0
2016,"2016-01-21",6.5,22.0
2001,"2001-01-22",20.7,32.0
1996,"1996-01-24",11.0,51.0
2014,"2014-01-30",32.1,38.0
2010,"2010-02-11",9.4,46.0
2006,"2006-02-13",23.6,33.0
2011,"2011-02-14",16.9,35.0
1997,"1997-02-17",24.5,40.0
2014,"2014-02-17",22.0,50.0
2004,"2004-02-18",29.7,42.0
1990,"1990-02-19",15.9,51.0
1991,"1991-02-19",8.6,55.0
1995,"1995-02-20",15.5,42.0
2007,"2007-02-20",8.7,42.0
1994,"1994-02-21",0.0,39.0
1996,"1996-02-21",11.7,53.0
2012,"2012-02-21",9.4,41.0
2000,"2000-02-22",27.6,36.0
2017,"2017-02-22",0.0,32.0
1989,"1989-02-23",7.9,58.5
1998,"1998-02-23",0.0,35.0
1999,"1999-02-23",9.0,41.0
1982,"1982-02-24",13.4,49.2
1983,"1983-02-24",1.0,29.0
1987,"1987-02-24",13.4,41.0
2009,"2009-02-24",3.6,55.0
2015,"2015-02-24",12.2,43.0
2005,"2005-02-25",10.0,54.0
2013,"2013-02-25",21.0,45.0
1984,"1984-02-27",1.0,47.5
1985,"1985-02-27",11.7,48.0
1986,"1986-02-27",17.7,51.0
2001,"2001-02-28",15.7,44.0
2002,"2002-02-28",1.6,38.0
1988,"1988-02-29",10.4,54.0
1993,"1993-03-01",2.7,60.5
1992,"1992-03-01",22.5,41.0
2008,"2008-03-03",18.9,48.0
2003,"2003-03-06",17.5,61.0
2016,"2016-03-07",0.3,43.0
1998,"1998-03-18",8.5,37.0
2009,"2009-03-20",0.0,56.0
2011,"2011-03-21",1.4,43.0
1993,"1993-03-22",9.1,56.0
1987,"1987-03-24",0.0,34.0
1995,"1995-03-24",1.0,34.0
1999,"1999-03-24",1.0,53.0
2014,"2014-03-24",10.8,72.0
2015,"2015-03-24",0.0,38.0
1991,"1991-03-25",0.0,53.0
1997,"1997-03-25",31.0,44.0
1985,"1985-03-26",0.5,56.0
2017,"2017-03-27",0.0,31.0
1983,"1983-03-28",9.5,39.0
1990,"1990-03-28",0.0,39.0
1992,"1992-03-27",0.4,52.0
1994,"1994-03-28",15.5,44.0
2007,"2007-03-28",0.0,27.0
2008,"2008-03-27",16.1,50.0
1989,"1989-03-29",,50.0
2013,"2013-03-29",7.2,59.0
2006,"2006-03-31",0.0,41.0
2002,"2002-04-01",15.0,54.0
1996,"1996-04-01",18.2,70.0
2003,"2003-04-02",7.5,48.0
2001,"2001-04-03",2.2,45.0
1982,"1982-04-05",4.0,51.0
1988,"1988-04-04",0.0,58.0
2005,"2005-04-06",0.0,42.0
2004,"2004-04-07",0.0,39.0
1984,"1984-04-10",0.0,44.5
1985,"1985-04-11",0.0,50.0
2008,"2008-05-02",0.0,0.0
