year4,sampledate,avsnow,totice
1982,1/20/82,4.3,43
1982,2/24/82,13.4,49.2
1982,4/5/82,4,51
1983,1/13/83,24,27
1983,2/24/83,1,29
1983,3/28/83,9.5,39
1984,1/6/84,2.7,36.2
1984,2/27/84,1,47.5
1984,4/10/84,0,44.5
1985,1/11/85,8.8,28.7
1985,2/27/85,11.7,48
1985,3/26/85,0.5,56
1985,4/11/85,0,50
1986,1/14/86,17.5,29
1986,2/27/86,17.7,51
1987,1/14/87,3.5,24
1987,2/24/87,13.4,41
1987,3/24/87,0,34
1988,1/19/88,2.8,35
1988,2/29/88,10.4,54
1988,4/4/88,0,58
1989,1/12/89,18.3,33
1989,2/23/89,7.9,58.5
1989,3/29/89,,50
1990,1/17/90,15.9,36
1990,2/19/90,15.9,51
1990,3/28/90,0,39
1991,1/16/91,8.8,38
1991,2/19/91,8.6,55
1991,3/25/91,0,53
1992,1/14/92,11.3,30
1992,3/1/92,22.5,41
1992,3/27/92,0.4,52
1993,1/13/93,19,36.5
1993,3/1/93,2.7,60.5
1993,3/22/93,9.1,56
1994,1/12/94,6.8,30
1994,2/21/94,0,39
1994,3/28/94,15.5,44
1995,1/9/95,2.1,30
1995,2/20/95,15.5,42
1995,3/24/95,1,34
1996,1/24/96,11,51
1996,2/21/96,11.7,53
1996,4/1/96,18.2,70
1997,1/14/97,11,37
1997,2/17/97,24.5,40
1997,3/25/97,31,44
1998,1/12/98,17.5,26
1998,2/23/98,0,35
1998,3/18/98,8.5,37
1999,1/18/99,22.9,26
1999,2/23/99,9,41
1999,3/24/99,1,53
2000,1/18/00,18.9,27.5
2000,2/22/00,27.6,36
2001,1/22/01,20.7,32
2001,2/28/01,15.7,44
2001,4/3/01,2.2,45
2002,1/16/02,5.1,16.5
2002,2/28/02,1.6,38
2002,4/1/02,15,54
2003,1/15/03,1,45
2003,3/6/03,17.5,61
2003,4/2/03,7.5,48
2004,1/12/04,10,37
2004,2/18/04,29.7,42
2004,4/7/04,0,39
2005,1/19/05,11.2,43
2005,2/25/05,10,54
2005,4/6/05,0,42
2006,1/17/06,12.5,29
2006,2/13/06,23.6,33
2006,3/31/06,0,41
2007,1/15/07,6.8,29
2007,2/20/07,8.7,42
2007,3/28/07,0,27
2008,1/17/08,11.1,33
2008,3/3/08,18.9,48
2008,3/27/08,16.1,50
2008,5/2/08,0,0
2009,1/20/09,17.8,45
2009,2/24/09,3.6,55
2009,3/20/09,0,56
2010,1/12/10,5.7,32
2010,2/11/10,9.4,46
2011,1/18/11,16.9,31
2011,2/14/11,16.9,35
2011,3/21/11,1.4,43
2012,1/12/12,9,29
2012,2/21/12,9.4,41
2013,1/14/13,0,21
2013,2/25/13,21,45
2013,3/29/13,7.2,59
2014,1/30/14,32.1,38
2014,2/17/14,22,50
2014,3/24/14,10.8,72
2015,1/14/15,24.1,23
2015,2/24/15,12.2,43
2015,3/24/15,0,38
2016,1/21/16,6.5,22
2016,3/7/16,0.3,43
2017,1/17/17,16.5,26
2017,2/22/17,0,32
2017,3/27/17,0,31
