group,year,month,sampledate,Genus,chloro,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,InchesSnow,whiteice,blackice,totalice,Chl,Chloro
iceon,1997,2,2/17/97,Limnothrix,0.9,229,100,5.642771,1292.194559,#REF!,24.5,26,14,40,,1.3
iceon,1997,2,2/17/97,Cyanobacteria ,0.9,117,,3.156457729,369.3055543,#REF!,24.5,26,14,40,,1.3
iceon,1997,2,2/17/97,Komvophoron / Trichormus,0.9,6,,9.7808535,58.685121,#REF!,24.5,26,14,40,,0.9
iceoff,1997,5,5/6/97,Limnothrix,7.3,86,100,5.642771,485.278306,#REF!,,,,,,0.9
iceoff,1997,5,5/6/97,Cyanobacteria ,7.3,270,,3.156457729,852.2435868,#REF!,,,,,,7.3
iceoff,1997,5,5/6/97,Komvophoron / Trichormus,7.3,144,,9.7808535,1408.442904,#REF!,,,,,,7.3
iceoff,1997,5,5/6/97,Cyclotella,7.3,5,,113.0973355,565.4866776,#REF!,,,,,,1
iceoff,1997,5,5/6/97,Cryptomonad,7.3,217,,195.2354,42366.0818,#REF!,,,,,,1
iceoff,1997,5,5/6/97,Naked Dinoflagellate,7.3,43,,7003.540037,301152.2216,#REF!,,,,,,0.5
iceoff,1997,5,5/6/97,Armored Dinoflagellate,7.3,206,,874.8631698,180221.813,#REF!,,,,,,0.5
iceoff,1997,6,6/18/97,Limnothrix,,8,,5.642771,45.142168,#REF!,,,,,,1.8
iceoff,1997,6,6/18/97,Cyanobacteria ,,184,,3.156457729,580.7882221,#REF!,,,,,,1.8
iceoff,1997,6,6/18/97,Cryptomonad,,65,,195.2354,12690.301,#REF!,,,,,,0.7
iceoff,1997,6,6/18/97,Naked Dinoflagellate,,5,,7003.540037,35017.70018,#REF!,,,,,,0.7
iceoff,1997,6,6/18/97,Armored Dinoflagellate,,9,,874.8631698,7873.768528,#REF!,,,,,,NA
iceoff,1997,6,6/18/97,Cyclotella,,18,,113.0973355,2035.75204,#REF!,,,,,,NA
iceoff,1997,8,8/28/97,Cyanobacteria ,,478,,3.156457729,1508.786794,#REF!,,,,,,0.9
iceoff,1997,8,8/28/97,Komvophoron / Trichormus,,161,,9.7808535,1574.717414,#REF!,,,,,,0.9
iceoff,1997,8,8/28/97,Cryptomonad,,60,,195.2354,11714.124,#REF!,,,,,,0
iceoff,1997,8,8/28/97,Naked Dinoflagellate,,5,,7003.540037,35017.70018,#REF!,,,,,,0
iceoff,1997,8,8/28/97,Armored Dinoflagellate,,7,,874.8631698,6124.042189,#REF!,,,,,,1
iceoff,1997,8,8/28/97,Cyclotella,,5,,113.0973355,565.4866776,#REF!,,,,,,1
iceoff,1997,11,11/10/97,Cyanobacteria ,,83,,3.156457729,261.9859915,#REF!,,,,,,3.9
iceoff,1997,11,11/10/97,Limnothrix,,146,,5.642771,823.844566,#REF!,,,,,,3.9
iceoff,1997,11,11/10/97,Komvophoron / Trichormus,,28,,9.7808535,273.863898,#REF!,,,,,,5.1
iceoff,1997,11,11/10/97,Cryptomonad,,97,,195.2354,18937.8338,#REF!,,,,,,5.1
iceoff,1997,11,11/10/97,Naked Dinoflagellate,,12,,7003.540037,84042.48044,#REF!,,,,,,3.3
iceoff,1997,11,11/10/97,Armored Dinoflagellate,,12,,874.8631698,10498.35804,#REF!,,,,,,3.3
iceon,1998,2,2/23/98,Limnothrix,,1522,,5.642771,8588.297462,#REF!,0,11,24,35,,1.3
iceon,1998,2,2/23/98,Cyanobacteria ,,998,,3.156457729,3150.144814,#REF!,0,11,24,35,,1.3
iceon,1998,2,2/23/98,Komvophoron / Trichormus,,307,,9.7808535,3002.722025,#REF!,0,11,24,35,,1.7
iceon,1998,2,2/23/98,Cryptomonad,,75,,195.2354,14642.655,#REF!,0,11,24,35,,1.7
iceon,1998,2,2/23/98,Naked Dinoflagellate,,18,,7003.540037,126063.7207,#REF!,0,11,24,35,,15.2
iceon,1998,2,2/23/98,Armored Dinoflagellate,,21,,874.8631698,18372.12657,#REF!,0,11,24,35,,15.2
iceon,1998,4,4/20/98,Komvophoron / Trichormus,,6,,9.7808535,58.685121,#REF!,,,,,,4.3
iceon,1998,4,4/20/98,Limnothrix,,52,,5.642771,293.424092,#REF!,,,,,,4.3
iceon,1998,4,4/20/98,Cryptomonad,,109,,195.2354,21280.6586,#REF!,,,,,,10.9
iceon,1998,4,4/20/98,Naked Dinoflagellate,,12,,7003.540037,84042.48044,#REF!,,,,,,10.9
iceon,1998,4,4/20/98,Armored Dinoflagellate,,71,,874.8631698,62115.28506,#REF!,,,,,,0.7
iceon,1998,6,6/15/98,Cyanobacteria ,,470,,3.156457729,1483.535132,#REF!,,,,,,0.7
iceon,1998,6,6/15/98,Limnothrix,,384,,5.642771,2166.824064,#REF!,,,,,,1.8
iceon,1998,6,6/15/98,Komvophoron / Trichormus,,392,,9.7808535,3834.094572,#REF!,,,,,,1.8
iceon,1998,6,6/15/98,Cryptomonad,,127,,195.2354,24794.8958,#REF!,,,,,,NA
iceon,1998,6,6/15/98,Naked Dinoflagellate,,11,,7003.540037,77038.9404,#REF!,,,,,,NA
iceon,1998,6,6/15/98,Armored Dinoflagellate,,15,,874.8631698,13122.94755,#REF!,,,,,,6
iceoff,1997,7,7/14/97,Cryptomonad,,62,,195.2354,12104.5948,#REF!,,,,,,6
iceoff,1997,7,7/14/97,Limnothrix,,409,,5.642771,2307.893339,#REF!,,,,,,2.2
iceoff,1997,7,7/14/97,Cyanobacteria ,,541,,3.156457729,1707.643631,#REF!,,,,,,2.2
iceoff,1997,7,7/14/97,Komvophoron / Trichormus,,185,,9.7808535,1809.457898,#REF!,,,,,,11
iceoff,1997,7,7/14/97,Naked Dinoflagellate,,19,,7003.540037,133067.2607,#REF!,,,,,,11
iceoff,1997,7,7/14/97,Armored Dinoflagellate,,8,,874.8631698,6998.905358,#REF!,,,,,,0.5
iceoff,1998,8,8/12/98,Limnothrix,,494,,5.642771,2787.528874,#REF!,,,,,,0.5
iceoff,1998,8,8/12/98,Cyanobacteria ,,488,,3.156457729,1540.351372,#REF!,,,,,,1.1
iceoff,1998,8,8/12/98,Komvophoron / Trichormus,,199,,9.7808535,1946.389847,#REF!,,,,,,1.1
iceoff,1998,8,8/12/98,Cryptomonad,,35,,195.2354,6833.239,#REF!,,,,,,0.9
iceoff,1998,8,8/12/98,Naked Dinoflagellate,,15,,7003.540037,105053.1005,#REF!,,,,,,0.9
iceoff,1998,8,8/12/98,Armored Dinoflagellate,,14,,874.8631698,12248.08438,#REF!,,,,,,1.2
iceoff,1998,11,11/12/98,Cyanobacteria ,,25,,3.156457729,78.91144323,#REF!,,,,,,1.2
iceoff,1998,11,11/12/98,Komvophoron / Trichormus,,6,,9.7808535,58.685121,#REF!,,,,,,3.2
iceoff,1998,11,11/12/98,Cryptomonad,,58,,195.2354,11323.6532,#REF!,,,,,,3.2
iceoff,1998,11,11/12/98,Naked Dinoflagellate,,15,,7003.540037,105053.1005,#REF!,,,,,,-0.1
iceoff,1998,11,11/12/98,Armored Dinoflagellate,,22,,874.8631698,19246.98974,#REF!,,,,,,-0.1
iceon,1999,2,2/23/99,Limnothrix,,163,,5.642771,919.771673,#REF!,9,14,27,41,,3
iceon,1999,2,2/23/99,Cyanobacteria ,,202,,3.156457729,637.6044613,#REF!,9,14,27,41,,3
iceon,1999,2,2/23/99,Cryptomonad,,16,,195.2354,3123.7664,#REF!,9,14,27,41,,1.1
iceon,1999,2,2/23/99,Naked Dinoflagellate,,9,,7003.540037,63031.86033,#REF!,9,14,27,41,,1.1
iceon,1999,2,2/23/99,Armored Dinoflagellate,,7,,874.8631698,6124.042189,#REF!,9,14,27,41,,1.2
iceoff,1999,5,5/4/99,Komvophoron / Trichormus,,4,,9.7808535,39.123414,#REF!,,,,,,1.2
iceoff,1999,5,5/4/99,Cyanobacteria ,,94,,3.156457729,296.7070265,#REF!,,,,,,1.7
iceoff,1999,5,5/4/99,Cryptomonad,,72,,195.2354,14056.9488,#REF!,,,,,,1.7
iceoff,1999,5,5/4/99,Naked Dinoflagellate,,15,,7003.540037,105053.1005,#REF!,,,,,,4.2
iceoff,1999,5,5/4/99,Armored Dinoflagellate,,19,,874.8631698,16622.40023,#REF!,,,,,,4.2
iceoff,1999,7,7/1/99,Limnothrix,,5,,5.642771,28.213855,#REF!,,,,,,9
iceoff,1999,7,7/1/99,Cyanobacteria ,,0,,3.156457729,0,#REF!,,,,,,9
iceoff,1999,7,7/1/99,Cryptomonad,,21,,195.2354,4099.9434,#REF!,,,,,,3.4
iceoff,1999,7,7/1/99,Naked Dinoflagellate,,3,,7003.540037,21010.62011,#REF!,,,,,,3.4
iceoff,1999,7,7/1/99,Armored Dinoflagellate,,7,,874.8631698,6124.042189,#REF!,,,,,,1.6
iceoff,1999,8,8/23/99,Cryptomonad,,30,,195.2354,5857.062,#REF!,,,,,,1.6
iceoff,1999,8,8/23/99,Naked Dinoflagellate,,1,,7003.540037,7003.540037,#REF!,,,,,,2.2
iceoff,1999,8,8/23/99,Armored Dinoflagellate,,3,,874.8631698,2624.589509,#REF!,,,,,,2.2
iceoff,1999,8,8/23/99,Cyclotella,,53,,113.0973355,5994.158783,#REF!,,,,,,1.1
iceoff,1999,8,8/23/99,Komvophoron / Trichormus,,4,,9.7808535,39.123414,#REF!,,,,,,1.1
iceoff,1999,11,11/10/99,Cryptomonad,,22,,195.2354,4295.1788,#REF!,,,,,,2.3
iceoff,1999,11,11/10/99,Armored Dinoflagellate,,3,,874.8631698,2624.589509,#REF!,,,,,,2.3
