"","X1","lakeid","year4","sample_date","species_code","species_name","density","individuals_measured","avg_length","group"
"1",3,"SP",1981,"6/4/81",20302,"DIACYCLOPS THOMASI",4.01,NA,NA,"iceoff"
"2",147,"SP",1981,"9/22/81",20302,"DIACYCLOPS THOMASI",11.9,NA,NA,"iceoff"
"3",161,"SP",1981,"12/2/81",20302,"DIACYCLOPS THOMASI",2.33,NA,NA,"iceoff"
"4",182,"SP",1982,"1/20/82",20302,"DIACYCLOPS THOMASI",6.66,NA,NA,"iceon"
"5",205,"SP",1982,"2/24/82",20302,"DIACYCLOPS THOMASI",0.64,NA,NA,"iceon"
"6",223,"SP",1982,"5/27/82",20302,"DIACYCLOPS THOMASI",26.6,NA,NA,"iceoff"
"7",251,"SP",1982,"6/10/82",20302,"DIACYCLOPS THOMASI",19.25,NA,NA,"iceoff"
"8",295,"SP",1982,"8/2/82",20302,"DIACYCLOPS THOMASI",0.78,NA,NA,"iceoff"
"9",313,"SP",1982,"8/17/82",20302,"DIACYCLOPS THOMASI",1.07,NA,NA,"iceoff"
"10",337,"SP",1982,"9/9/82",20302,"DIACYCLOPS THOMASI",3.62,NA,NA,"iceoff"
"11",354,"SP",1982,"10/7/82",20302,"DIACYCLOPS THOMASI",19.54,NA,NA,"iceoff"
"12",368,"SP",1982,"11/10/82",20302,"DIACYCLOPS THOMASI",1.85,NA,NA,"iceoff"
"13",387,"SP",1983,"1/13/83",20302,"DIACYCLOPS THOMASI",15.38,NA,NA,"iceon"
"14",402,"SP",1983,"5/25/83",20302,"DIACYCLOPS THOMASI",24.49,NA,NA,"iceoff"
"15",418,"SP",1983,"6/9/83",20302,"DIACYCLOPS THOMASI",4.61,NA,NA,"iceoff"
"16",441,"SP",1983,"6/21/83",20302,"DIACYCLOPS THOMASI",2.16,NA,NA,"iceoff"
"17",468,"SP",1983,"7/8/83",20302,"DIACYCLOPS THOMASI",2.86,NA,NA,"iceoff"
"18",493,"SP",1983,"7/21/83",20302,"DIACYCLOPS THOMASI",0.15,NA,NA,"iceoff"
"19",518,"SP",1983,"8/16/83",20302,"DIACYCLOPS THOMASI",3.8,NA,NA,"iceoff"
"20",539,"SP",1983,"9/27/83",20302,"DIACYCLOPS THOMASI",12.69,NA,NA,"iceoff"
"21",551,"SP",1983,"10/17/83",20302,"DIACYCLOPS THOMASI",19.48,NA,NA,"iceoff"
"22",564,"SP",1983,"11/2/83",20302,"DIACYCLOPS THOMASI",27.22,NA,NA,"iceoff"
"23",574,"SP",1983,"11/29/83",20302,"DIACYCLOPS THOMASI",15.32,NA,NA,"iceoff"
"24",588,"SP",1984,"1/6/84",20302,"DIACYCLOPS THOMASI",15.74,NA,NA,"iceon"
"25",600,"SP",1984,"2/27/84",20302,"DIACYCLOPS THOMASI",9.2,NA,NA,"iceon"
"26",610,"SP",1984,"4/10/84",20302,"DIACYCLOPS THOMASI",41.42,NA,NA,"iceoff"
"27",625,"SP",1984,"5/9/84",20302,"DIACYCLOPS THOMASI",27.85,NA,NA,"iceoff"
"28",641,"SP",1984,"6/4/84",20302,"DIACYCLOPS THOMASI",39.76,NA,NA,"iceoff"
"29",661,"SP",1984,"6/20/84",20302,"DIACYCLOPS THOMASI",36.03,NA,NA,"iceoff"
"30",677,"SP",1984,"7/5/84",20302,"DIACYCLOPS THOMASI",38.96,NA,NA,"iceoff"
"31",694,"SP",1984,"7/16/84",20302,"DIACYCLOPS THOMASI",41.53,NA,NA,"iceoff"
"32",712,"SP",1984,"7/31/84",20302,"DIACYCLOPS THOMASI",22.59,NA,NA,"iceoff"
"33",733,"SP",1984,"8/16/84",20302,"DIACYCLOPS THOMASI",24.3,NA,NA,"iceoff"
"34",753,"SP",1984,"9/5/84",20302,"DIACYCLOPS THOMASI",5.6,NA,NA,"iceoff"
"35",769,"SP",1984,"9/25/84",20302,"DIACYCLOPS THOMASI",9.73,NA,NA,"iceoff"
"36",785,"SP",1984,"10/17/84",20302,"DIACYCLOPS THOMASI",15.79,NA,NA,"iceoff"
"37",802,"SP",1984,"11/7/84",20302,"DIACYCLOPS THOMASI",6.06,NA,NA,"iceoff"
"38",817,"SP",1984,"11/26/84",20302,"DIACYCLOPS THOMASI",10.64,NA,NA,"iceoff"
"39",832,"SP",1985,"1/11/85",20302,"DIACYCLOPS THOMASI",14.61,NA,NA,"iceon"
"40",847,"SP",1985,"2/27/85",20302,"DIACYCLOPS THOMASI",7.35,NA,NA,"iceon"
"41",861,"SP",1985,"3/26/85",20302,"DIACYCLOPS THOMASI",3.28,NA,NA,"iceon"
"42",877,"SP",1985,"5/15/85",20302,"DIACYCLOPS THOMASI",12.51,NA,NA,"iceoff"
"43",891,"SP",1985,"5/29/85",20302,"DIACYCLOPS THOMASI",13.24,NA,NA,"iceoff"
"44",910,"SP",1985,"6/10/85",20302,"DIACYCLOPS THOMASI",6.15,NA,NA,"iceoff"
"45",926,"SP",1985,"6/25/85",20302,"DIACYCLOPS THOMASI",7.46,NA,NA,"iceoff"
"46",944,"SP",1985,"7/10/85",20302,"DIACYCLOPS THOMASI",3.44,NA,NA,"iceoff"
"47",960,"SP",1985,"7/22/85",20302,"DIACYCLOPS THOMASI",2.95,NA,NA,"iceoff"
"48",978,"SP",1985,"8/5/85",20302,"DIACYCLOPS THOMASI",3.68,NA,NA,"iceoff"
"49",998,"SP",1985,"8/19/85",20302,"DIACYCLOPS THOMASI",9.17,NA,NA,"iceoff"
"50",1021,"SP",1985,"9/10/85",20302,"DIACYCLOPS THOMASI",5.39,NA,NA,"iceoff"
"51",1044,"SP",1985,"9/30/85",20302,"DIACYCLOPS THOMASI",1.18,NA,NA,"iceoff"
