,X1.x,daynum,sampledate,depth.x,o2.x,deck,light,frlight.x,avsnow,totice,whiteice,extcoef,blueice,surflite,X1.y,Genus,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,# of Transects,Cell Count per cm2,Transect Length (cm),Start XY,Taxa,WaterCol,Functional,X15,X16,X17,X18,X19,End XY,Notes,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage,X1_1,lakeid,year4.x,group,depth.y,ph.x,alk.x,dic.x,tic.x,doc.x,toc.x,no3no2.x,no2.x,nh4.x,o2.y,totnf.x,totnuf.x,totpf.x,totpuf.x,drsif.x,X1,lakeid.x,wtemp,o2,o2sat,cond,frlight.y,chlor,phaeo,ph.y,phair,alk.y,dic.y,tic.y,doc.y,toc.y,no3no2.y,no2.y,nh4.y,totnf.y,totnuf.y,totpf.y,totpuf.y,drsif.y,brsif,brsiuf,tpm,cl,so4,ca,mg,na,k,fe,mn,no3no2_sloh,nh4_sloh,kjdl_n_sloh,totpuf_sloh,drp_sloh,drsif_sloh,year4frac,lakeid.y,year4.y,rep,sta,depth,surfchlor
569,304,14,1/14/97,0,12,NA,NA,NA,11,37,26,NA,11,NA,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5775,SP,1997,iceon,0,7.47,NA,9.01,9.09,3.39,3.4,16,NA,84,12,216,252,2,10,2646,282,SP,2.95,10.01,78.68,NA,NA,0.66,0.32,7.25,7.87,NA,9.3,9.39,3.27,3.2,34.19,NA,160.25,304.84,348.1,4.27,17.77,2805.77,3504.99,3493.12,0,NA,NA,NA,NA,NA,NA,0.27,0.14,NA,NA,NA,NA,NA,NA,1997.036,SP,1997,1,1,0,1.3
570,305,48,2/17/97,0,11.3,NA,NA,NA,24.5,40,26,NA,14,NA,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5797,SP,1997,iceon,0,7.24,640,8.89,8.97,3.65,3.62,47,NA,42,11.3,262,309,3,4,2589,283,SP,2.91,9.65,75.67,93.56,NA,0.28,0.58,7.2,8.06,657.47,9.44,9.51,3.35,3.18,56.59,NA,130.59,345.77,410.13,7.44,17.14,2890.53,3534.44,3609.56,0,5.49,2.64,9.86,2.73,2.73,0.7,0.73,0.17,NA,NA,NA,NA,NA,NA,1997.129,SP,1997,1,1,0,0.9
571,306,84,3/25/97,0,12.1,602,0,0,31,44,31,NA,13,0,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5819,SP,1997,iceon,0,7.36,NA,9.45,9.57,3.54,3.42,77,NA,9,12.1,286,366,2,11,2703,284,SP,2.88,9.49,74.22,NA,NA,0.78,0.54,7.17,8.04,NA,10.29,10.45,4.19,3.28,78.37,NA,39.33,357.08,424.74,2.88,14.17,3243.55,3829.13,3904.55,0,NA,NA,NA,NA,NA,NA,1.6,0.14,NA,NA,NA,NA,NA,NA,1997.227,SP,1997,1,1,0,3.8
572,307,126,5/6/97,0,11.4,1446,1275,0.882,NA,NA,NA,NA,NA,0.881742739,355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5841,SP,1997,iceoff,0,7.54,617,8.5,8.72,3.12,3.28,24,NA,23,11.4,160,222,0,22,2777,285,SP,5.81,10.93,92.87,86.13,0.12,6.62,1.6,7.4,8.02,620.11,8.69,8.92,3.11,3.18,27.61,NA,45,159.24,212.17,0.13,11.61,3006.94,3329.77,3513.77,0.1,4.95,2.53,10,2.81,2.39,0.66,0,0.01,NA,NA,NA,NA,NA,NA,1997.342,SP,1997,1,1,0,7.3
573,308,141,5/21/97,0,11.4,1742,1818,NA,NA,NA,NA,NA,NA,1.043628014,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5863,SP,1997,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA,286,SP,7.69,11.39,101.36,NA,0.16,4.69,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.384,SP,1997,1,1,0,4.5
574,309,155,6/4/97,0,9.5,934,934,1,NA,NA,NA,NA,NA,1,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5882,SP,1997,iceoff,0,7.86,NA,8.1,8.14,3.24,3.17,2,NA,8,9.5,159,154,3,4,3009,287,SP,10.84,10.83,103.66,NA,0.21,2.39,1.72,7.56,7.93,NA,8.38,8.46,3.12,3.11,2.84,NA,32.16,173.33,231.39,3.96,11.33,3040.9,2473.87,2709.37,0.23,NA,NA,NA,NA,NA,NA,0.01,0,NA,NA,NA,NA,NA,NA,1997.422,SP,1997,1,1,0,0.3
575,310,167,6/18/97,0,8.7,761,604.8,0.795,NA,NA,NA,NA,NA,0.794743758,358,Dinobryon,57,NA,1034.087,58942.959,0.487725274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5904,SP,1997,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,288,SP,12.01,9.89,97.31,NA,0.21,2.37,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.46,SP,1997,1,1,0,1
576,311,182,7/1/97,0,8.5,1904,1814,0.953,NA,NA,NA,NA,NA,0.952731092,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5923,SP,1997,iceoff,0,8.05,NA,7.91,7.97,3.51,3.51,0,NA,25,8.5,92,115,0,2,2603,289,SP,14.39,10.91,112.25,NA,0.25,2.99,0.33,7.6,7.75,NA,8.3,8.42,3.32,3.3,1.04,NA,51.68,155.45,194.22,0.84,8.2,2832.61,2835.03,2969.88,0.18,NA,NA,NA,NA,NA,NA,0.02,0.03,NA,NA,NA,NA,NA,NA,1997.496,SP,1997,1,1,0,0.7
577,312,198,7/17/97,0,8,294,179.5,0.611,NA,NA,NA,NA,NA,0.610544218,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5945,SP,1997,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,290,SP,14.99,10.08,105.8,NA,0.2,0.77,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997.54,SP,1997,1,1,0,0.7
578,313,210,7/29/97,0,8.1,1606,1620,NA,NA,NA,NA,NA,NA,1.00871731,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5964,SP,1997,iceoff,0,8.07,NA,7.8,NA,3.5,NA,0,NA,30,8.1,144,159,0,1,2429,291,SP,15.91,9.96,106.55,NA,0.14,0,6.15,7.49,7.69,NA,8.08,8.3,3.46,3.42,12.85,NA,43.63,122.99,152.34,0.28,5.12,2674.25,2695.12,2789.73,0.17,NA,NA,NA,NA,NA,NA,0.06,0.01,NA,NA,NA,NA,NA,NA,1997.573,SP,1997,1,1,0,0
