"","X1","lakeid","year4","sample_date","species_code","species_name","density","individuals_measured","avg_length","group"
"1",5,"SP",1981,"6/4/81",30402,"LEPTODIAPTOMUS MINUTUS",0.14,NA,NA,"iceoff"
"2",184,"SP",1982,"1/20/82",30402,"LEPTODIAPTOMUS MINUTUS",0.31,NA,NA,"iceon"
"3",225,"SP",1982,"5/27/82",30402,"LEPTODIAPTOMUS MINUTUS",14.13,NA,NA,"iceoff"
"4",254,"SP",1982,"6/10/82",30402,"LEPTODIAPTOMUS MINUTUS",0.48,NA,NA,"iceoff"
"5",315,"SP",1982,"8/17/82",30402,"LEPTODIAPTOMUS MINUTUS",0.96,NA,NA,"iceoff"
"6",339,"SP",1982,"9/9/82",30402,"LEPTODIAPTOMUS MINUTUS",0.86,NA,NA,"iceoff"
"7",356,"SP",1982,"10/7/82",30402,"LEPTODIAPTOMUS MINUTUS",1.15,NA,NA,"iceoff"
"8",371,"SP",1982,"11/10/82",30402,"LEPTODIAPTOMUS MINUTUS",0.12,NA,NA,"iceoff"
"9",421,"SP",1983,"6/9/83",30402,"LEPTODIAPTOMUS MINUTUS",0.52,NA,NA,"iceoff"
"10",714,"SP",1984,"7/31/84",30402,"LEPTODIAPTOMUS MINUTUS",1.62,NA,NA,"iceoff"
"11",735,"SP",1984,"8/16/84",30402,"LEPTODIAPTOMUS MINUTUS",4.72,NA,NA,"iceoff"
"12",755,"SP",1984,"9/5/84",30402,"LEPTODIAPTOMUS MINUTUS",3.52,NA,NA,"iceoff"
"13",771,"SP",1984,"9/25/84",30402,"LEPTODIAPTOMUS MINUTUS",2.78,NA,NA,"iceoff"
"14",787,"SP",1984,"10/17/84",30402,"LEPTODIAPTOMUS MINUTUS",1.32,NA,NA,"iceoff"
"15",804,"SP",1984,"11/7/84",30402,"LEPTODIAPTOMUS MINUTUS",4.04,NA,NA,"iceoff"
"16",819,"SP",1984,"11/26/84",30402,"LEPTODIAPTOMUS MINUTUS",2.13,NA,NA,"iceoff"
"17",893,"SP",1985,"5/29/85",30402,"LEPTODIAPTOMUS MINUTUS",16.18,NA,NA,"iceoff"
"18",999,"SP",1985,"8/19/85",30402,"LEPTODIAPTOMUS MINUTUS",2.57,NA,NA,"iceoff"
"19",1022,"SP",1985,"9/10/85",30402,"LEPTODIAPTOMUS MINUTUS",0.32,NA,NA,"iceoff"
"20",1196,"SP",1986,"7/14/86",30402,"LEPTODIAPTOMUS MINUTUS",6.03,NA,NA,"iceoff"
"21",1212,"SP",1986,"7/29/86",30402,"LEPTODIAPTOMUS MINUTUS",12.36,NA,NA,"iceoff"
"22",1234,"SP",1986,"8/11/86",30402,"LEPTODIAPTOMUS MINUTUS",15.43,NA,NA,"iceoff"
"23",1259,"SP",1986,"8/25/86",30402,"LEPTODIAPTOMUS MINUTUS",18.27,NA,NA,"iceoff"
"24",1281,"SP",1986,"9/8/86",30402,"LEPTODIAPTOMUS MINUTUS",1.77,NA,NA,"iceoff"
"25",1298,"SP",1986,"9/22/86",30402,"LEPTODIAPTOMUS MINUTUS",1.75,NA,NA,"iceoff"
"26",1338,"SP",1986,"10/21/86",30402,"LEPTODIAPTOMUS MINUTUS",1.64,NA,NA,"iceoff"
"27",1360,"SP",1986,"11/12/86",30402,"LEPTODIAPTOMUS MINUTUS",0.84,NA,NA,"iceoff"
"28",1457,"SP",1987,"5/20/87",30402,"LEPTODIAPTOMUS MINUTUS",1.04,NA,NA,"iceoff"
"29",1495,"SP",1987,"6/11/87",30402,"LEPTODIAPTOMUS MINUTUS",0.84,NA,NA,"iceoff"
"30",1513,"SP",1987,"6/29/87",30402,"LEPTODIAPTOMUS MINUTUS",4.84,NA,NA,"iceoff"
"31",1530,"SP",1987,"7/13/87",30402,"LEPTODIAPTOMUS MINUTUS",4.84,NA,NA,"iceoff"
"32",1550,"SP",1987,"7/29/87",30402,"LEPTODIAPTOMUS MINUTUS",12.59,NA,NA,"iceoff"
"33",1569,"SP",1987,"8/11/87",30402,"LEPTODIAPTOMUS MINUTUS",12.09,NA,NA,"iceoff"
"34",1593,"SP",1987,"8/26/87",30402,"LEPTODIAPTOMUS MINUTUS",9.35,NA,NA,"iceoff"
"35",1614,"SP",1987,"9/8/87",30402,"LEPTODIAPTOMUS MINUTUS",5.35,NA,NA,"iceoff"
"36",1632,"SP",1987,"9/21/87",30402,"LEPTODIAPTOMUS MINUTUS",10.81,NA,NA,"iceoff"
"37",1648,"SP",1987,"10/5/87",30402,"LEPTODIAPTOMUS MINUTUS",1.73,NA,NA,"iceoff"
"38",1662,"SP",1987,"10/20/87",30402,"LEPTODIAPTOMUS MINUTUS",3.15,NA,NA,"iceoff"
"39",1680,"SP",1987,"11/2/87",30402,"LEPTODIAPTOMUS MINUTUS",2.94,NA,NA,"iceoff"
"40",1773,"SP",1988,"5/9/88",30402,"LEPTODIAPTOMUS MINUTUS",4.28,NA,NA,"iceoff"
"41",1790,"SP",1988,"5/24/88",30402,"LEPTODIAPTOMUS MINUTUS",3.76,NA,NA,"iceoff"
"42",1810,"SP",1988,"6/21/88",30402,"LEPTODIAPTOMUS MINUTUS",2.88,NA,NA,"iceoff"
"43",1828,"SP",1988,"7/5/88",30402,"LEPTODIAPTOMUS MINUTUS",0.93,NA,NA,"iceoff"
"44",1862,"SP",1988,"8/1/88",30402,"LEPTODIAPTOMUS MINUTUS",0.26,NA,NA,"iceoff"
"45",1917,"SP",1988,"8/29/88",30402,"LEPTODIAPTOMUS MINUTUS",1.84,NA,NA,"iceoff"
"46",1968,"SP",1988,"9/27/88",30402,"LEPTODIAPTOMUS MINUTUS",0.99,NA,NA,"iceoff"
"47",1983,"SP",1988,"10/10/88",30402,"LEPTODIAPTOMUS MINUTUS",1.92,NA,NA,"iceoff"
"48",2017,"SP",1988,"11/8/88",30402,"LEPTODIAPTOMUS MINUTUS",1,NA,NA,"iceoff"
"49",2109,"SP",1989,"5/30/89",30402,"LEPTODIAPTOMUS MINUTUS",3.67,NA,NA,"iceoff"
"50",2178,"SP",1989,"7/10/89",30402,"LEPTODIAPTOMUS MINUTUS",10.91,NA,NA,"iceoff"
"51",2201,"SP",1989,"7/24/89",30402,"LEPTODIAPTOMUS MINUTUS",25.69,NA,NA,"iceoff"
"52",2224,"SP",1989,"8/8/89",30402,"LEPTODIAPTOMUS MINUTUS",10.66,NA,NA,"iceoff"
"53",2245,"SP",1989,"9/5/89",30402,"LEPTODIAPTOMUS MINUTUS",14.42,NA,NA,"iceoff"
"54",2268,"SP",1989,"9/18/89",30402,"LEPTODIAPTOMUS MINUTUS",2.96,NA,NA,"iceoff"
"55",2302,"SP",1989,"10/16/89",30402,"LEPTODIAPTOMUS MINUTUS",0.93,NA,NA,"iceoff"
