,sampledate,Genus,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,Taxa,WaterCol,Functional,year4,group,depth,ph,alk,dic,tic,doc,toc,no3no2,no2,nh4,o2,totnf,totnuf,totpf,totpuf,drsif
1,6/4/81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA
2,6/16/81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,6/30/81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
4,7/16/81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,7/27/81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,7.88,310,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA
6,8/11/81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,8/25/81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,8.02,533,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA
8,9/15/81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9/22/81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,7.69,627,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,3,4035
10,10/19/81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA
11,12/2/81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA
12,1/20/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,NA,NA,NA,NA,NA
13,2/24/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,4/5/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,NA,NA,NA,NA,NA
15,5/12/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.44,545,NA,NA,NA,NA,0,0,NA,10.5,NA,NA,NA,NA,3584
16,5/27/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA
17,6/10/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA
18,6/23/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,7/8/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,7/20/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
21,8/2/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,NA,NA
22,8/17/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.59,578,NA,NA,NA,NA,0,0,0,NA,NA,NA,4,NA,3490
23,9/9/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.59,NA,NA,NA,NA,NA,0,0,0,9.1,NA,NA,NA,NA,3489
24,9/20/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.5,NA,NA,NA,NA,NA,0,0,0,8.7,NA,NA,NA,NA,3431
25,10/7/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.59,NA,NA,NA,NA,NA,0,0,0,10,NA,NA,NA,NA,3431
26,10/19/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.25,NA,NA,NA,NA,NA,5,0,10,9.5,NA,NA,NA,NA,3370
27,11/10/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA
28,12/2/82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA
29,1/13/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,NA,NA,NA,NA,NA
30,2/24/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA
31,3/28/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,5/11/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA
33,5/25/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.84,NA,NA,NA,NA,NA,0,NA,16,11.1,NA,NA,NA,NA,3430
34,6/9/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.51,NA,NA,NA,NA,NA,0,NA,0,10,NA,NA,NA,NA,3385
35,6/21/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.7,NA,NA,NA,NA,NA,0,NA,NA,8.7,NA,NA,NA,NA,3390
36,7/8/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.75,NA,NA,NA,NA,NA,0,NA,0,8.6,NA,NA,NA,NA,NA
37,7/21/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.7,NA,NA,NA,NA,NA,4,NA,0,8.2,NA,NA,NA,NA,3232
38,7/21/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.78,NA,NA,NA,NA,NA,0,NA,0,8.2,NA,NA,NA,NA,3251
39,7/21/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.7,NA,NA,NA,NA,NA,4,NA,0,NA,NA,NA,NA,NA,3232
40,7/21/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.78,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,3251
41,8/1/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA
42,8/16/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.92,502,NA,NA,NA,NA,0,NA,0,9.3,NA,NA,7,NA,3384
43,9/6/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.76,NA,NA,NA,NA,NA,0,NA,42,7.6,NA,NA,NA,NA,3457
44,9/27/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.73,NA,NA,NA,NA,NA,0,NA,0,8.8,NA,NA,NA,NA,4138
45,10/17/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.43,NA,NA,NA,NA,NA,0,NA,12,9,NA,NA,NA,NA,3234
46,10/17/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.45,NA,NA,NA,NA,NA,0,NA,0,9,NA,NA,NA,NA,3236
47,10/17/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.43,NA,NA,NA,NA,NA,0,NA,12,NA,NA,NA,NA,NA,3234
48,10/17/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.45,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,3236
49,11/2/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA
50,11/15/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,7.23,589,NA,NA,NA,NA,5,NA,34,8.7,NA,NA,14,NA,3628
51,11/29/83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA
52,1/6/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.5,NA,NA,NA,NA,NA,11,NA,41,12.9,NA,NA,NA,NA,3830
53,2/27/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.61,650,NA,NA,NA,NA,23,NA,46,13.6,NA,NA,27,NA,3786
54,2/27/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.63,655,NA,NA,NA,NA,36,NA,40,13.6,NA,NA,10,NA,3797
55,2/27/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.61,650,NA,NA,NA,NA,23,NA,46,NA,NA,NA,27,NA,3786
56,2/27/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.63,655,NA,NA,NA,NA,36,NA,40,NA,NA,NA,10,NA,3797
57,4/10/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceon,0,7.36,NA,NA,NA,NA,NA,23,NA,37,9.6,NA,NA,NA,NA,2272
58,4/26/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,NA,NA,NA,NA,NA,NA,0,NA,21,11.2,NA,NA,NA,NA,3267
59,5/9/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.45,589,NA,NA,NA,NA,3,NA,0,10.7,NA,NA,9,NA,3374
60,5/21/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.75,NA,NA,NA,NA,NA,0,NA,8,10.1,NA,NA,NA,NA,3240
61,5/21/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.75,NA,NA,NA,NA,NA,0,NA,8,NA,NA,NA,NA,NA,3240
62,6/4/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.88,NA,NA,NA,NA,NA,0,NA,9,10,NA,NA,NA,NA,3729
63,6/20/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.97,NA,NA,NA,NA,NA,0,NA,33,9,NA,NA,NA,NA,3311
64,6/20/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.97,NA,NA,NA,NA,NA,0,NA,33,NA,NA,NA,NA,NA,3311
65,7/5/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,7.98,NA,NA,NA,NA,NA,3,NA,92,8.1,NA,NA,NA,NA,3330
66,7/16/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8.09,NA,NA,NA,NA,NA,2,NA,27,8.2,NA,NA,NA,NA,3424
67,7/16/84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,iceoff,0,8.07,NA,NA,NA,NA,NA,1,NA,18,8.2,NA,NA,NA,NA,3322
