,X1.x,sampledate,depth.x,o2.x,deck,light,frlight,avsnow,totice,whiteice,extcoef,blueice,surflite,X1.y,Genus,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,Taxa,WaterCol,Functional,year4,group,depth.y,ph,alk,dic,tic,doc,toc,no3no2,no2,nh4,o2.y,totnf,totnuf,totpf,totpuf,drsif
1,1,6/4/81,0,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,NA
2,2,6/16/81,0,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,6/30/81,0,7.5,NA,1100,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
4,4,7/16/81,0,NA,760,440,0.579,NA,NA,NA,NA,NA,0.578947368,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,7/27/81,0,9.1,230,155.5,0.676,NA,NA,NA,NA,NA,0.676086957,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,7.88,310,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,NA,NA
6,6,8/11/81,0,NA,970,650,0.67,NA,NA,NA,NA,NA,0.670103093,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,8/25/81,0,9.3,620,410,0.661,NA,NA,NA,NA,NA,0.661290323,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,8.02,533,NA,NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA
8,8,9/15/81,0,NA,910,560,0.615,NA,NA,NA,NA,NA,0.615384615,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9,9/22/81,0,NA,978,510,0.521,NA,NA,NA,NA,NA,0.521472393,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,7.69,627,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,3,4035
10,10,10/19/81,0,9.7,133,82,0.617,NA,NA,NA,NA,NA,0.616541353,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA
