
"lakeid","year4","sampledate","depth","wtemp","o2","deck","light"
"SP",1981,"1981-06-04",0.00,18.90,8.8,,
"SP",1981,"1981-06-04",1.00,17.60,8.9,,
"SP",1981,"1981-06-04",2.00,17.20,8.9,,
"SP",1981,"1981-06-04",3.00,17.10,8.9,,
"SP",1981,"1981-06-04",4.00,16.90,8.9,,
"SP",1981,"1981-06-04",5.00,14.60,10.5,,
"SP",1981,"1981-06-04",6.00,11.30,11.3,,
"SP",1981,"1981-06-04",7.00,10.30,11.2,,
"SP",1981,"1981-06-04",8.00,9.40,11.0,,
"SP",1981,"1981-06-04",9.00,9.00,11.0,,
"SP",1981,"1981-06-04",10.00,8.60,10.9,,
"SP",1981,"1981-06-04",11.00,8.10,10.6,,
"SP",1981,"1981-06-04",12.00,7.70,10.2,,
"SP",1981,"1981-06-04",13.00,7.30,9.9,,
"SP",1981,"1981-06-04",14.00,6.90,8.9,,
"SP",1981,"1981-06-04",15.00,6.60,8.5,,
"SP",1981,"1981-06-04",16.00,6.40,7.6,,
"SP",1981,"1981-06-04",17.00,6.30,7.1,,
"SP",1981,"1981-06-04",18.00,6.30,6.1,,
"SP",1981,"1981-06-04",19.00,6.30,5.8,,
"SP",1981,"1981-06-16",0.00,18.90,,,400.00
"SP",1981,"1981-06-16",1.00,18.90,,,160.00
"SP",1981,"1981-06-16",2.00,18.90,,,145.00
"SP",1981,"1981-06-16",3.00,18.80,,,325.00
"SP",1981,"1981-06-16",4.00,18.70,,,225.00
"SP",1981,"1981-06-16",5.00,18.30,,,180.00
"SP",1981,"1981-06-16",6.00,15.00,,,125.00
"SP",1981,"1981-06-16",7.00,11.60,,,93.00
"SP",1981,"1981-06-16",8.00,10.40,,,69.00
"SP",1981,"1981-06-16",9.00,9.50,,,48.00
"SP",1981,"1981-06-16",10.00,8.60,,,36.00
"SP",1981,"1981-06-16",11.00,8.00,,,
"SP",1981,"1981-06-16",12.00,7.60,,,27.00
"SP",1981,"1981-06-16",13.00,7.10,,,19.50
"SP",1981,"1981-06-16",14.00,6.90,,,15.50
"SP",1981,"1981-06-16",15.00,6.60,,,5.10
"SP",1981,"1981-06-16",16.00,6.60,,,4.00
"SP",1981,"1981-06-16",17.00,6.40,,,2.70
"SP",1981,"1981-06-16",18.00,6.40,,,2.20
"SP",1981,"1981-06-16",19.00,6.30,,,0.90
"SP",1981,"1981-06-16",20.00,6.30,,,0.50
"SP",1981,"1981-06-16",20.30,,,,0.00
"SP",1981,"1981-06-30",0.00,20.70,7.5,,1100.00
"SP",1981,"1981-06-30",1.00,20.50,7.4,,500.00
"SP",1981,"1981-06-30",2.00,20.40,7.4,,320.00
"SP",1981,"1981-06-30",3.00,20.00,7.4,,170.00
"SP",1981,"1981-06-30",4.00,19.80,7.4,,130.00
"SP",1981,"1981-06-30",5.00,19.50,7.5,,100.00
"SP",1981,"1981-06-30",6.00,18.00,8.1,,54.00
"SP",1981,"1981-06-30",7.00,13.80,9.1,,50.00
"SP",1981,"1981-06-30",8.00,11.20,10.1,,40.00
"SP",1981,"1981-06-30",9.00,10.00,9.8,,31.00
"SP",1981,"1981-06-30",10.00,9.30,9.4,,24.00
"SP",1981,"1981-06-30",11.00,8.50,9.0,,16.00
"SP",1981,"1981-06-30",12.00,8.00,8.2,,15.00
"SP",1981,"1981-06-30",13.00,7.60,7.3,,10.00
"SP",1981,"1981-06-30",14.00,7.20,6.3,,8.00
"SP",1981,"1981-06-30",15.00,6.90,5.7,,6.50
"SP",1981,"1981-06-30",16.00,6.80,4.6,,4.80
"SP",1981,"1981-06-30",17.00,6.70,4.0,,3.10
"SP",1981,"1981-06-30",18.00,6.70,3.4,,1.80
"SP",1981,"1981-06-30",19.00,6.60,2.3,,0.60
"SP",1981,"1981-06-30",20.00,6.50,,,0.10
"SP",1981,"1981-07-16",0.00,23.60,,760,440.00
"SP",1981,"1981-07-16",1.00,23.30,,,400.00
"SP",1981,"1981-07-16",2.00,23.00,,,310.00
"SP",1981,"1981-07-16",3.00,22.90,,,220.00
"SP",1981,"1981-07-16",4.00,22.90,,,145.00
"SP",1981,"1981-07-16",5.00,21.70,,,70.00
"SP",1981,"1981-07-16",6.00,18.50,,,52.00
"SP",1981,"1981-07-16",7.00,15.50,,,36.00
"SP",1981,"1981-07-16",8.00,11.90,,,27.50
"SP",1981,"1981-07-16",9.00,10.40,,,20.50
"SP",1981,"1981-07-16",10.00,9.50,,,15.50
"SP",1981,"1981-07-16",11.00,8.70,,,12.00
"SP",1981,"1981-07-16",12.00,8.10,,,9.50
"SP",1981,"1981-07-16",13.00,7.60,,,7.50
"SP",1981,"1981-07-16",14.00,7.20,,,5.60
"SP",1981,"1981-07-16",15.00,6.90,,,4.20
"SP",1981,"1981-07-16",16.00,6.80,,,2.60
"SP",1981,"1981-07-16",17.00,6.70,,,1.50
"SP",1981,"1981-07-16",18.00,6.60,,,0.80
"SP",1981,"1981-07-16",19.00,6.40,,,0.20
