year,month,sampledate,genus,cellcount
1997,1,1/14/1997,Planktothrix,6935
1997,1,1/14/1997,Microcystis,1830
1997,1,1/14/1997,Cyclotella,1
1997,2,2/17/1997,Planktothrix,235
1997,2,2/17/1997,Microcystis,117
1997,5,5/6/1997,Planktothrix,230
1997,5,5/6/1997,Microcystis,270
1997,5,5/6/1997,Cyclotella,5
1997,5,5/6/1997,Cryptomonad,217
1997,6,6/18/1997,Planktothrix,8
1997,6,6/18/1997,Microcystis,184
1997,6,6/18/1997,Cryptomonad,65
1997,6,6/18/1997,Cyclotella,18
1997,7,7/29/1997,Fragilaria,19
1997,7,7/29/1997,Planktothrix,2
1997,7,7/29/1997,Microcystis,77
1997,7,7/29/1997,Cryptomonad,31
1997,7,7/29/1997,Cyclotella,1
1997,8,8/28/1997,Planktothrix,374
1997,8,8/28/1997,Microcystis,478
1997,8,8/28/1997,Cryptomonad,60
1997,8,8/28/1997,Cyclotella,5
1997,11,11/10/1997,Microcystis,83
1997,11,11/10/1997,Planktothrix,174
1997,11,11/10/1997,Cryptomonad,97
1997,11,11/10/1997,Fragilaria,4
1998,2,2/23/1998,Planktothrix,1817
1998,2,2/23/1998,Microcystis,998
1998,2,2/23/1998,Cryptomonad,75
1998,2,2/23/1998,Fragilaria,19
1998,4,4/20/1998,Fragilaria,16
1998,4,4/20/1998,Planktothrix,52
1998,4,4/20/1998,Cryptomonad,109
1998,6,6/15/1998,Microcystis,470
1998,6,6/15/1998,Planktothrix,776
1998,6,6/15/1998,Cryptomonad,127
1998,6,6/15/1998,Fragilaria,7
1998,7,7/14/1998,Fragilaria,2
1998,7,7/14/1998,Cryptomonad,62
1998,7,7/14/1998,Planktothrix,590
1998,7,7/14/1998,Microcystis,541
1998,7,7/14/1998,Cyclotella,226
1998,8,8/12/1998,Planktothrix,693
1998,8,8/12/1998,Microcystis,488
1998,8,8/12/1998,Cryptomonad,35
1998,8,8/12/1998,Cyclotella,171
1998,11,11/12/1998,Microcystis,25
1998,11,11/12/1998,Planktothrix,6
1998,11,11/12/1998,Cryptomonad,46
1998,11,11/12/1998,Cyclotella,7
1998,11,11/12/1998,Fragilaria,7
1999,2,2/23/1999,Planktothrix,163
1999,2,2/23/1999,Microcystis,202
1999,2,2/23/1999,Cryptomonad,16
1999,2,2/23/1999,Cyclotella,1
1999,2,2/23/1999,Fragilaria,2
1999,5,5/4/1999,Microcystis,94
1999,5,5/4/1999,Cryptomonad,72
1999,5,5/4/1999,Fragilaria,126
1999,7,7/1/1999,Planktothrix,5
1999,7,7/1/1999,Microcystis,0
1999,7,7/1/1999,Cryptomonad,21
1999,7,7/1/1999,Fragilaria,16
1999,8,8/23/1999,Cryptomonad,30
1999,8,8/23/1999,Cyclotella,53
1999,8,8/23/1999,Fragilaria,11
1999,11,11/10/1999,Cryptomonad,22
1999,11,11/10/1999,Cyclotella,7
1999,11,11/10/1999,Fragilaria,9
2000,2,2/22/2000,Cryptomonad,9
2000,4,4/6/2000,Cryptomonad,48
2000,4,4/6/2000,Cyclotella,1
2000,4,4/6/2000,Fragilaria,13
2000,5,5/30/2000,Cryptomonad,22
2000,5,5/30/2000,Cyclotella,1
2000,5,5/30/2000,Fragilaria,12
2000,7,7/26/2000,Microcystis,39
2000,7,7/26/2000,Cryptomonad,25
2000,7,7/26/2000,Cyclotella,59
2000,7,7/26/2000,Fragilaria,23
2000,8,8/21/2000,Planktothrix,3
2000,8,8/21/2000,Cryptomonad,28
2000,8,8/21/2000,Cyclotella,37
2000,8,8/21/2000,Fragilaria,4
2000,11,11/16/2000,Cryptomonad,33
2000,11,11/16/2000,Cyclotella,57
2000,11,11/16/2000,Fragilaria,1
2001,2,2/28/2001,Microcystis,72
2001,2,2/28/2001,Cryptomonad,8
2001,4,4/30/2001,Microcystis,7
2001,4,4/30/2001,Cryptomonad,48
2001,4,4/30/2001,Fragilaria,1
2001,5,5/29/2001,Cryptomonad,5
2001,5,5/29/2001,Fragilaria,7
2001,6,6/26/2001,Cryptomonad,9
2001,6,6/26/2001,Cyclotella,7
2001,6,6/26/2001,Fragillaria,11
2001,7,7/24/2001,Planktothrix,13
2001,7,7/24/2001,Cryptomonad,7
2001,7,7/24/2001,Fragilaria,4
2001,8,8/20/2001,Planktothrix,51
2001,8,8/20/2001,Microcystis,79
2001,8,8/20/2001,Cryptomonad,8
2001,8,8/20/2001,Cyclotella,10
2001,11,11/15/2001,Fragilaria,53
2001,11,11/15/2001,Cyclotella,11
2001,11,11/15/2001,Planktothrix,16
2001,11,11/15/2001,Cryptomonad,1
2002,2,2/28/2002,Cyclotella,79
2002,2,2/28/2002,Planktothrix,5
2002,2,2/28/2002,Cryptomonad,25
2002,2,2/28/2002,Fragilaria,8
2002,4,4/23/2002,Cyclotella,38
2002,4,4/23/2002,Planktothrix,15
2002,4,4/23/2002,Cryptomonad,91
2002,4,4/23/2002,Fragilaria,96
2002,6,6/19/2002,Cryptomonad,55
2002,6,6/19/2002,Cyclotella,35
2002,6,6/19/2002,Fragilaria,109
2002,7,7/17/2002,Planktothrix,18
2002,7,7/17/2002,Microcystis,66
2002,7,7/17/2002,Cryptomonad,58
2002,7,7/17/2002,Cyclotella,12
2002,7,7/17/2002,Fragilaria,11
2002,8,8/14/2002,Planktothrix,8
2002,8,8/14/2002,Microcystis,103
2002,8,8/14/2002,Cryptomonad,18
2002,8,8/14/2002,Cyclotella,35
2002,8,8/14/2002,Fragilaria,1
2002,11,11/7/2002,Planktothrix,2
2002,11,11/7/2002,Microcystis,261
2002,11,11/7/2002,Cryptomonad,27
2002,11,11/7/2002,Cyclotella,309
2002,11,11/7/2002,Fragilaria,17
2003,3,3/6/2003,Planktothrix,32
2003,3,3/6/2003,Microcystis,126
2003,3,3/6/2003,Cryptomonad,49
2003,3,3/6/2003,Cyclotella,17
2003,3,3/6/2003,Fragilaria,1
2003,4,4/29/2003,Cryptomonad,73
2003,4,4/29/2003,Cyclotella,27
2003,4,4/29/2003,Fragilaria,6
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
