lakeid,year,group,sampledate,depth,chlor,phaeo,depth integrated
SP,1997,iceon,1/14/1997,0,1.3,0.4,0.675
SP,1997,iceon,2/17/1997,0,0.9,0.4,0.0875
SP,1997,iceon,3/25/1997,0,3.8,0.5,0.9375
SP,1997,iceoff,5/6/1997,0,7.3,2.9,6.84375
SP,1997,iceoff,5/21/1997,0,4.5,1.8,4.75625
SP,1997,iceoff,6/4/1997,0,0.3,0.2,2.025
SP,1997,iceoff,6/18/1997,0,1,0.8,2.10625
SP,1997,iceoff,7/1/1997,0,0.7,0.3,2.525
SP,1997,iceoff,7/17/1997,0,0.7,0.6,0.75625
SP,1997,iceoff,7/29/1997,0,0,1.7,-1.36875
SP,1997,iceoff,8/13/1997,0,0.8,0.8,-3.94375
SP,1997,iceoff,8/28/1997,0,0.5,1.3,1.05625
SP,1997,iceoff,9/9/1997,0,1.1,2.5,1.15625
SP,1997,iceoff,9/24/1997,0,1.1,1.5,1.025
SP,1997,iceoff,10/7/1997,0,0.8,4,1.76875
SP,1997,iceoff,10/24/1997,0,1.2,3.8,0.875
SP,1997,iceoff,11/10/1997,0,1.8,6,1.96875
SP,1998,iceon,1/12/1998,0,42.7,-16.2,12.35
SP,1998,iceon,2/23/1998,0,0.7,0,2.19375
SP,1998,iceon,3/18/1998,0,12,-2.2,5.86875
SP,1998,iceoff,5/5/1998,0,2.4,-1.2,5.34375
SP,1998,iceoff,5/19/1998,0,1.9,-0.8,4.4375
SP,1998,iceoff,6/1/1998,0,1.8,0.3,3.75625
SP,1998,iceoff,6/15/1998,0,0.9,0.2,3.1125
SP,1998,iceoff,6/29/1998,0,0.8,0,3.13125
SP,1998,iceoff,7/14/1998,0,0.6,0,2.75
SP,1998,iceoff,7/27/1998,0,0.9,0.4,3.2125
SP,1998,iceoff,8/12/1998,0,1,0.1,2.4
SP,1998,iceoff,8/26/1998,0,1.4,0,3.9875
SP,1998,iceoff,9/9/1998,0,1,0.3,3.425
SP,1998,iceoff,9/24/1998,0,1.5,0.3,3.175
SP,1998,iceoff,10/6/1998,0,1.8,0,3.18125
SP,1998,iceoff,10/20/1998,0,2.1,0.5,3.34375
