lakeid,year,sampledate,depth,ph,alk,dic,tic,doc,toc,no2,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,chlor,phaeo
SP,1997,1/14/1997,0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4
SP,1997,2/17/1997,0,7.24,640,8.89,8.97,3.65,3.62,NA,262,309,3,4,2589,3245,3210,NA,0.9,0.4
SP,1997,3/25/1997,0,7.36,NA,9.45,9.57,3.54,3.42,NA,286,366,2,11,2703,3351,3422,NA,3.8,0.5
SP,1997,5/6/1997,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
SP,1997,5/21/1997,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,1.8
SP,1997,6/4/1997,0,7.86,NA,8.1,8.14,3.24,3.17,NA,159,154,3,4,3009,2417,4304,0.29,0.3,0.2
SP,1997,6/18/1997,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8
SP,1997,7/1/1997,0,8.05,NA,7.91,7.97,3.51,3.51,NA,92,115,0,2,2603,2614,2702,0.48,0.7,0.3
SP,1997,7/17/1997,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.6
SP,1997,7/29/1997,0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7
SP,1997,8/13/1997,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.8
SP,1997,8/28/1997,0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3
SP,1997,9/9/1997,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2.5
SP,1997,9/24/1997,0,8.01,NA,8.07,8.14,3.54,3.54,NA,167,152,4,6,2436,2231,2319,0.91,1.1,1.5
SP,1997,10/7/1997,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,4
SP,1997,10/24/1997,0,7.63,NA,8.22,8.37,3.39,3.39,NA,161,198,3,6,2637,2303,2303,0.15,1.2,3.8
SP,1997,11/10/1997,0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6
SP,1998,1/12/1998,0,7.97,NA,10,10.79,3.92,4.04,NA,253,292,5,16,3103,3229,3319,NA,42.7,-16.2
SP,1998,2/23/1998,0,7.92,674,8.14,8.26,3.3,3.27,NA,311,276,5,6,2871,2626,2580,NA,0.7,0
SP,1998,3/18/1998,0,8.58,NA,8.27,8.59,3.77,3.76,NA,398,403,13,15,2755,2714,2714,1.06,12,-2.2
SP,1998,5/5/1998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,-1.2
SP,1998,5/19/1998,0,8.11,NA,7.99,8.16,3.18,3.19,NA,195,205,2,4,2522,2710,2710,0.63,1.9,-0.8
SP,1998,6/1/1998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.3
SP,1998,6/15/1998,0,8.06,NA,7.98,8.35,3.27,4.23,NA,168,168,0,3,2396,2635,2560,0.26,0.9,0.2
SP,1998,6/29/1998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0
SP,1998,7/14/1998,0,8.12,NA,8.06,8.21,3.47,3.37,NA,130,142,1,3,2300,2478,2563,0.19,0.6,0
SP,1998,7/27/1998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,0.4
SP,1998,8/12/1998,0,8.2,625,8.25,8.26,3.53,3.53,NA,171,210,2,3,2156,1965,2393,0.35,1,0.1
SP,1998,8/12/1998,0,7.95,622,8.26,8.29,3.56,3.55,NA,156,190,1,3,2731,2478,2393,0.3,1,0.1
SP,1998,8/26/1998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0
SP,1998,9/9/1998,0,8.18,NA,8.48,8.55,3.68,3.77,NA,151,165,0,2,2315,2479,2479,0.48,1,0.3
SP,1998,9/24/1998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.3
SP,1998,10/6/1998,0,7.92,NA,8.32,8.4,3.42,3.62,NA,166,184,2,4,2282,2238,2455,0.27,1.8,0
SP,1998,10/6/1998,0,7.91,NA,8.28,8.3,3.52,3.44,NA,160,201,2,4,2282,2455,2816,0.3,1.8,0
SP,1998,10/20/1998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,0.5
SP,1998,11/12/1998,0,7.33,661,9.18,9.18,3.68,3.52,NA,219,240,5,12,2918,2632,2632,1.38,3.9,1.3
SP,1999,1/18/1999,0,7.59,NA,9.6,9.82,3.51,3.38,NA,258,226,3,10,3068,3207,3207,NA,2,0.6
SP,1999,2/23/1999,0,7.54,731,9.44,9.58,3.44,3.24,NA,447,576,5,15,3068,3261,3220,NA,5.1,0.5
SP,1999,3/24/1999,0,8.08,NA,9.58,9.66,3.64,3.61,NA,256,295,2,0,3191,3275,3358,NA,0.6,0.3
SP,1999,5/4/1999,0,8.14,649,8.37,8.61,2.99,2.89,NA,147,117,4,29,2700,2619,2619,1.11,3.3,-0.1
SP,1999,5/20/1999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0.8
SP,1999,6/2/1999,0,8.16,NA,8.24,8.45,3.34,3.16,NA,280,325,11,15,2577,2462,2590,0.48,4.1,0.3
SP,1999,6/16/1999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,0.4
SP,1999,7/1/1999,0,8.09,NA,8.29,8.41,3.32,3.36,NA,136,211,2,4,2555,2569,2634,0.32,1.3,0.3
SP,1999,7/1/1999,0,8.1,NA,8.38,8.47,3.3,3.67,NA,131,181,1,4,2491,2700,2700,0.14,1.3,0.3
SP,1999,7/1/1999,0,8.09,NA,8.29,8.41,3.32,3.36,NA,136,211,2,4,2555,2569,2634,0.32,0.9,0.3
SP,1999,7/1/1999,0,8.1,NA,8.38,8.47,3.3,3.67,NA,131,181,1,4,2491,2700,2700,0.14,0.9,0.3
SP,1999,7/15/1999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,-1.1
SP,1999,7/28/1999,0,8.17,NA,7.78,7.86,3.38,3.43,NA,146,193,0,3,2463,2503,2536,0.18,1.8,0.1
SP,1999,8/10/1999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,0.1
SP,1999,8/10/1999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,0.1
SP,1999,8/23/1999,0,8.07,619,8.27,8.31,3.66,3.47,NA,178,223,4,5,2272,2299,2385,0.16,1.7,0.7
SP,1999,9/9/1999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0.3
SP,1999,9/23/1999,0,7.98,NA,8.3,8.44,3.38,3.47,NA,169,164,1,3,2526,2155,2284,1.26,1.8,0.6
SP,1999,10/8/1999,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,-0.7
SP,1999,10/19/1999,0,7.55,NA,8.51,8.58,3.22,3.21,NA,202,202,4,5,2463,2889,2889,0.66,4.7,1.1
SP,1999,11/10/1999,0,7.54,651,8.57,8.66,3.34,3.27,NA,212,223,5,9,2545,3156,3245,0.4,15.2,0.1
SP,2000,1/18/2000,0,7.78,NA,9.44,9.75,4.32,4.25,NA,291,370,5,13,2943,3166,3072,NA,15.8,6.6
SP,2000,2/22/2000,0,7.66,709,9.61,9.62,3.21,3.16,NA,226,282,6,9,2975,3412,3368,NA,4.3,1.6
SP,2000,4/6/2000,0,7.42,645,8.41,8.77,2.67,2.58,NA,242,279,2,7,3007,2829,2996,1.04,10.9,-1.5
SP,2000,4/18/2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,1.5
SP,2000,5/2/2000,0,8.01,NA,8.57,8.86,3.58,3.31,NA,198,218,3,6,2883,3045,2954,0.41,2.6,0.9
SP,2000,5/2/2000,0,7.97,NA,8.71,8.95,3.61,3.31,NA,230,232,5,8,2883,3225,2954,0.25,2.6,0.9
SP,2000,5/17/2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,2.1
SP,2000,5/30/2000,0,8.16,NA,8.48,8.62,3.31,3.22,NA,171,249,1,4,2947,2954,3135,0.23,0.7,0.9
SP,2000,6/27/2000,0,7.94,NA,8.56,8.59,3.46,3.51,NA,219,214,2,4,2638,2696,2783,0.14,1.5,0.1
SP,2000,6/27/2000,0,8.02,NA,8.5,8.62,3.36,3.4,NA,239,254,1,3,2700,2696,2783,0.23,1.5,0.1
SP,2000,7/12/2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,0.2
SP,2000,7/26/2000,0,7.99,NA,8.4,8.54,3.78,3.93,NA,193,248,0,3,2138,2101,2396,0.47,1.8,0.1
SP,2000,8/8/2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,0.1
SP,2000,9/6/2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.3
SP,2000,9/18/2000,0,7.87,NA,8.45,8.28,4.37,3.95,NA,205,250,0,4,2223,2238,2403,0.36,2.2,0.2
SP,2000,10/3/2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,0.2
SP,2000,10/17/2000,0,7.64,NA,8.52,8.53,3.98,4.23,NA,214,283,7,6,2363,2569,2818,0.18,1.6,0.4
SP,2000,11/1/2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.2
SP,2000,11/16/2000,0,7.32,656,9.06,8.95,3.35,3.45,NA,226,268,3,9,2890,2844,2844,0.78,6,1.1
SP,2001,1/22/2001,0,7.77,NA,9.03,9.38,3.74,3.84,NA,215,274,5,15,2857,2794,2838,NA,5.5,0.3
SP,2001,2/28/2001,0,7.7,676,8.62,8.76,3.16,2.93,NA,293,266,4,14,2790,2706,2706,NA,2.2,0
SP,2001,2/28/2001,0,7.68,672,8.54,8.84,3.19,2.94,NA,243,297,3,14,3055,2794,3057,NA,2.2,0
SP,2001,4/30/2001,0,7.9,645,8.49,8.8,3.46,3.26,NA,131,198,4,10,2857,3089,3264,0.68,11,1.2
