
"lakeid","year4","sampledate","depth","chlor","phaeo"
"SP",1981,"1981-06-30",0.00,3.5,
"SP",1981,"1981-06-30",3.00,8.6,
"SP",1981,"1981-06-30",5.00,4.7,
"SP",1981,"1981-06-30",8.00,4.1,
"SP",1981,"1981-06-30",10.00,4.1,
"SP",1981,"1981-06-30",12.00,4.2,
"SP",1981,"1981-06-30",15.00,2.8,
"SP",1981,"1981-06-30",18.00,2.4,
"SP",1981,"1981-07-16",0.00,1.7,
"SP",1981,"1981-07-16",3.00,6.7,
"SP",1981,"1981-07-16",5.00,2.8,
"SP",1981,"1981-07-16",8.00,5.0,
"SP",1981,"1981-07-16",10.00,10.1,
"SP",1981,"1981-07-16",12.00,5.6,
"SP",1981,"1981-07-16",15.00,7.8,
"SP",1981,"1981-07-16",18.00,10.4,
"SP",1981,"1981-07-27",0.00,3.5,
"SP",1981,"1981-07-27",3.00,6.9,
"SP",1981,"1981-07-27",5.00,4.3,
"SP",1981,"1981-07-27",8.00,5.4,
"SP",1981,"1981-07-27",10.00,4.8,
"SP",1981,"1981-07-27",12.00,10.2,
"SP",1981,"1981-07-27",15.00,5.0,
"SP",1981,"1981-07-27",18.00,3.7,
"SP",1981,"1981-08-11",0.00,7.3,
"SP",1981,"1981-08-11",3.00,5.6,
"SP",1981,"1981-08-11",5.00,7.4,
"SP",1981,"1981-08-11",8.00,16.7,
"SP",1981,"1981-08-11",10.00,13.7,
"SP",1981,"1981-08-11",12.00,15.0,
"SP",1981,"1981-08-11",15.00,8.4,
"SP",1981,"1981-08-11",18.00,20.9,
"SP",1981,"1981-08-25",0.00,1.6,
"SP",1981,"1981-08-25",3.00,2.6,
"SP",1981,"1981-08-25",5.00,1.8,
"SP",1981,"1981-08-25",8.00,3.1,
"SP",1981,"1981-08-25",10.00,4.8,
"SP",1981,"1981-08-25",12.00,5.4,
"SP",1981,"1981-08-25",15.00,7.2,
"SP",1981,"1981-08-25",18.00,0.5,
"SP",1981,"1981-09-15",0.00,2.1,
"SP",1981,"1981-09-15",3.00,1.8,
"SP",1981,"1981-09-15",5.00,1.2,
"SP",1981,"1981-09-15",8.00,1.6,
"SP",1981,"1981-09-15",10.00,2.8,
"SP",1981,"1981-09-15",12.00,3.9,
"SP",1981,"1981-09-15",15.00,5.2,
"SP",1981,"1981-09-15",18.00,3.5,
"SP",1981,"1981-09-22",0.00,2.1,
"SP",1981,"1981-09-22",3.00,2.6,
"SP",1981,"1981-09-22",5.00,2.4,
"SP",1981,"1981-09-22",8.00,2.6,
"SP",1981,"1981-09-22",10.00,2.8,
"SP",1981,"1981-09-22",12.00,5.1,
"SP",1981,"1981-09-22",15.00,5.6,
"SP",1981,"1981-09-22",18.00,7.2,
"SP",1981,"1981-10-19",0.00,4.8,
"SP",1981,"1981-10-19",3.00,5.0,
"SP",1981,"1981-10-19",5.00,3.7,
"SP",1981,"1981-10-19",8.00,4.4,
"SP",1981,"1981-10-19",10.00,4.3,
"SP",1981,"1981-10-19",12.00,4.3,
"SP",1981,"1981-10-19",15.00,3.1,
"SP",1981,"1981-12-02",0.00,10.4,
"SP",1981,"1981-12-02",3.00,10.1,
"SP",1981,"1981-12-02",5.00,9.3,
"SP",1981,"1981-12-02",8.00,9.5,
"SP",1981,"1981-12-02",10.00,9.4,
"SP",1981,"1981-12-02",12.00,9.5,
"SP",1981,"1981-12-02",15.00,8.7,
"SP",1981,"1981-12-02",18.00,8.4,
"SP",1982,"1982-01-20",0.00,18.8,
"SP",1982,"1982-01-20",3.00,7.3,
"SP",1982,"1982-01-20",5.00,3.7,
"SP",1982,"1982-01-20",8.00,2.2,
"SP",1982,"1982-01-20",10.00,1.6,
"SP",1982,"1982-01-20",12.00,1.6,
"SP",1982,"1982-01-20",15.00,1.6,
"SP",1982,"1982-01-20",18.00,5.5,
"SP",1982,"1982-02-24",0.00,2.8,
"SP",1982,"1982-02-24",3.00,1.6,
"SP",1982,"1982-02-24",5.00,1.1,
"SP",1982,"1982-02-24",8.00,0.4,
"SP",1982,"1982-02-24",10.00,0.4,
"SP",1982,"1982-02-24",12.00,0.3,
"SP",1982,"1982-02-24",15.00,0.3,
"SP",1982,"1982-02-24",17.00,4.6,
"SP",1982,"1982-04-05",0.00,4.6,
"SP",1982,"1982-04-05",3.00,6.3,
"SP",1982,"1982-04-05",5.00,4.1,
"SP",1982,"1982-04-05",8.00,2.8,
"SP",1982,"1982-04-05",10.00,2.8,
"SP",1982,"1982-04-05",12.00,1.1,
"SP",1982,"1982-04-05",15.00,1.2,
"SP",1982,"1982-05-12",0.00,5.9,
"SP",1982,"1982-05-12",3.00,6.7,
"SP",1982,"1982-05-12",5.00,16.8,
"SP",1982,"1982-05-12",8.00,16.1,
"SP",1982,"1982-05-12",10.00,15.9,
"SP",1982,"1982-05-12",12.00,14.2,
"SP",1982,"1982-05-12",15.00,11.7,
"SP",1982,"1982-05-12",18.00,9.3,
"SP",1982,"1982-05-27",0.00,1.1,
"SP",1982,"1982-05-27",3.00,1.4,
"SP",1982,"1982-05-27",5.00,3.0,
"SP",1982,"1982-05-27",8.00,4.2,
"SP",1982,"1982-05-27",10.00,13.4,
"SP",1982,"1982-05-27",12.00,15.4,
"SP",1982,"1982-05-27",15.00,57.9,
"SP",1982,"1982-05-27",18.00,12.0,
"SP",1982,"1982-06-10",0.00,1.2,
"SP",1982,"1982-06-10",3.00,1.4,
"SP",1982,"1982-06-10",5.00,2.1,
"SP",1982,"1982-06-10",8.00,2.4,
"SP",1982,"1982-06-10",10.00,8.0,
"SP",1982,"1982-06-10",12.00,11.6,
"SP",1982,"1982-06-10",15.00,72.3,
"SP",1982,"1982-06-10",18.00,38.6,
"SP",1982,"1982-06-23",0.00,1.4,-0.1
"SP",1982,"1982-06-23",3.00,1.1,0.2
"SP",1982,"1982-06-23",5.00,1.1,0.0
"SP",1982,"1982-06-23",8.00,1.3,0.2
"SP",1982,"1982-06-23",10.00,3.5,0.6
"SP",1982,"1982-06-23",12.00,18.5,0.9
"SP",1982,"1982-06-23",15.00,45.3,4.1
"SP",1982,"1982-06-23",18.00,29.1,0.8
"SP",1982,"1982-07-08",0.00,1.3,0.0
"SP",1982,"1982-07-08",3.00,1.4,0.1
"SP",1982,"1982-07-08",5.00,1.7,0.0
"SP",1982,"1982-07-08",8.00,1.6,0.1
"SP",1982,"1982-07-08",10.00,3.5,0.9
"SP",1982,"1982-07-08",12.00,17.1,0.0
"SP",1982,"1982-07-08",15.00,24.7,5.8
"SP",1982,"1982-07-08",18.00,78.3,0.0
"SP",1982,"1982-07-20",0.00,0.9,0.0
"SP",1982,"1982-07-20",3.00,1.2,0.0
"SP",1982,"1982-07-20",5.00,1.7,-0.1
"SP",1982,"1982-07-20",8.00,1.1,1.7
"SP",1982,"1982-07-20",10.00,9.7,1.4
"SP",1982,"1982-07-20",12.00,16.1,2.5
"SP",1982,"1982-07-20",15.00,29.4,-2.8
"SP",1982,"1982-07-20",18.00,2.2,1.3
"SP",1982,"1982-08-02",0.00,1.8,0.3
"SP",1982,"1982-08-02",3.00,2.1,0.1
"SP",1982,"1982-08-02",5.00,2.4,0.1
"SP",1982,"1982-08-02",8.00,4.8,0.2
"SP",1982,"1982-08-02",10.00,3.4,0.6
"SP",1982,"1982-08-02",12.00,2.8,1.4
"SP",1982,"1982-08-02",15.00,24.8,-0.8
"SP",1982,"1982-08-02",18.00,6.0,2.3
"SP",1982,"1982-08-17",0.00,1.1,0.1
"SP",1982,"1982-08-17",3.00,1.1,0.1
"SP",1982,"1982-08-17",5.00,1.2,0.3
"SP",1982,"1982-08-17",8.00,2.1,0.6
"SP",1982,"1982-08-17",10.00,2.9,0.9
"SP",1982,"1982-08-17",12.00,3.0,1.3
"SP",1982,"1982-08-17",15.00,11.9,1.3
"SP",1982,"1982-08-17",18.00,5.8,4.1
"SP",1982,"1982-09-09",0.00,0.9,0.2
"SP",1982,"1982-09-09",3.00,1.2,0.2
"SP",1982,"1982-09-09",5.00,1.4,0.1
"SP",1982,"1982-09-09",8.00,2.0,0.1
"SP",1982,"1982-09-09",10.00,3.7,0.7
"SP",1982,"1982-09-09",12.00,4.3,1.2
"SP",1982,"1982-09-09",15.00,10.6,1.3
"SP",1982,"1982-09-09",18.00,3.5,15.3
"SP",1982,"1982-09-20",0.00,1.8,0.0
"SP",1982,"1982-09-20",3.00,2.2,-0.3
"SP",1982,"1982-09-20",5.00,2.1,0.1
"SP",1982,"1982-09-20",8.00,1.8,0.2
"SP",1982,"1982-09-20",10.00,3.5,0.2
"SP",1982,"1982-09-20",12.00,5.5,0.4
"SP",1982,"1982-09-20",15.00,16.7,1.6
"SP",1982,"1982-09-20",18.00,49.4,-29.2
"SP",1982,"1982-10-07",0.00,2.5,-0.4
"SP",1982,"1982-10-07",5.00,2.8,0.3
"SP",1982,"1982-10-07",8.00,2.6,-0.5
"SP",1982,"1982-10-07",10.00,2.6,-0.3
"SP",1982,"1982-10-07",12.00,5.0,0.1
"SP",1982,"1982-10-07",14.00,6.7,2.9
"SP",1982,"1982-10-07",16.00,6.7,13.2
"SP",1982,"1982-10-07",18.00,9.1,13.7
"SP",1982,"1982-10-19",8.00,3.3,-0.3
"SP",1982,"1982-10-19",10.00,3.4,-0.4
"SP",1982,"1982-10-19",11.00,3.3,-0.1
"SP",1982,"1982-10-19",12.00,3.1,0.1
"SP",1982,"1982-10-19",13.00,3.1,-0.2
"SP",1982,"1982-10-19",14.00,2.4,-0.1
"SP",1982,"1982-10-19",15.00,6.3,1.8
"SP",1982,"1982-10-19",16.00,7.6,7.4
"SP",1982,"1982-10-19",17.00,2.0,21.1
"SP",1982,"1982-10-19",18.00,1.1,18.9
"SP",1982,"1982-11-10",0.00,4.3,-0.1
"SP",1982,"1982-11-10",3.00,3.7,0.5
"SP",1982,"1982-11-10",8.00,4.1,0.3
"SP",1982,"1982-11-10",10.00,4.8,-0.5
"SP",1982,"1982-11-10",13.00,3.8,0.2
"SP",1982,"1982-11-10",15.00,4.2,0.2
"SP",1982,"1982-11-10",18.00,4.4,-0.1
"SP",1982,"1982-12-02",0.00,3.7,-0.5
"SP",1982,"1982-12-02",3.00,3.1,-0.3
"SP",1982,"1982-12-02",8.00,2.5,0.0
"SP",1982,"1982-12-02",10.00,1.7,0.3
"SP",1982,"1982-12-02",12.00,2.2,-0.1
"SP",1982,"1982-12-02",15.00,1.8,0.3
"SP",1982,"1982-12-02",18.00,0.9,0.0
"SP",1983,"1983-01-13",0.00,9.4,-1.4
"SP",1983,"1983-01-13",3.00,1.6,0.0
