lakeid,year4,sampledate,depth,chlor,phaeo
SP,1997,1/14/97,0,1.3,0.4
SP,1997,2/17/97,0,0.9,0.4
SP,1997,3/25/97,0,3.8,0.5
SP,1997,5/6/97,0,7.3,2.9
SP,1997,5/21/97,0,4.5,1.8
SP,1997,6/4/97,0,0.3,0.2
SP,1997,6/18/97,0,1,0.8
SP,1997,7/1/97,0,0.7,0.3
SP,1997,7/17/97,0,0.7,0.6
SP,1997,7/29/97,0,0,1.7
SP,1997,8/13/97,0,0.8,0.8
SP,1997,8/28/97,0,0.5,1.3
SP,1997,9/9/97,0,1.1,2.5
SP,1997,9/24/97,0,1.1,1.5
SP,1997,10/7/97,0,0.8,4
SP,1997,10/24/97,0,1.2,3.8
SP,1997,11/10/97,0,1.8,6
SP,1998,1/12/98,0,42.7,-16.2
SP,1998,2/23/98,0,0.7,0
SP,1998,3/18/98,0,12,-2.2
SP,1998,5/5/98,0,2.4,-1.2
SP,1998,5/19/98,0,1.9,-0.8
SP,1998,6/1/98,0,1.8,0.3
SP,1998,6/15/98,0,0.9,0.2
SP,1998,6/29/98,0,0.8,0
SP,1998,7/14/98,0,0.6,0
SP,1998,7/27/98,0,0.9,0.4
SP,1998,8/12/98,0,1,0.1
SP,1998,8/26/98,0,1.4,0
SP,1998,9/9/98,0,1,0.3
SP,1998,9/24/98,0,1.5,0.3
SP,1998,10/6/98,0,1.8,0
SP,1998,10/20/98,0,2.1,0.5
SP,1998,11/12/98,0,3.9,1.3
SP,1999,1/18/99,0,2,0.6
SP,1999,2/23/99,0,5.1,0.5
SP,1999,3/24/99,0,0.6,0.3
SP,1999,5/4/99,0,3.3,-0.1
SP,1999,5/20/99,0,1.5,0.8
SP,1999,6/2/99,0,4.1,0.3
SP,1999,6/16/99,0,2.1,0.4
SP,1999,7/1/99,0,1.3,0.3
SP,1999,7/1/99,0,0.9,0.3
SP,1999,7/15/99,0,2.4,-1.1
SP,1999,7/28/99,0,1.8,0.1
SP,1999,8/10/99,0,3.4,0.1
SP,1999,8/23/99,0,1.7,0.7
SP,1999,9/9/99,0,1.3,0.3
SP,1999,9/23/99,0,1.8,0.6
SP,1999,10/8/99,0,3.4,-0.7
SP,1999,10/19/99,0,4.7,1.1
SP,1999,11/10/99,0,15.2,0.1
SP,2000,1/18/00,0,15.8,6.6
SP,2000,2/22/00,0,4.3,1.6
SP,2000,4/6/00,0,10.9,-1.5
SP,2000,4/18/00,0,8.7,1.5
SP,2000,5/2/00,0,2.6,0.9
SP,2000,5/17/00,0,0.1,2.1
SP,2000,5/30/00,0,0.7,0.9
SP,2000,6/27/00,0,1.5,0.1
SP,2000,7/12/00,0,3.8,0.2
SP,2000,7/26/00,0,1.8,0.1
SP,2000,8/8/00,0,2.6,0.1
SP,2000,9/6/00,0,1.1,1.3
SP,2000,9/18/00,0,2.2,0.2
SP,2000,10/3/00,0,2.9,0.2
SP,2000,10/17/00,0,1.6,0.4
SP,2000,11/1/00,0,3,0.2
SP,2000,11/16/00,0,6,1.1
SP,2001,1/22/01,0,5.5,0.3
SP,2001,2/28/01,0,2.2,0
SP,2001,4/30/01,0,11,1.2
SP,2001,5/14/01,0,1.9,0.6
SP,2001,5/29/01,0,0.5,0
SP,2001,6/11/01,0,1.7,-0.6
SP,2001,6/26/01,0,1.1,1
SP,2001,7/9/01,0,0.7,0.2
SP,2001,7/24/01,0,0.9,0.1
SP,2001,8/6/01,0,0.7,0.1
SP,2001,8/20/01,0,1.2,0.5
SP,2001,9/4/01,0,1.1,0.2
SP,2001,9/18/01,0,1.4,0.5
SP,2001,10/2/01,0,0.9,0.7
SP,2001,10/15/01,0,2,0.3
SP,2001,10/29/01,0,2.4,0.9
SP,2001,11/15/01,0,3.2,0.3
SP,2002,1/16/02,0,0.3,0.7
SP,2002,2/28/02,0,-0.1,0.4
SP,2002,4/1/02,0,4.1,1.1
SP,2002,4/23/02,0,2.9,2.1
SP,2002,4/23/02,0,3.1,1.7
SP,2002,5/7/02,0,5.3,2.6
SP,2002,5/22/02,0,8.5,-4.2
SP,2002,6/5/02,0,0.7,1.2
SP,2002,6/19/02,0,1.1,-0.3
SP,2002,7/3/02,0,0.6,1.5
SP,2002,7/17/02,0,1.2,0
SP,2002,7/30/02,0,2.2,-0.2
SP,2002,8/14/02,0,1.7,1.4
SP,2002,8/29/02,0,1.7,-0.2
SP,2002,9/12/02,0,1.7,0.5
SP,2002,9/26/02,0,3,-0.7
SP,2002,10/9/02,0,3.6,-0.9
SP,2002,10/24/02,0,3.7,0.7
SP,2002,11/7/02,0,4.2,0
SP,2003,1/15/03,0,1.4,0
SP,2003,3/6/03,0,9,0.8
SP,2003,4/2/03,0,16.2,7.3
SP,2003,4/29/03,0,3.4,0.1
SP,2003,5/14/03,0,-0.9,6.1
SP,2003,5/30/03,0,2.1,0.1
SP,2003,6/9/03,0,1.6,-0.7
SP,2003,6/23/03,0,1.1,0.1
SP,2003,7/7/03,0,0.5,0.9
SP,2003,7/21/03,0,2.2,-0.3
SP,2003,8/4/03,0,3.3,-1.5
SP,2003,8/20/03,0,1.1,-0.3
SP,2003,9/3/03,0,1.2,0.2
SP,2003,9/16/03,0,1.4,0.1
SP,2003,10/1/03,0,1.9,0.2
SP,2003,10/14/03,0,1.5,0
SP,2003,10/28/03,0,2.9,-0.3
SP,2003,11/13/03,0,2.3,1.8
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
