
"lakeid","year4","sampledate","depth","ph","alk","dic","tic","doc","toc","no2","totnf","totnuf","totpf","totpuf","drsif","brsif","brsiuf","tpm"
"SP",1981,"1981-06-04",0.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",1.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",2.00,7.68,,,,,,,,,3,7,3000,,,
"SP",1981,"1981-06-04",3.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",4.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",5.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",6.00,7.99,,,,,,,,,4,5,3100,,,
"SP",1981,"1981-06-04",7.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",8.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",9.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",10.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",11.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",12.00,7.18,,,,,,,,,4,8,3100,,,
"SP",1981,"1981-06-04",13.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",14.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",15.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",16.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",17.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-04",18.00,6.60,,,,,,,,,5,14,3500,,,
"SP",1981,"1981-06-04",19.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",0.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",1.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",2.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",3.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",4.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",5.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",6.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",7.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",8.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",9.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",10.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",11.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",12.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",13.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",14.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",15.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",16.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",17.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",18.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",19.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",20.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-16",20.30,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",0.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",1.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",2.00,,,,,,,,,,,,2800,,,
"SP",1981,"1981-06-30",3.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",4.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",5.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",6.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",7.00,,,,,,,,,,,,3100,,,
"SP",1981,"1981-06-30",8.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",9.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",10.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",11.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",12.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",13.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",14.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",15.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",16.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",17.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",18.00,,,,,,,,,,,,,,,
"SP",1981,"1981-06-30",19.00,,,,,,,,,,,,4100,,,
"SP",1981,"1981-06-30",20.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",0.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",1.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",2.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",3.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",4.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",5.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",6.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",7.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",8.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",9.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",10.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",11.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",12.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",13.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",14.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",15.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",16.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",17.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",18.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",19.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-16",20.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-27",0.00,7.88,310,,,,,,,,,,,,,
"SP",1981,"1981-07-27",1.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-27",2.00,,,,,,,,,,2,4,3400,,,
"SP",1981,"1981-07-27",3.00,8.00,298,,,,,,,,,,,,,
"SP",1981,"1981-07-27",4.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-27",5.00,6.49,,,,,,,,,,,,,,
"SP",1981,"1981-07-27",6.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-27",7.00,,,,,,,,,,4,10,3500,,,
"SP",1981,"1981-07-27",8.00,8.37,306,,,,,,,,,,,,,
"SP",1981,"1981-07-27",9.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-27",10.00,7.70,,,,,,,,,3,8,,,,
"SP",1981,"1981-07-27",11.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-27",12.00,,,,,,,,,,2,5,4000,,,
"SP",1981,"1981-07-27",13.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-27",14.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-27",15.00,,,,,,,,,,3,5,,,,
"SP",1981,"1981-07-27",16.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-27",17.00,,,,,,,,,,,,,,,
"SP",1981,"1981-07-27",18.00,6.49,670,,,,,,,,6,16,5700,,,
"SP",1981,"1981-07-27",19.00,,,,,,,,,,,,,,,
"SP",1981,"1981-08-11",0.00,,,,,,,,,,,,,,,
"SP",1981,"1981-08-11",1.00,,,,,,,,,,,,,,,
"SP",1981,"1981-08-11",2.00,,,,,,,,,,,,,,,
"SP",1981,"1981-08-11",3.00,,,,,,,,,,,,,,,
"SP",1981,"1981-08-11",4.00,,,,,,,,,,,,,,,
"SP",1981,"1981-08-11",5.00,,,,,,,,,,,,,,,
