,year,month,sampledate,genus,cellcount,chlor,lakeid,depth,ph,alk,dic,tic,doc,toc,no2,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,chlor,phaeo
1,1997,1,1/14/97,Planktothrix,6935,1.3,SP,0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4
2,1997,1,1/14/97,Microcystis,1830,1.3,SP,0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4
3,1997,1,1/14/97,Cyclotella,1,1.3,SP,0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4
4,1997,1,1/14/97,Other,254,1.3,SP,0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4
5,1997,2,2/17/97,Planktothrix,235,0.9,SP,0,7.24,640,8.89,8.97,3.65,3.62,NA,262,309,3,4,2589,3245,3210,NA,0.9,0.4
6,1997,2,2/17/97,Microcystis,117,0.9,SP,0,7.24,640,8.89,8.97,3.65,3.62,NA,262,309,3,4,2589,3245,3210,NA,0.9,0.4
7,1997,2,2/17/97,Other,207,0.9,SP,0,7.24,640,8.89,8.97,3.65,3.62,NA,262,309,3,4,2589,3245,3210,NA,0.9,0.4
8,1997,5,5/6/97,Planktothrix,230,7.3,SP,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
9,1997,5,5/6/97,Microcystis,270,7.3,SP,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
10,1997,5,5/6/97,Cyclotella,5,7.3,SP,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
11,1997,5,5/6/97,Cryptomonad,217,7.3,SP,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
12,1997,5,5/6/97,Other,778,7.3,SP,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
13,1997,6,6/18/97,Planktothrix,8,1,SP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8
14,1997,6,6/18/97,Microcystis,184,1,SP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8
15,1997,6,6/18/97,Cryptomonad,65,1,SP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8
16,1997,6,6/18/97,Cyclotella,18,1,SP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8
17,1997,6,6/18/97,Other,338,1,SP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8
18,1997,7,7/29/97,Fragilaria,19,0,SP,0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7
19,1997,7,7/29/97,Planktothrix,2,0,SP,0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7
20,1997,7,7/29/97,Microcystis,77,0,SP,0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7
21,1997,7,7/29/97,Cryptomonad,31,0,SP,0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7
22,1997,7,7/29/97,Cyclotella,1,0,SP,0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7
23,1997,7,7/29/97,Other,85,0,SP,0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7
24,1997,8,8/28/97,Planktothrix,374,0.5,SP,0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3
25,1997,8,8/28/97,Microcystis,478,0.5,SP,0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3
26,1997,8,8/28/97,Cryptomonad,60,0.5,SP,0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3
27,1997,8,8/28/97,Cyclotella,5,0.5,SP,0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3
28,1997,8,8/28/97,Other,200,0.5,SP,0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3
29,1997,11,11/10/97,Microcystis,83,1.8,SP,0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6
30,1997,11,11/10/97,Planktothrix,174,1.8,SP,0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6
31,1997,11,11/10/97,Cryptomonad,97,1.8,SP,0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6
32,1997,11,11/10/97,Fragilaria,4,1.8,SP,0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6
33,1997,11,11/10/97,Other,334,1.8,SP,0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6
