,year,month,sampledate,group,genus,cellcount,lakeid,depth,ph,alk,dic,tic,doc,toc,no2,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,chlor,phaeo
1,1997,1,1/14/97,iceon,Planktothrix,6935,SP,0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4
2,1997,1,1/14/97,iceon,Microcystis,1830,SP,0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4
3,1997,1,1/14/97,iceon,Cyclotella,1,SP,0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4
4,1997,1,1/14/97,iceon,Other,254,SP,0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4
5,1997,2,2/17/97,iceon,Planktothrix,235,SP,0,7.24,640,8.89,8.97,3.65,3.62,NA,262,309,3,4,2589,3245,3210,NA,0.9,0.4
6,1997,2,2/17/97,iceon,Microcystis,117,SP,0,7.24,640,8.89,8.97,3.65,3.62,NA,262,309,3,4,2589,3245,3210,NA,0.9,0.4
7,1997,2,2/17/97,iceon,Other,207,SP,0,7.24,640,8.89,8.97,3.65,3.62,NA,262,309,3,4,2589,3245,3210,NA,0.9,0.4
8,1997,5,5/6/97,iceoff,Planktothrix,230,SP,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
9,1997,5,5/6/97,iceoff,Microcystis,270,SP,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
10,1997,5,5/6/97,iceoff,Cyclotella,5,SP,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
11,1997,5,5/6/97,iceoff,Cryptomonad,217,SP,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
