year,month,nameofmonth,sampledate,group,intchlor,genus,cellcount,lakeid,depth,ph,alk,dic,tic,doc,toc,no2,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,chlor,phaeo
1997,1,Jan,1/14/1997,iceon,0.675,Planktothrix,6935,SP,0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4
1997,1,Jan,1/14/1997,iceon,0.675,Microcystis,1830,SP,0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4
1997,1,Jan,1/14/1997,iceon,0.675,Cyclotella,1,SP,0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4
1997,1,Jan,1/14/1997,iceon,0.675,Other,254,SP,0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4
1997,2,Feb,2/17/1997,iceon,0.0875,Planktothrix,235,SP,0,7.24,640,8.89,8.97,3.65,3.62,NA,262,309,3,4,2589,3245,3210,NA,0.9,0.4
1997,2,Feb,2/17/1997,iceon,0.0875,Microcystis,117,SP,0,7.24,640,8.89,8.97,3.65,3.62,NA,262,309,3,4,2589,3245,3210,NA,0.9,0.4
1997,2,Feb,2/17/1997,iceon,0.0875,Other,207,SP,0,7.24,640,8.89,8.97,3.65,3.62,NA,262,309,3,4,2589,3245,3210,NA,0.9,0.4
1997,5,May,5/6/1997,iceoff,6.84375,Planktothrix,230,SP,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
1997,5,May,5/6/1997,iceoff,6.84375,Microcystis,270,SP,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
1997,5,May,5/6/1997,iceoff,6.84375,Cyclotella,5,SP,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
1997,5,May,5/6/1997,iceoff,6.84375,Cryptomonad,217,SP,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
1997,5,May,5/6/1997,iceoff,6.84375,Other,778,SP,0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9
1997,6,June,6/18/1997,iceoff,2.10625,Planktothrix,8,SP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8
1997,6,June,6/18/1997,iceoff,2.10625,Microcystis,184,SP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8
1997,6,June,6/18/1997,iceoff,2.10625,Cryptomonad,65,SP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8
1997,6,June,6/18/1997,iceoff,2.10625,Cyclotella,18,SP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8
1997,6,June,6/18/1997,iceoff,2.10625,Other,338,SP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8
1997,7,July,7/29/1997,iceoff,-1.36875,Fragilaria,19,SP,0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7
1997,7,July,7/29/1997,iceoff,-1.36875,Planktothrix,2,SP,0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7
1997,7,July,7/29/1997,iceoff,-1.36875,Microcystis,77,SP,0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7
1997,7,July,7/29/1997,iceoff,-1.36875,Cryptomonad,31,SP,0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7
1997,7,July,7/29/1997,iceoff,-1.36875,Cyclotella,1,SP,0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7
1997,7,July,7/29/1997,iceoff,-1.36875,Other,85,SP,0,8.07,NA,7.8,NA,3.5,NA,NA,144,159,0,1,2429,2481,2392,0.22,0,1.7
1997,8,Aug,8/28/1997,iceoff,1.05625,Planktothrix,374,SP,0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3
1997,8,Aug,8/28/1997,iceoff,1.05625,Microcystis,478,SP,0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3
1997,8,Aug,8/28/1997,iceoff,1.05625,Cryptomonad,60,SP,0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3
1997,8,Aug,8/28/1997,iceoff,1.05625,Cyclotella,5,SP,0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3
1997,8,Aug,8/28/1997,iceoff,1.05625,Other,200,SP,0,8.21,598,7.85,7.96,3.59,3.71,NA,92,96,1,3,2242,2231,2231,0.3,0.5,1.3
1997,11,Nov,11/10/1997,iceoff,1.96875,Microcystis,83,SP,0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6
1997,11,Nov,11/10/1997,iceoff,1.96875,Planktothrix,174,SP,0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6
1997,11,Nov,11/10/1997,iceoff,1.96875,Cryptomonad,97,SP,0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6
1997,11,Nov,11/10/1997,iceoff,1.96875,Fragilaria,4,SP,0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6
1997,11,Nov,11/10/1997,iceoff,1.96875,Other,334,SP,0,7.39,641,8.58,8.74,3.29,3.5,NA,43,40,3,9,2757,2601,2552,0.71,1.8,6
1998,2,Feb,2/23/1998,iceon,2.19375,Planktothrix,1817,SP,0,7.92,674,8.14,8.26,3.3,3.27,NA,311,276,5,6,2871,2626,2580,NA,0.7,0
1998,2,Feb,2/23/1998,iceon,2.19375,Microcystis,998,SP,0,7.92,674,8.14,8.26,3.3,3.27,NA,311,276,5,6,2871,2626,2580,NA,0.7,0
1998,2,Feb,2/23/1998,iceon,2.19375,Cryptomonad,75,SP,0,7.92,674,8.14,8.26,3.3,3.27,NA,311,276,5,6,2871,2626,2580,NA,0.7,0
1998,2,Feb,2/23/1998,iceon,2.19375,Fragilaria,19,SP,0,7.92,674,8.14,8.26,3.3,3.27,NA,311,276,5,6,2871,2626,2580,NA,0.7,0
1998,2,Feb,2/23/1998,iceon,2.19375,Other,515,SP,0,7.92,674,8.14,8.26,3.3,3.27,NA,311,276,5,6,2871,2626,2580,NA,0.7,0
1998,4,Apr,4/20/1998,iceon,,Fragilaria,16,SP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,4,Apr,4/20/1998,iceon,,Planktothrix,52,SP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,4,Apr,4/20/1998,iceon,,Cryptomonad,109,SP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,4,Apr,4/20/1998,iceon,,Other,546,SP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,6,June,6/15/1998,iceoff,3.1125,Microcystis,470,SP,0,8.06,NA,7.98,8.35,3.27,4.23,NA,168,168,0,3,2396,2635,2560,0.26,0.9,0.2
1998,6,June,6/15/1998,iceoff,3.1125,Planktothrix,776,SP,0,8.06,NA,7.98,8.35,3.27,4.23,NA,168,168,0,3,2396,2635,2560,0.26,0.9,0.2
1998,6,June,6/15/1998,iceoff,3.1125,Cryptomonad,127,SP,0,8.06,NA,7.98,8.35,3.27,4.23,NA,168,168,0,3,2396,2635,2560,0.26,0.9,0.2
1998,6,June,6/15/1998,iceoff,3.1125,Fragilaria,7,SP,0,8.06,NA,7.98,8.35,3.27,4.23,NA,168,168,0,3,2396,2635,2560,0.26,0.9,0.2
1998,6,June,6/15/1998,iceoff,3.1125,Other,432,SP,0,8.06,NA,7.98,8.35,3.27,4.23,NA,168,168,0,3,2396,2635,2560,0.26,0.9,0.2
1998,7,July,7/14/1998,iceoff,2.75,Fragilaria,2,SP,0,8.12,NA,8.06,8.21,3.47,3.37,NA,130,142,1,3,2300,2478,2563,0.19,0.6,0
