"","year","month","sampledate","genus","cellcount","lakeid","depth","ph","alk","dic","tic","doc","toc","no2","totnf","totnuf","totpf","totpuf","drsif","brsif","brsiuf","tpm","chlor","phaeo","group","Characteristic","Latitude","Longitude","Area_ha","Mean Depth (m)","Maximum Depth (m)","EpiMin","EpiMax","MetaMin","MetaMax","HypoMin","HypoMax"
"1",1997,1,1997-01-14,"Planktothrix",6935,"SP",0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1997,1,1997-01-14,"Microcystis",1830,"SP",0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1997,1,1997-01-14,"Cyclotella",1,"SP",0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1997,1,1997-01-14,"Other",254,"SP",0,7.47,NA,9.01,9.09,3.39,3.4,NA,216,252,2,10,2646,3422,3280,NA,1.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1997,2,1997-02-17,"Planktothrix",235,"SP",0,7.24,640,8.89,8.97,3.65,3.62,NA,262,309,3,4,2589,3245,3210,NA,0.9,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1997,2,1997-02-17,"Microcystis",117,"SP",0,7.24,640,8.89,8.97,3.65,3.62,NA,262,309,3,4,2589,3245,3210,NA,0.9,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1997,2,1997-02-17,"Other",207,"SP",0,7.24,640,8.89,8.97,3.65,3.62,NA,262,309,3,4,2589,3245,3210,NA,0.9,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1997,5,1997-05-06,"Planktothrix",230,"SP",0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1997,5,1997-05-06,"Microcystis",270,"SP",0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1997,5,1997-05-06,"Cyclotella",5,"SP",0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1997,5,1997-05-06,"Cryptomonad",217,"SP",0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1997,5,1997-05-06,"Other",778,"SP",0,7.54,617,8.5,8.72,3.12,3.28,NA,160,222,0,22,2777,3432,3616,1.08,7.3,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1997,6,1997-06-18,"Planktothrix",8,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
