lakeid,year,group,sampledate,depth,from group,at zero,phaeo,depth integrated
SP,1997,iceon surface,1/14/1997,0,1.3,1.3,0.4,0.675
SP,1997,iceon depth,1/14/1997,0,0.675,,,
SP,1997,iceon surface,2/17/1997,0,0.9,0.9,0.4,0.0875
SP,1997,iceon depth,2/17/1997,0,0.0875,,,
SP,1997,iceon surface,3/25/1997,0,3.8,3.8,0.5,0.9375
SP,1997,iceon depth,3/25/1997,0,0.9375,,0.5,0.9375
SP,1997,iceoff surface,5/6/1997,0,7.3,7.3,2.9,6.84375
SP,1997,iceoff depth,5/6/1997,0,6.84375,,2.9,6.84375
SP,1997,iceoff surface,5/21/1997,0,4.5,4.5,1.8,4.75625
SP,1997,iceoff depth,5/21/1997,0,4.75625,,1.8,4.75625
SP,1997,iceoff surface,6/4/1997,0,0.3,0.3,0.2,2.025
SP,1997,iceoff depth,6/4/1997,0,2.025,,0.2,2.025
SP,1997,iceoff surface,6/18/1997,0,1,1,0.8,2.10625
SP,1997,iceoff depth,6/18/1997,0,2.10625,,0.8,2.10625
SP,1997,iceoff surface,7/1/1997,0,0.7,0.7,0.3,2.525
SP,1997,iceoff depth,7/1/1997,0,2.525,,0.3,2.525
SP,1997,iceoff surface,7/17/1997,0,0.7,0.7,0.6,0.75625
SP,1997,iceoff depth,7/17/1997,0,0.75625,,0.6,0.75625
SP,1997,iceoff surface,7/29/1997,0,0,0,1.7,-1.36875
SP,1997,iceoff depth,7/29/1997,0,-1.36875,,1.7,-1.36875
SP,1997,iceoff surface,8/13/1997,0,0.8,0.8,0.8,-3.94375
SP,1997,iceoff depth,8/13/1997,0,-3.94375,,0.8,-3.94375
SP,1997,iceoff surface,8/28/1997,0,0.5,0.5,1.3,1.05625
SP,1997,iceoff depth,8/28/1997,0,1.05625,,1.3,1.05625
SP,1997,iceoff surface,9/9/1997,0,1.1,1.1,2.5,1.15625
SP,1997,iceoff depth,9/9/1997,0,1.15625,,2.5,1.15625
SP,1997,iceoff surface,9/24/1997,0,1.1,1.1,1.5,1.025
SP,1997,iceoff depth,9/24/1997,0,1.025,,1.5,1.025
SP,1997,iceoff surface,10/7/1997,0,0.8,0.8,4,1.76875
SP,1997,iceoff depth,10/7/1997,0,1.76875,,4,1.76875
SP,1997,iceoff surface,10/24/1997,0,1.2,1.2,3.8,0.875
SP,1997,iceoff depth,10/24/1997,0,0.875,,3.8,0.875
SP,1997,iceoff surface,11/10/1997,0,1.8,1.8,6,1.96875
SP,1997,iceoff depth,11/10/1997,0,1.96875,,6,1.96875
SP,1998,iceon surface,1/12/1998,0,42.7,42.7,-16.2,12.35
SP,1998,iceon depth,1/12/1998,0,12.35,,,12.35
SP,1998,iceon surface,2/23/1998,0,0.7,0.7,0,2.19375
SP,1998,iceon depth,2/23/1998,0,2.19375,,,2.19375
SP,1998,iceon surface,3/18/1998,0,12,,-2.2,5.86875
SP,1998,iceon depth,3/18/1998,0,12,,-2.2,5.86875
SP,1998,iceoff surface,5/5/1998,0,2.4,2.4,-1.2,5.34375
SP,1998,iceoff depth,5/5/1998,0,5.34375,,-1.2,5.34375
SP,1998,iceoff surface,5/19/1998,0,1.9,1.9,-0.8,4.4375
SP,1998,iceoff depth,5/19/1998,0,4.4375,,-0.8,4.4375
SP,1998,iceoff surface,6/1/1998,0,1.8,1.8,0.3,3.75625
SP,1998,iceoff depth,6/1/1998,0,3.75625,,0.3,3.75625
SP,1998,iceoff surface,6/15/1998,0,0.9,0.9,0.2,3.1125
SP,1998,iceoff depth,6/15/1998,0,3.1125,,0.2,3.1125
SP,1998,iceoff surface,6/29/1998,0,0.8,0.8,0,3.13125
SP,1998,iceoff depth,6/29/1998,0,3.13125,,0,3.13125
SP,1998,iceoff surface,7/14/1998,0,0.6,0.6,0,2.75
SP,1998,iceoff depth,7/14/1998,0,2.75,,0,2.75
SP,1998,iceoff surface,7/27/1998,0,0.9,0.9,0.4,3.2125
SP,1998,iceoff depth,7/27/1998,0,3.2125,,0.4,3.2125
SP,1998,iceoff surface,8/12/1998,0,1,1,0.1,2.4
SP,1998,iceoff depth,8/12/1998,0,2.4,,0.1,2.4
SP,1998,iceoff surface,8/26/1998,0,1.4,1.4,0,3.9875
SP,1998,iceoff depth,8/26/1998,0,3.9875,,0,3.9875
SP,1998,iceoff surface,9/9/1998,0,1,1,0.3,3.425
SP,1998,iceoff depth,9/9/1998,0,3.425,,0.3,3.425
SP,1998,iceoff surface,9/24/1998,0,1.5,1.5,0.3,3.175
SP,1998,iceoff depth,9/24/1998,0,3.175,,0.3,3.175
SP,1998,iceoff surface,10/6/1998,0,1.8,1.8,0,3.18125
SP,1998,iceoff depth,10/6/1998,0,3.18125,,0,3.18125
SP,1998,iceoff surface,10/20/1998,0,2.1,2.1,0.5,3.34375
SP,1998,iceoff depth,10/20/1998,0,3.34375,,0.5,3.34375
SP,1999,iceon surface,1/18/1999,0,2,2,0.6,2.01875
SP,1999,iceon depth,1/18/1999,0,2.01875,,0.6,2.01875
SP,1999,iceon surface,2/23/1999,0,5.1,5.1,0.5,1.0875
SP,1999,iceon depth,2/23/1999,0,1.0875,,0.5,1.0875
SP,1999,iceon surface,3/24/1999,0,0.6,0.6,0.3,3.10625
SP,1999,iceon depth,3/24/1999,0,3.10625,,0.3,3.10625
SP,1999,iceoff surface,5/4/1999,0,3.3,3.3,-0.1,4.85625
SP,1999,iceoff depth,5/4/1999,0,4.85625,,-0.1,4.85625
SP,1999,iceoff surface,5/20/1999,0,1.5,1.5,0.8,-3.11875
SP,1999,iceoff depth,5/20/1999,0,-3.11875,,0.8,-3.11875
SP,1999,iceoff surface,6/2/1999,0,4.1,4.1,0.3,4.48125
SP,1999,iceoff depth,6/2/1999,0,4.48125,,0.3,4.48125
SP,1999,iceoff surface,6/16/1999,0,2.1,2.1,0.4,4.2
SP,1999,iceoff depth,6/16/1999,0,4.2,,0.4,4.2
SP,1999,iceoff surface,7/1/1999,0,1.3,1.3,0.3,2.011111111
SP,1999,iceoff depth,7/1/1999,0,2.011111111,,0.3,2.011111111
SP,1999,iceoff surface,7/15/1999,0,2.4,2.4,-1.1,2.855555556
SP,1999,iceoff depth,7/15/1999,0,2.855555556,,-1.1,2.855555556
SP,1999,iceoff surface,7/28/1999,0,1.8,1.8,0.1,3.816666667
SP,1999,iceoff depth,7/28/1999,0,3.816666667,,0.1,3.816666667
SP,1999,iceoff surface,8/10/1999,0,3.4,3.4,0.1,4.233333333
SP,1999,iceoff depth,8/10/1999,0,4.233333333,,0.1,4.233333333
SP,1999,iceoff surface,8/23/1999,0,1.7,1.7,0.7,3.488888889
SP,1999,iceoff depth,8/23/1999,0,3.488888889,,0.7,3.488888889
SP,1999,iceoff surface,9/9/1999,0,1.3,1.3,0.3,2.694444444
SP,1999,iceoff depth,9/9/1999,0,2.694444444,,0.3,2.694444444
SP,1999,iceoff surface,9/23/1999,0,1.8,1.8,0.6,3.988888889
SP,1999,iceoff depth,9/23/1999,0,3.988888889,,0.6,3.988888889
SP,1999,iceoff surface,10/8/1999,0,3.4,3.4,-0.7,2.738888889
SP,1999,iceoff depth,10/8/1999,0,2.738888889,,-0.7,2.738888889
SP,1999,iceoff surface,10/19/1999,0,4.7,4.7,1.1,4.711111111
SP,1999,iceoff depth,10/19/1999,0,4.711111111,,1.1,4.711111111
SP,1999,iceoff surface,11/10/1999,0,15.2,15.2,0.1,14.49444444
SP,1999,iceoff depth,11/10/1999,0,14.49444444,,0.1,14.49444444
SP,2000,iceon surface,1/18/2000,0,15.8,15.8,6.6,5.116666667
SP,2000,iceon depth,1/18/2000,0,5.116666667,,6.6,5.116666667
SP,2000,iceon surface,2/22/2000,0,4.3,4.3,1.6,2.127777778
SP,2000,iceon depth,2/22/2000,0,2.127777778,,1.6,2.127777778
SP,2000,iceon surface,4/6/2000,0,10.9,10.9,-1.5,8.138888889
SP,2000,iceon depth,4/6/2000,0,8.138888889,,-1.5,8.138888889
SP,2000,iceoff surface,4/18/2000,0,8.7,8.7,1.5,7.511111111
SP,2000,iceoff depth,4/18/2000,0,7.511111111,,1.5,7.511111111
SP,2000,iceoff surface,5/2/2000,0,-1,-1,5.9,2.488888889
SP,2000,iceoff depth,5/2/2000,0,2.488888889,,5.9,2.488888889
SP,2000,iceoff surface,5/17/2000,0,0.1,0.1,2.1,3.005555556
SP,2000,iceoff depth,5/17/2000,0,3.005555556,,2.1,3.005555556
SP,2000,iceoff surface,5/30/2000,0,0.7,0.7,0.9,1.494444444
