lakeid,year,sampledate,avsnow,totice,whiteice,blueice
SP,1982,1/20/82,4.3,43,22.5,20.5
SP,1982,2/24/82,13.4,49.2,29.3,19.9
SP,1982,4/5/82,4,51,24.7,26.3
SP,1983,1/13/83,24,27,1,26
SP,1983,2/24/83,1,29,1,28
SP,1983,3/28/83,9.5,39,8,31
SP,1984,1/6/84,2.7,36.2,11.8,24.4
SP,1984,2/27/84,1,47.5,15,32.5
SP,1984,4/10/84,0,44.5,5,39.5
SP,1985,1/11/85,8.8,28.7,3,25.7
SP,1985,2/27/85,11.7,48,4,44
SP,1985,3/26/85,0.5,56,12,44
SP,1985,4/11/85,0,50,50,
SP,1986,1/14/86,17.5,29,6,23
SP,1986,2/27/86,17.7,51,34,17
SP,1987,1/14/87,3.5,24,0,24
SP,1987,2/24/87,13.4,41,0,41
SP,1987,3/24/87,0,34,34,0
SP,1988,1/19/88,2.8,35,16,19
SP,1988,2/29/88,10.4,54,51,3
SP,1988,4/4/88,0,58,9.5,48.5
SP,1989,1/12/89,18.3,33,0,33
SP,1989,2/23/89,7.9,58.5,17.5,41
SP,1989,3/29/89,,50,5,45
SP,1990,1/17/90,15.9,36,,36
SP,1990,2/19/90,15.9,51,10,41
SP,1990,3/28/90,0,39,4,35
SP,1991,1/16/91,8.8,38,5,33
SP,1991,2/19/91,8.6,55,5,50
SP,1991,3/25/91,0,53,3,50
SP,1992,1/14/92,11.3,30,7,23
SP,1992,3/1/92,22.5,41,7,34
SP,1992,3/27/92,0.4,52,10,42
SP,1993,1/13/93,19,36.5,6,30.5
SP,1993,3/1/93,2.7,60.5,21.5,39
SP,1993,3/22/93,9.1,56,23,33
SP,1994,1/12/94,6.8,30,10,20
SP,1994,2/21/94,0,39,6,33
SP,1994,3/28/94,15.5,44,0,44
SP,1995,1/9/95,2.1,30,2,28
SP,1995,2/20/95,15.5,42,1,41
SP,1995,3/24/95,1,34,0,34
SP,1996,1/24/96,11,51,22,29
SP,1996,2/21/96,11.7,53,26,27
SP,1996,4/1/96,18.2,70,32,38
SP,1997,1/14/97,11,37,26,11
SP,1997,2/17/97,24.5,40,26,14
SP,1997,3/25/97,31,44,31,13
SP,1998,1/12/98,17.5,26,0,26
SP,1998,2/23/98,0,35,11,24
SP,1998,3/18/98,8.5,37,8,29
SP,1999,1/18/99,22.9,26,0,26
SP,1999,2/23/99,9,41,14,27
SP,1999,3/24/99,1,53,17,36
SP,2000,1/18/00,18.9,27.5,0.5,27
SP,2000,2/22/00,27.6,36,2,34
SP,2001,1/22/01,20.7,32,10,22
SP,2001,2/28/01,15.7,44,23,21
SP,2001,4/3/01,2.2,45,32,13
SP,2002,1/16/02,5.1,16.5,4,12.5
SP,2002,2/28/02,1.6,38,11,27
SP,2002,4/1/02,15,54,21,33
SP,2003,1/15/03,1,45,0,45
SP,2003,3/6/03,17.5,61,0,61
SP,2003,4/2/03,7.5,48,0,48
SP,2004,1/12/04,10,37,8,29
SP,2004,2/18/04,29.7,42,7,35
SP,2004,4/7/04,0,39,6,33
SP,2005,1/19/05,11.2,43,0,43
SP,2005,2/25/05,10,54,5,49
SP,2005,4/6/05,0,42,0,42
SP,2006,1/17/06,12.5,29,6,23
SP,2006,2/13/06,23.6,33,12,21
SP,2006,3/31/06,0,41,21,20
SP,2007,1/15/07,6.8,29,8,21
SP,2007,2/20/07,8.7,42,5,37
SP,2007,3/28/07,0,27,0,27
SP,2008,1/17/08,11.1,33,8,25
SP,2008,3/3/08,18.9,48,13,35
SP,2008,3/27/08,16.1,50,6,44
SP,2008,5/2/08,0,0,0,0
SP,2009,1/20/09,17.8,45,6,39
SP,2009,2/24/09,3.6,55,9,46
SP,2009,3/20/09,0,56,5,51
SP,2010,1/12/10,5.7,32,17,15
SP,2010,2/11/10,9.4,46,14,32
SP,2011,1/18/11,16.9,31,10,21
SP,2011,2/14/11,16.9,35,11,24
SP,2011,3/21/11,1.4,43,7,36
SP,2012,1/12/12,9,29,1,28
SP,2012,2/21/12,9.4,41,11,30
SP,2013,1/14/13,0,21,1,20
SP,2013,2/25/13,21,45,16,29
SP,2013,3/29/13,7.2,59,24,35
SP,2014,1/30/14,32.1,38,7,31
SP,2014,2/17/14,22,50,32,18
SP,2014,3/24/14,10.8,72,45,27
SP,2015,1/14/15,24.1,23,10,13
SP,2015,2/24/15,12.2,43,20,23
SP,2015,3/24/15,0,38,12,26
SP,2016,1/21/16,6.5,22,5,17
SP,2016,3/7/16,0.3,43,14,29
SP,2017,1/17/17,16.5,26,9,17
SP,2017,2/22/17,0,32,9,23
SP,2017,3/27/17,0,31,1,30
