"","X1","lakeid","year4","sample_date","species_code","species_name","density","individuals_measured","avg_length","group"
"1",6,"SP",1981,"6/4/81",30801,"SKISTODIAPTOMUS OREGONENSIS",0.62,NA,NA,"iceoff"
"2",149,"SP",1981,"9/22/81",30801,"SKISTODIAPTOMUS OREGONENSIS",2.38,NA,NA,"iceoff"
"3",164,"SP",1981,"12/2/81",30801,"SKISTODIAPTOMUS OREGONENSIS",0.62,NA,NA,"iceoff"
"4",206,"SP",1982,"2/24/82",30801,"SKISTODIAPTOMUS OREGONENSIS",0.73,NA,NA,"iceon"
"5",226,"SP",1982,"5/27/82",30801,"SKISTODIAPTOMUS OREGONENSIS",2.53,NA,NA,"iceoff"
"6",255,"SP",1982,"6/10/82",30801,"SKISTODIAPTOMUS OREGONENSIS",8,NA,NA,"iceoff"
"7",316,"SP",1982,"8/17/82",30801,"SKISTODIAPTOMUS OREGONENSIS",0.28,NA,NA,"iceoff"
"8",340,"SP",1982,"9/9/82",30801,"SKISTODIAPTOMUS OREGONENSIS",0.91,NA,NA,"iceoff"
"9",372,"SP",1982,"11/10/82",30801,"SKISTODIAPTOMUS OREGONENSIS",0.4,NA,NA,"iceoff"
"10",403,"SP",1983,"5/25/83",30801,"SKISTODIAPTOMUS OREGONENSIS",1.07,NA,NA,"iceoff"
"11",422,"SP",1983,"6/9/83",30801,"SKISTODIAPTOMUS OREGONENSIS",1.74,NA,NA,"iceoff"
"12",443,"SP",1983,"6/21/83",30801,"SKISTODIAPTOMUS OREGONENSIS",0.87,NA,NA,"iceoff"
"13",471,"SP",1983,"7/8/83",30801,"SKISTODIAPTOMUS OREGONENSIS",0.8,NA,NA,"iceoff"
"14",495,"SP",1983,"7/21/83",30801,"SKISTODIAPTOMUS OREGONENSIS",0.1,NA,NA,"iceoff"
"15",715,"SP",1984,"7/31/84",30801,"SKISTODIAPTOMUS OREGONENSIS",1.08,NA,NA,"iceoff"
"16",736,"SP",1984,"8/16/84",30801,"SKISTODIAPTOMUS OREGONENSIS",1.72,NA,NA,"iceoff"
"17",756,"SP",1984,"9/5/84",30801,"SKISTODIAPTOMUS OREGONENSIS",1.72,NA,NA,"iceoff"
"18",772,"SP",1984,"9/25/84",30801,"SKISTODIAPTOMUS OREGONENSIS",12.51,NA,NA,"iceoff"
"19",788,"SP",1984,"10/17/84",30801,"SKISTODIAPTOMUS OREGONENSIS",1.32,NA,NA,"iceoff"
"20",805,"SP",1984,"11/7/84",30801,"SKISTODIAPTOMUS OREGONENSIS",2.02,NA,NA,"iceoff"
"21",820,"SP",1984,"11/26/84",30801,"SKISTODIAPTOMUS OREGONENSIS",3.19,NA,NA,"iceoff"
"22",833,"SP",1985,"1/11/85",30801,"SKISTODIAPTOMUS OREGONENSIS",1.12,NA,NA,"iceon"
"23",849,"SP",1985,"2/27/85",30801,"SKISTODIAPTOMUS OREGONENSIS",1.47,NA,NA,"iceon"
"24",862,"SP",1985,"3/26/85",30801,"SKISTODIAPTOMUS OREGONENSIS",3.28,NA,NA,"iceon"
"25",879,"SP",1985,"5/15/85",30801,"SKISTODIAPTOMUS OREGONENSIS",5.56,NA,NA,"iceoff"
"26",894,"SP",1985,"5/29/85",30801,"SKISTODIAPTOMUS OREGONENSIS",4.41,NA,NA,"iceoff"
