Sample Date,Genus,Transect Cell Count,Magnification,# of Transects,Field of View #,Total Cell Count,,,
6/4/1981,Cyclotella,9,,,,9,,,
6/4/1981,Microcystis,19,,,,19,,,
6/4/1981,Fragilaria crototensis,1,,,,1,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1/14/1997,Planktothrix,6935,1000,1,,,,,
1/14/1997,Microcystis,1830,,,,,,,
1/14/1997,Cyclotella,1,,,,,,,
,,,,,,,,,
2/17/1997,Planktothrix,235,1000,0,7,,,,
2/17/1997,Microcystis,117,,,,,,,
,,,,,,,,,
5/6/1997,Planktothrix,230,1000,1,,,,,
5/6/1997,Microcystis,270,,,,,,,
5/6/1997,Cyclotella,5,,,,,,,
5/6/1997,Cryptomonad,217,,,,,,,
,,,,,,,,,
6/18/1997,Planktothrix,8,,,,,,,
6/18/1997,Microcystis,184,,,,,,,
6/18/1997,Cryptomonad,65,,,,,,,
6/18/1997,Cyclotella,18,,,,,,,
,,,,,,,,,
7/29/1997,Fragilaria,19,,,,,,,
7/29/1997,Planktothrix,2,,,,,,,
7/29/1997,Microcystis,77,,,,,,,
7/29/1997,Cryptomonad,31,,,,,,,
7/29/1997,Cyclotella,1,,,,,,,
,,,,,,,,,
,,,,,,,,,
8/28/1997,Planktothrix,374,,,,,,,
8/28/1997,Microcystis,478,,,,,,,
8/28/1997,Cryptomonad,60,,,,,,,
8/28/1997,Cyclotella,5,,,,,,,
,,,,,,,,,
11/10/1997,Microcystis,83,,,,,,,
11/10/1997,Planktothrix,174,,,,,,,
11/10/1997,Cryptomonad,97,,,,,,,
11/10/1997,Fragilaria,4,,,,,,,
,,,,,,,,,
2/23/1998,Planktothrix,1817,,,,,,,
2/23/1998,Microcystis,998,,,,,,,
2/23/1998,Cryptomonad,75,,,,358,,,
2/23/1998,Fragilaria,19,,,,,,,
,,,,,,,,,
,,,,,,,,,
4/20/1998,Fragilaria,16,1000,1,,,,,
4/20/1998,Planktothrix,52,,,,,,,
4/20/1998,Cryptomonad,109,,,,,,,
,,,,,,,,,
6/15/1998,Microcystis,470,,,,,,,
6/15/1998,Planktothrix,776,,,,,,,
6/15/1998,Cryptomonad,127,,,,,,,
6/15/1998,Fragilaria,7,,,,,,,
,,,,,,,,,
7/14/1998,Fragilaria,2,,,,,,,
7/14/1998,Cryptomonad,62,,,,,,,
7/14/1998,Planktothrix,590,,,,,,,
7/14/1998,Microcystis,541,,,,,,,
7/14/1998,Cyclotella,226,,,,,,,
,,,,,,,,,
8/12/1998,Planktothrix,693,,,,,,,
8/12/1998,Microcystis,488,,,,,,,
8/12/1998,Cryptomonad,35,,,,,,,
8/12/1998,Cyclotella,171,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
11/12/1998,Microcystis,25,,,,,,,
11/12/1998,Planktothrix,6,,,,,,,
11/12/1998,Cryptomonad,46,,,,,,,
11/12/1998,Cyclotella,7,,,,,,,
11/12/1998,Fragilaria,7,,,,,,,
,,,,,,,,,
2/23/1999,Planktothrix,163,,,,,,,
2/23/1999,Microcystis,202,,,,,,,
2/23/1999,Cryptomonad,16,,,,,,,
2/23/1999,Cyclotella,1,,,,,,,
2/23/1999,Fragilaria,2,,,,,,,
,,,,,,,,,
5/4/1999,Microcystis,94,,,,,,,
5/4/1999,Cryptomonad,72,,,,,,,
5/4/1999,Fragilaria,126,,,,,,,
,,,,,,,,,
7/1/1999,Planktothrix,5,,,,,,,
7/1/1999,Microcystis,0,,,,,,,
7/1/1999,Cryptomonad,21,,,,,,,
7/1/1999,Fragilaria,16,,,,,,,
,,,,,,,,,
8/23/1999,Cryptomonad,30,,,,,,,
8/23/1999,Cyclotella,53,,,,,,,
8/23/1999,Fragilaria,11,,,,,,,
,,,,,,,,,
11/10/1999,Cryptomonad,22,,,,,,,
11/10/1999,Cyclotella,7,,,,,,,
11/10/1999,Fragilaria,9,,,,,,,
,,,,,,,,,
2/22/2000,Cryptomonad,9,,,,,,,
,,,,,,,,,
4/6/2000,Cryptomonad,48,,,,,,,
4/6/2000,Cyclotella,1,,,,,,,
4/6/2000,Fragilaria,13,,,,,,,
,,,,,,,,,
5/30/2000,Cryptomonad,22,,,,,,,
5/30/2000,Cyclotella,1,,,,,,,
5/30/2000,Fragilaria,12,,,,,,,
,,,,,,,,,
7/26/2000,Microcystis,39,,,,,,,
7/26/2000,Cryptomonad,25,,,,,,,
7/26/2000,Cyclotella,59,,,,,,,
7/26/2000,Fragilaria,23,,,,,,,
,,,,,,,,,
8/21/2000,Planktothrix,3,,,,,,,
8/21/2000,Cryptomonad,28,,,,,,,
8/21/2000,Cyclotella,37,,,,,,,
8/21/2000,Fragilaria,4,,,,,,,
,,,,,,,,,
11/16/2000,Cryptomonad,33,,,,,,,
11/16/2000,Cyclotella,57,,,,,,,
11/16/2000,Fragilaria,1,,,,,,,
,,,,,,,,,
2/28/2001,Microcystis,72,,,,,,,
2/28/2001,Cryptomonad,8,,,,,,,
,,,,,,,,,
4/30/2001,Microcystis,7,,,,,,,
4/30/2001,Cryptomonad,48,,,,,,,
4/30/2001,Fragilaria,1,,,,,,,
,,,,,,,,,
5/29/2001,Cryptomonad,5,,,,,,,
5/29/2001,Fragilaria,7,,,,,,,
,,,,,,,,,
6/26/2001,Cryptomonad,9,,,,,,,
6/26/2001,Cyclotella,7,,,,,,,
6/26/2001,Fragillaria,11,,,,,,,
,,,,,,,,,
7/24/2001,Planktothrix,13,1000,,,,,,
7/24/2001,Cryptomonad,7,,,,,,,
7/24/2001,Fragilaria,4,,,,,,,
,,,,,,,,,
8/20/2001,Planktothrix,51,1000,1,,,,,
8/20/2001,Microcystis,79,,,,,,,
8/20/2001,Cryptomonad,8,,,,,,,
8/20/2001,Cyclotella,10,,,,,,,
,,,,,,,,,
11/15/2001,Fragilaria,53,,,,,,,
11/15/2001,Cyclotella,11,,,,,,,
11/15/2001,Planktothrix,16,,,,,,,
11/15/2001,Cryptomonad,1,,,,,,,
,,,,,,,,,
,,,,,,,,,
2/28/2002,Cyclotella,79,1000,,,,,,
2/28/2002,Planktothrix,5,,,,,,,
2/28/2002,Cryptomonad,25,,1,,,,,
2/28/2002,Fragilaria,8,,,,,,,
,,,,,,,,,
,,,,,,,,,
4/23/2002,Cyclotella,38,,,,,,,
4/23/2002,Planktothrix,15,,1,,,,,
4/23/2002,Cryptomonad,91,,,,,,,
4/23/2002,Fragilaria,96,,,,,,,
,,,,,,,,,
,,,,,,,,,
6/19/2002,Cryptomonad,55,,1,,,,,
6/19/2002,Cyclotella,35,,,,,,,
6/19/2002,Fragilaria,109,,,,,,,
,,,,,,,,,
7/17/2002,Planktothrix,18,,,,,,,
7/17/2002,Microcystis,66,,1,,,,,
7/17/2002,Cryptomonad,58,,,,,,,
7/17/2002,Cyclotella,12,,,,,,,
7/17/2002,Fragilaria,11,,,,,,,
,,,,,,,,,
8/14/2002,Planktothrix,8,,,,,,,
8/14/2002,Microcystis,103,,,,,,,
8/14/2002,Cryptomonad,18,,,,,,,
8/14/2002,Cyclotella,35,,,,,,,
8/14/2002,Fragilaria,1,,,,,,,
,,,,,,,,,
,,,,,,,,,
11/7/2002,Planktothrix,2,,,,,,,
11/7/2002,Microcystis,261,,1,,,,,
11/7/2002,Cryptomonad,27,,,,,,,
11/7/2002,Cyclotella,309,,,,,,,
11/7/2002,Fragilaria,17,,,,,,,
,,,,,,,,,
3/6/2003,Planktothrix,32,,,,,,,
3/6/2003,Microcystis,126,,1,,,,,
3/6/2003,Cryptomonad,49,,,,,,,
3/6/2003,Cyclotella,17,,,,,,,
3/6/2003,Fragilaria,1,,,,,,,
,,,,,,,,,
4/29/2003,Cryptomonad,73,,,,,,,
4/29/2003,Cyclotella,27,,,,,,,
4/29/2003,Fragilaria,6,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,1,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
