,lakeid,year4,sample_date,species_code,species_name,density,individuals_measured,avg_length,group
1,SP,1981,6/4/81,10000,COPEPOD NAUPLII,28.07,NA,NA,iceoff
2,SP,1981,6/4/81,20000,CYCLOPOID,10.59,NA,NA,iceoff
3,SP,1981,6/4/81,20302,DIACYCLOPS THOMASI,4.01,NA,NA,iceoff
4,SP,1981,6/4/81,30000,CALANOID,5.22,NA,NA,iceoff
5,SP,1981,6/4/81,30402,LEPTODIAPTOMUS MINUTUS,0.14,NA,NA,iceoff
6,SP,1981,6/4/81,30801,SKISTODIAPTOMUS OREGONENSIS,0.62,NA,NA,iceoff
7,SP,1981,6/4/81,51103,DAPHNIA MENDOTAE,0.54,NA,NA,iceoff
8,SP,1981,6/4/81,51104,DAPHNIA LONGIREMIS,0.72,NA,NA,iceoff
9,SP,1981,6/4/81,51130,DAPHNIA PULICARIA,0.23,NA,NA,iceoff
10,SP,1981,6/4/81,51800,HOLOPEDIUM,0.4,NA,NA,iceoff
11,SP,1981,6/4/81,60300,ASPLANCHNA,2.58,NA,NA,iceoff
12,SP,1981,6/4/81,60902,CONOCHILUS UNICORNIS,40.32,NA,NA,iceoff
13,SP,1981,6/4/81,61400,FILINIA,6.29,NA,NA,iceoff
14,SP,1981,6/4/81,61701,KELLICOTTIA BOSTONIENSIS,1.56,NA,NA,iceoff
15,SP,1981,6/4/81,61702,KELLICOTTIA LONGISPINA,46.81,NA,NA,iceoff
16,SP,1981,6/4/81,61801,KERATELLA COCHLEARIS,110.03,NA,NA,iceoff
17,SP,1981,6/4/81,61805,KERATELLA HIEMALIS,1.15,NA,NA,iceoff
18,SP,1981,6/4/81,61806,KERATELLA QUADRATA,9.22,NA,NA,iceoff
19,SP,1981,6/4/81,61900,LECANE,1.46,NA,NA,iceoff
20,SP,1981,6/4/81,61904,LECANE INERMIS,0.14,NA,NA,iceoff
21,SP,1981,6/4/81,63001,POLYARTHRA DOLICHOPTERA,4.62,NA,NA,iceoff
22,SP,1981,6/4/81,63005,POLYARTHRA VULGARIS,38.8,NA,NA,iceoff
23,SP,1981,6/4/81,69934,NA,1.49,NA,NA,iceoff
24,SP,1981,6/30/81,10000,COPEPOD NAUPLII,1.86,NA,NA,iceoff
25,SP,1981,6/30/81,20000,CYCLOPOID,1.81,NA,NA,iceoff
26,SP,1981,6/30/81,30000,CALANOID,0.85,NA,NA,iceoff
27,SP,1981,6/30/81,50000,CLADOCERAN,0.58,NA,NA,iceoff
28,SP,1981,6/30/81,51100,DAPHNIA,0.39,NA,NA,iceoff
29,SP,1981,6/30/81,51103,DAPHNIA MENDOTAE,0.39,NA,NA,iceoff
30,SP,1981,6/30/81,51108,DAPHNIA DENTIFERA,0.39,NA,NA,iceoff
31,SP,1981,6/30/81,51801,HOLOPEDIUM GIBBERUM,0.39,NA,NA,iceoff
32,SP,1981,6/30/81,61702,KELLICOTTIA LONGISPINA,0.54,NA,NA,iceoff
33,SP,1981,6/30/81,61801,KERATELLA COCHLEARIS,5.36,NA,NA,iceoff
34,SP,1981,6/30/81,61803,KERATELLA CRASSA,1.03,NA,NA,iceoff
35,SP,1981,6/30/81,61806,KERATELLA QUADRATA,0.39,NA,NA,iceoff
36,SP,1981,6/30/81,61808,KERATELLA TAUROCEPHALA,0.39,NA,NA,iceoff
37,SP,1981,6/30/81,61900,LECANE,0.39,NA,NA,iceoff
38,SP,1981,6/30/81,63000,POLYARTHRA,0.97,NA,NA,iceoff
39,SP,1981,6/30/81,63400,SYNCHAETA,0.68,NA,NA,iceoff
40,SP,1981,6/30/81,69901,NA,12.86,NA,NA,iceoff
41,SP,1981,6/30/81,69902,NA,0.65,NA,NA,iceoff
42,SP,1981,6/30/81,70038,NA,0.39,NA,NA,iceoff
43,SP,1981,7/16/81,10000,COPEPOD NAUPLII,0.85,NA,NA,iceoff
44,SP,1981,7/16/81,20000,CYCLOPOID,1.26,NA,NA,iceoff
45,SP,1981,7/16/81,30000,CALANOID,0.52,NA,NA,iceoff
46,SP,1981,7/16/81,50000,CLADOCERAN,0.78,NA,NA,iceoff
47,SP,1981,7/16/81,50700,BOSMINIDAE,0.39,NA,NA,iceoff
48,SP,1981,7/16/81,51104,DAPHNIA LONGIREMIS,0.39,NA,NA,iceoff
49,SP,1981,7/16/81,51108,DAPHNIA DENTIFERA,0.39,NA,NA,iceoff
50,SP,1981,7/16/81,51130,DAPHNIA PULICARIA,0.39,NA,NA,iceoff
51,SP,1981,7/16/81,51200,DIAPHANOSOMA,0.39,NA,NA,iceoff
52,SP,1981,7/16/81,61400,FILINIA,0.39,NA,NA,iceoff
53,SP,1981,7/16/81,61702,KELLICOTTIA LONGISPINA,0.62,NA,NA,iceoff
54,SP,1981,7/16/81,61801,KERATELLA COCHLEARIS,1.78,NA,NA,iceoff
55,SP,1981,7/16/81,61808,KERATELLA TAUROCEPHALA,0.39,NA,NA,iceoff
56,SP,1981,7/16/81,63000,POLYARTHRA,1.86,NA,NA,iceoff
57,SP,1981,7/16/81,63400,SYNCHAETA,0.78,NA,NA,iceoff
58,SP,1981,7/16/81,69901,NA,4.26,NA,NA,iceoff
59,SP,1981,7/16/81,69902,NA,1.47,NA,NA,iceoff
60,SP,1981,7/16/81,70051,NA,0.39,NA,NA,iceoff
61,SP,1981,7/27/81,10000,COPEPOD NAUPLII,1,NA,NA,iceoff
62,SP,1981,7/27/81,20000,CYCLOPOID,0.73,NA,NA,iceoff
63,SP,1981,7/27/81,30000,CALANOID,0.56,NA,NA,iceoff
64,SP,1981,7/27/81,50700,BOSMINIDAE,0.84,NA,NA,iceoff
65,SP,1981,7/27/81,51103,DAPHNIA MENDOTAE,0.42,NA,NA,iceoff
66,SP,1981,7/27/81,51200,DIAPHANOSOMA,0.84,NA,NA,iceoff
67,SP,1981,7/27/81,60700,COLURELLA,0.42,NA,NA,iceoff
68,SP,1981,7/27/81,61702,KELLICOTTIA LONGISPINA,0.94,NA,NA,iceoff
69,SP,1981,7/27/81,61801,KERATELLA COCHLEARIS,1.46,NA,NA,iceoff
70,SP,1981,7/27/81,61803,KERATELLA CRASSA,1.26,NA,NA,iceoff
71,SP,1981,7/27/81,61900,LECANE,0.42,NA,NA,iceoff
72,SP,1981,7/27/81,63000,POLYARTHRA,2.18,NA,NA,iceoff
73,SP,1981,7/27/81,63400,SYNCHAETA,0.42,NA,NA,iceoff
74,SP,1981,7/27/81,69901,NA,1.05,NA,NA,iceoff
75,SP,1981,7/27/81,70039,NA,0.42,NA,NA,iceoff
76,SP,1981,7/27/81,70065,NA,0.56,NA,NA,iceoff
77,SP,1981,8/11/81,10000,COPEPOD NAUPLII,2.07,NA,NA,iceoff
78,SP,1981,8/11/81,20000,CYCLOPOID,1.16,NA,NA,iceoff
79,SP,1981,8/11/81,30000,CALANOID,0.21,NA,NA,iceoff
80,SP,1981,8/11/81,50700,BOSMINIDAE,4.76,NA,NA,iceoff
81,SP,1981,8/11/81,51000,CHYDORUS,0.29,NA,NA,iceoff
82,SP,1981,8/11/81,51100,DAPHNIA,0.09,NA,NA,iceoff
83,SP,1981,8/11/81,51103,DAPHNIA MENDOTAE,0.09,NA,NA,iceoff
84,SP,1981,8/11/81,51107,DAPHNIA RETROCURVA,0.09,NA,NA,iceoff
85,SP,1981,8/11/81,51200,DIAPHANOSOMA,1.29,NA,NA,iceoff
86,SP,1981,8/11/81,60800,CONOCHILOIDES,0.09,NA,NA,iceoff
87,SP,1981,8/11/81,61500,GASTROPUS,0.95,NA,NA,iceoff
88,SP,1981,8/11/81,61702,KELLICOTTIA LONGISPINA,1.45,NA,NA,iceoff
