"","X1.x","sampledate","depth.x","o2.x","deck","light","frlight","avsnow","totice","whiteice","extcoef","blueice","surflite","Genus","Transect Cell Count","Magnification","Biovolume","CellBioVol","PerBioVol","# of Transects","Cell Count per cm2","Transect Length (cm)","Start XY","Taxa","WaterCol","Functional","X15","X16","X17","X18","X19","End XY","Notes","Field of View scope","Field of View #","Total Cell Count","Estimated Total","Estimated Mucilage Percent Coverage","X1.y","lakeid","year4","group","depth.y","ph","alk","dic","tic","doc","toc","no3no2","no2","nh4","o2.y","totnf","totnuf","totpf","totpuf","drsif"
"1",304,1997-01-14,0,12,NA,NA,NA,11,37,26,NA,11,NA,"TotalBiovolume",NA,NA,NA,58814.83928,NA,NA,NA,NA,"17105.9397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5775,"SP",1997,"iceon",0,7.47,NA,"9.01","9.09","3.39","3.4",16,NA,84,12,"216","252",2,10,2646
"2",305,1997-02-17,0,11.3,NA,NA,NA,24.5,40,26,NA,14,NA,"TotalBiovolume",NA,NA,NA,1720.185234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5797,"SP",1997,"iceon",0,7.24,640,"8.89","8.97","3.65","3.62",47,NA,42,11.3,"262","309",3,4,2589
"3",307,1997-05-06,0,11.4,1446,1275,0.882,NA,NA,NA,NA,NA,0.881742738589212,"TotalBiovolume",NA,NA,NA,553601.7042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5841,"SP",1997,"iceoff",0,7.54,617,"8.5","8.72","3.12","3.28",24,NA,23,11.4,"160","222",0,22,2777
"4",310,1997-06-18,0,8.7,761,604.8,0.795,NA,NA,NA,NA,NA,0.794743758212878,"TotalBiovolume",NA,NA,NA,120852.7877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5904,"SP",1997,"iceoff",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA
"5",315,1997-08-28,0,8.9,267,214.1,0.802,NA,NA,NA,NA,NA,0.80187265917603,"TotalBiovolume",NA,NA,NA,74003.74465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6005,"SP",1997,"iceoff",0,8.21,598,"7.85","7.96","3.59","3.71",0,NA,48,8.9,"92","96",1,3,2242
"6",320,1997-11-10,0,9.4,142,105.6,0.744,NA,NA,NA,NA,NA,0.743661971830986,"TotalBiovolume",NA,NA,NA,128833.4606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6109,"SP",1997,"iceoff",0,7.39,641,"8.58","8.74","3.29","3.5",2,NA,21,9.4,"43","40",3,9,2757
"7",322,1998-02-23,0,14,275,148,0.538,0,35,11,0.359,24,0.538181818181818,"TotalBiovolume",NA,NA,NA,189107.2736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6153,"SP",1998,"iceon",0,7.92,674,"8.14","8.26","3.3","3.27",92,NA,79,14,"311","276",5,6,2871
"8",324,1998-04-20,0,11.6,1336,1083,0.811,NA,NA,NA,NA,NA,0.81062874251497,"TotalBiovolume",NA,NA,NA,181669.4978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6196,"SP",1998,"iceoff",0,7.67,617,"8.25","8.51","3.34","3.07",1,NA,4,11.6,"234","270",4,10,2580
"9",328,1998-06-15,0,9.5,1359,1118,0.823,NA,NA,NA,NA,NA,0.822663723325975,"TotalBiovolume",NA,NA,NA,167909.7456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6278,"SP",1998,"iceoff",0,8.06,NA,"7.98","8.35","3.27","4.23",1,NA,7,9.5,"168","168",0,3,2396
"10",NA,1997-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TotalBiovolume",NA,NA,NA,204417.0737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",332,1998-08-12,0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148148148,"TotalBiovolume",NA,NA,NA,193824.5165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6360,"SP",1998,"iceoff",0,8.2,625,"8.25","8.26","3.53","3.53",2,NA,108,7.9,"171","210",2,3,2156
