,X1.x,sampledate,depth.x,o2.x,deck,light,frlight,avsnow,totice,whiteice,extcoef,blueice,surflite,Genus,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,# of Transects,Cell Count per cm2,Transect Length (cm),Start XY,Taxa,WaterCol,Functional,X15,X16,X17,X18,X19,End XY,Notes,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage,X1.y,lakeid,year4,group,depth.y,ph,alk,dic,tic,doc,toc,no3no2,no2,nh4,o2.y,totnf,totnuf,totpf,totpuf,drsif,year4frac,lakeid.y,year4.y,rep,sta,depth,surfchlor,wtemp,o2,o2sat,cond,frlight.y,chlor,phaeo,ph.y,phair,alk.y,dic.y,tic.y,doc.y,toc.y,no3no2.y,no2.y,nh4.y,totnf.y,totnuf.y,totpf.y,totpuf.y,drsif.y,brsif,brsiuf,tpm,cl,so4,ca,mg,na,k,fe,mn,no3no2_sloh,nh4_sloh,kjdl_n_sloh,totpuf_sloh,drp_sloh,drsif_sloh
1,304,01/14/1997,0,12,NA,NA,NA,11,37,26,NA,11,NA,TotalBiovolume,NA,NA,NA,58814.83928,NA,NA,NA,NA,17105.9397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5775,SP,1997,iceon,0,7.47,NA,9.01,9.09,3.39,3.4,16,NA,84,12,216,252,2,10,2646,1981.493,SP,1981,1,1,0,3.5,2.95,10.01,78.68,NA,NA,0.66,0.32,7.25,7.87,NA,9.3,9.39,3.27,3.2,34.19,NA,160.25,304.84,348.1,4.27,17.77,2805.77,3504.99,3493.12,0,NA,NA,NA,NA,NA,NA,0.27,0.14,NA,NA,NA,NA,NA,NA
2,305,02/17/1997,0,11.3,NA,NA,NA,24.5,40,26,NA,14,NA,TotalBiovolume,NA,NA,NA,1720.185234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5797,SP,1997,iceon,0,7.24,640,8.89,8.97,3.65,3.62,47,NA,42,11.3,262,309,3,4,2589,1981.537,SP,1981,1,1,0,1.7,2.91,9.65,75.67,93.56,NA,0.28,0.58,7.2,8.06,657.47,9.44,9.51,3.35,3.18,56.59,NA,130.59,345.77,410.13,7.44,17.14,2890.53,3534.44,3609.56,0,5.49,2.64,9.86,2.73,2.73,0.7,0.73,0.17,NA,NA,NA,NA,NA,NA
3,307,05/06/1997,0,11.4,1446,1275,0.882,NA,NA,NA,NA,NA,0.881742739,TotalBiovolume,NA,NA,NA,553601.7042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5841,SP,1997,iceoff,0,7.54,617,8.5,8.72,3.12,3.28,24,NA,23,11.4,160,222,0,22,2777,1981.567,SP,1981,1,1,0,3.5,2.88,9.49,74.22,NA,NA,0.78,0.54,7.17,8.04,NA,10.29,10.45,4.19,3.28,78.37,NA,39.33,357.08,424.74,2.88,14.17,3243.55,3829.13,3904.55,0,NA,NA,NA,NA,NA,NA,1.6,0.14,NA,NA,NA,NA,NA,NA
4,310,06/18/1997,0,8.7,761,604.8,0.795,NA,NA,NA,NA,NA,0.794743758,TotalBiovolume,NA,NA,NA,120852.7877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5904,SP,1997,iceoff,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,NA,NA,NA,NA,NA,1981.608,SP,1981,1,1,0,7.3,5.81,10.93,92.87,86.13,0.12,6.62,1.6,7.4,8.02,620.11,8.69,8.92,3.11,3.18,27.61,NA,45,159.24,212.17,0.13,11.61,3006.94,3329.77,3513.77,0.1,4.95,2.53,10,2.81,2.39,0.66,0,0.01,NA,NA,NA,NA,NA,NA
10,NA,07/14/1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TotalBiovolume,NA,NA,NA,204417.0737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981.647,SP,1981,1,1,0,1.6,7.69,11.39,101.36,NA,0.16,4.69,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,315,08/28/1997,0,8.9,267,214.1,0.802,NA,NA,NA,NA,NA,0.801872659,TotalBiovolume,NA,NA,NA,74003.74465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6005,SP,1997,iceoff,0,8.21,598,7.85,7.96,3.59,3.71,0,NA,48,8.9,92,96,1,3,2242,1981.704,SP,1981,1,1,0,2.1,10.84,10.83,103.66,NA,0.21,2.39,1.72,7.56,7.93,NA,8.38,8.46,3.12,3.11,2.84,NA,32.16,173.33,231.39,3.96,11.33,3040.9,2473.87,2709.37,0.23,NA,NA,NA,NA,NA,NA,0.01,0,NA,NA,NA,NA,NA,NA
6,320,11/10/1997,0,9.4,142,105.6,0.744,NA,NA,NA,NA,NA,0.743661972,TotalBiovolume,NA,NA,NA,128833.4606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6109,SP,1997,iceoff,0,7.39,641,8.58,8.74,3.29,3.5,2,NA,21,9.4,43,40,3,9,2757,1981.723,SP,1981,1,1,0,2.1,12.01,9.89,97.31,NA,0.21,2.37,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,322,02/23/1998,0,14,275,148,0.538,0,35,11,0.359,24,0.538181818,TotalBiovolume,NA,NA,NA,189107.2736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6153,SP,1998,iceon,0,7.92,674,8.14,8.26,3.3,3.27,92,NA,79,14,311,276,5,6,2871,1981.797,SP,1981,1,1,0,4.8,14.39,10.91,112.25,NA,0.25,2.99,0.33,7.6,7.75,NA,8.3,8.42,3.32,3.3,1.04,NA,51.68,155.45,194.22,0.84,8.2,2832.61,2835.03,2969.88,0.18,NA,NA,NA,NA,NA,NA,0.02,0.03,NA,NA,NA,NA,NA,NA
8,324,04/20/1998,0,11.6,1336,1083,0.811,NA,NA,NA,NA,NA,0.810628743,TotalBiovolume,NA,NA,NA,181669.4978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6196,SP,1998,iceoff,0,7.67,617,8.25,8.51,3.34,3.07,1,NA,4,11.6,234,270,4,10,2580,1981.918,SP,1981,1,1,0,10.4,14.99,10.08,105.8,NA,0.2,0.77,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,328,06/15/1998,0,9.5,1359,1118,0.823,NA,NA,NA,NA,NA,0.822663723,TotalBiovolume,NA,NA,NA,167909.7456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6278,SP,1998,iceoff,0,8.06,NA,7.98,8.35,3.27,4.23,1,NA,7,9.5,168,168,0,3,2396,1982.055,SP,1982,1,1,0,18.8,15.91,9.96,106.55,NA,0.14,0,6.15,7.49,7.69,NA,8.08,8.3,3.46,3.42,12.85,NA,43.63,122.99,152.34,0.28,5.12,2674.25,2695.12,2789.73,0.17,NA,NA,NA,NA,NA,NA,0.06,0.01,NA,NA,NA,NA,NA,NA
