sampledate,Genus,Transect Cell Count,Magnification,CellBioVol,PerBioVol,Biovolume,,# of Transects,Cell Count per cm2,Transect Length (cm),Start XY,Taxa,WaterCol,Functional,,,,,,End XY,Notes,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage
11/12/98,Cf. Coelosphaerium,600,,585.7554,0.003970667,0.976259,,1,1980.065556,16.61,11173.0565,,,,,,,,,,,,,,,
8/23/99,Cf. Coelosphaerium,42,,41.002878,0.000700058,0.976259,,,532.2444136,16.61,1680.006993,,,,,,,,,,,,,,,
4/6/00,Cf. Coelosphaerium,28,,27.335252,0.00021249,0.976259,,,13.66966527,16.61,1161.71787,,,,,,,,,,,,,,,
8/21/00,Cf. Coelosphaerium,64,,62.480576,0.00081579,0.976259,,,0.290843942,16.61,32.89367488,,,,,,,,,,,,,,,
6/18/97,Cf. Elakatothrix,41,,106.501969,0.000881254,2.597609,,,2.035907593,16.61,321.312813,,,,,,,,,,Estimate as equal to 50 microcystis cells,,,,,
7/14/97,Cf. Elakatothrix,36,100,4398.229715,0.059432529,2.597609,,,0.581687884,16.61,54.82233798,,,,,,,,,,,,,,,
8/28/97,Cf. Elakatothrix,21,,128833.4606,,2.597609,,,0.290843942,16.61,2036.937191,,,,,,,,,,in rare section,,,,,
11/10/97,Cf. Elakatothrix,2,,44.42277385,0.000234908,2.597609,,,1.454219709,16.61,283.9151666,,,,,,,,,,,,,,,
2/23/98,Cf. Elakatothrix,2,,1019.8212,0.006073627,2.597609,,,36.93718062,16.61,361.2771523,,,,,,,,,,,,,,,
6/15/98,Cf. Elakatothrix,3,,4136.348,0.020234846,2.597609,,,,,17105.9397,,,,,,,,,,,,,,,
8/12/98,Cf. Elakatothrix,75,,194.820675,0.001005139,2.597609,,0,,,,,,,,,,,,,,,7,,,
11/12/98,Cf. Elakatothrix,15,,38.964135,0.000264127,2.597609,,,,,,,,,,,,,,,,,,,,
2/23/99,Cf. Elakatothrix,17,,44.159353,0.000530285,2.597609,,,,,,,,,,,,,,,,,,,,
5/4/99,Cf. Elakatothrix,4,,10.390436,4.57E-05,2.597609,,,,,,,,,,,,,,,,,,,,
7/1/99,Cf. Elakatothrix,173,,449.386357,0.005995596,2.597609,,1,,,,,,,,,,,,,,,,,,
8/23/99,Cf. Elakatothrix,242,,628.621378,0.010732698,2.597609,,,,,,,,,,,,,,,,,,,,
4/6/00,Cf. Elakatothrix,1,,2.597609,2.02E-05,2.597609,,,,,,,,,,,,,,,,,,,,
7/26/00,Cf. Elakatothrix,28,,72.733052,0.000935127,2.597609,,,,,,,,,,,,,,,,,,,,
8/21/00,Cf. Elakatothrix,5,,12.988045,0.000169581,2.597609,,,,,,,,,,,,,,,,,,,,
11/16/00,Cf. Elakatothrix,1,,2.597609,2.71E-05,2.597609,,,,,,,,,,,,,,,,,,,,
8/14/02,Cf. Elakatothrix,7,,18.183263,0.00039656,2.597609,,,,,,,,,,,,,,,,,,,,
3/6/03,Cf. Elakatothrix,8,,20.780872,0.000522537,2.597609,,,,,,,,,,,,,,,,,,,,
4/29/03,Cf. Elakatothrix,3,,7.792827,0.000111909,2.597609,,,,,,,,,,,,,,,,,,,,
6/23/03,Elakatothrix,2,,5.195218,7.46E-05,2.597609,,,,,,,,,,,,,,,,,,,,
7/21/03,Elakatothrix,2,,5.195218,6.76E-05,2.597609,,,,,,,,,,,,,,,,,,,,
8/20/03,Cf. Elakatothrix,28,,72.733052,0.001026515,2.597609,,,,,,,,,,,,,,,,,,,,
11/13/03,Cf. Elakatothrix,2,,5.195218,5.08E-05,2.597609,,,,,,,,,,,,,,,,,,,,
2/18/04,Cf. Elakatothrix,20,,51.95218,0.005351045,2.597609,,,,,,,,,,,,,,,,,,,,
7/21/04,Cf. Elakatothrix,9,,23.378481,0.000600806,2.597609,,,,,,,,,,,,,,,,,,,,
8/16/04,Cf. Elakatothrix,26,,67.537834,0.001939896,2.597609,,,,,,,,,,,,,,,,,,,,
2/13/06,Elakatothrix,3,,7.792827,0.000579598,2.597609,,,,,,,,,,,,,,,,,,,,
4/20/06,Cf. Elakatothrix,1,,2.597609,2.45E-05,2.597609,,,,,,,,,,,,,,,,,,,,
7/12/06,Elakatothrix,46,,119.490014,0.002144245,2.597609,,,,,,,,,,,,,,,,,,,,
8/9/06,Elakatothrix,65,,168.844585,0.009098212,2.597609,,,,,,,,,,,,,,,,,,,,
10/30/06,Cf. Elakatothrix,5,,12.988045,0.000263512,2.597609,,,,,,,,,,,,,,,,,,,,
7/1/08,Cf. Elakatothrix,11,,28.573699,0.000208107,2.597609,,,,,,,,,,,,,,,,,,,,
8/25/08,Cf. Elakatothrix,187,,485.752883,0.006785717,2.597609,,,,,,,,,,,,,,,,,,,,
11/12/08,Cf. Elakatothrix,1,,2.597609,3.37E-05,2.597609,,,,,,,,,,,,,,,,,,,,
2/23/98,Cf. Merispomedia,188,,84042.48044,0.462611949,3,,,,,,,,,,,,,,,,,,,,
4/20/98,Cf. Merispomedia,106,,7.792827,4.64E-05,3,,,,,,,,,,,,,,,,,,,,
6/15/98,Cf. Merispomedia,4,,7679.72216,0.037568888,3,,,,,,,,,,,,,,,,,,,,
6/23/03,Merismopedia,4,,12,0.000172327,3,,,,,,,,,,,,,,,,,,,,
1/14/97,Microcystis,1830,,5776.317644,0.098211909,3.156457729,,1,,,,,,,,,,,,,,,,,,
