sampledate,Genus,Transect Cell Count,Magnification,Biovolume,CellBioVol,PerBioVol,# of Transects,Cell Count per cm2,Transect Length (cm),Start XY,Taxa,WaterCol,Functional,,,,,,End XY,Notes,Field of View scope,Field of View #,Total Cell Count,Estimated Total,Estimated Mucilage Percent Coverage
01/14/1997,Limnothrix,6808,100,5.642771,38415.98497,0.653168238,1,1980.065556,16.61,11173.0565,,,,,,,,,,,,,,,
01/14/1997,Microcystis,1830,,3.156457729,5776.317644,0.098211909,,532.2444136,16.61,1680.006993,,,,,,,,,,,,,,,
01/14/1997,Peanut,47,,84.9851,3994.2997,0.067913128,,13.66966527,16.61,1161.71787,,,,,,,,,,,,,,,
01/14/1997,Cyclotella,1,,113.0973355,113.0973355,0.001922939,,0.290843942,16.61,32.89367488,,,,,,,,,,,,,,,
01/14/1997,unID cyanobacteria (colony),7,,157.8228865,1104.760206,0.018783698,,2.035907593,16.61,321.312813,,,,,,,,,,Estimate as equal to 50 microcystis cells,,,,,
01/14/1997,Cyclostephanos invisitatus,2,,94.247,188.494,0.003204871,,0.581687884,16.61,54.82233798,,,,,,,,,,,,,,,
01/14/1997,Naked Dinoflagellate,1,,7003.540037,7003.540037,0.119077772,,0.290843942,16.61,2036.937191,,,,,,,,,,in rare section,,,,,
01/14/1997,Cryptomonas,5,,195.2354,976.177,0.016597461,,1.454219709,16.61,283.9151666,,,,,,,,,,,,,,,
01/14/1997,Cf. Komvophoron / Trichormus,127,,9.7808535,1242.168395,0.021119983,,36.93718062,16.61,361.2771523,,,,,,,,,,,,,,,
01/14/1997,TotalBiovolume,,,,58814.83928,,,,,17105.9397,,,,,,,,,,,,,,,
02/17/1997,Limnothrix,229,100,5.642771,1292.194559,0.751195007,0,,,,,,,,,,,,,,,7,,,
02/17/1997,Microcystis,117,,3.156457729,369.3055543,0.214689411,,,,,,,,,,,,,,,,,,,
02/17/1997,Cf. Komvophoron / Trichormus,6,,9.7808535,58.685121,0.034115582,,,,,,,,,,,,,,,,,,,
02/17/1997,TotalBiovolume,,,,1720.185234,,,,,,,,,,,,,,,,,,,,
05/06/1997,Limnothrix,86,100,5.642771,485.278306,0.000876584,1,,,,,,,,,,,,,,,,,,
05/06/1997,Microcystis,270,,3.156457729,852.2435868,0.001539453,,,,,,,,,,,,,,,,,,,
05/06/1997,Cf. Komvophoron / Trichormus,144,,9.7808535,1408.442904,0.002544145,,,,,,,,,,,,,,,,,,,
05/06/1997,Cf. Planktolyngabia,20,,314.1592654,6283.185307,0.01134965,,,,,,,,,,,,,,,,,,,
05/06/1997,Small cocconeis,83,,152.6421331,12669.29705,0.02288522,,,,,,,,,,,,,,,,,,,
05/06/1997,Peanut,11,,84.9851,934.8361,0.001688644,,,,,,,,,,,,,,,,,,,
05/06/1997,Rhoicosphenia,1,,6568.57089,6568.57089,0.011865157,,,,,,,,,,,,,,,,,,,
05/06/1997,Cyclotella,5,,113.0973355,565.4866776,0.001021468,,,,,,,,,,,,,,,,,,,
05/06/1997,Cyclostephanos invisitatus,1,,94.247,94.247,0.000170243,,,,,,,,,,,,,,,,,,,
