,sampledate,depth,o2,deck,light,frlight,avsnow,totice,whiteice,extcoef,blueice,surflite,Genus,CellBioVol,,,
304,1/14/97,0,12,NA,NA,NA,11,37,26,NA,11,NA,TotalBiovolume,58814.83928,,,
305,2/17/97,0,11.3,NA,NA,NA,24.5,40,26,NA,14,NA,TotalBiovolume,1720.185234,,,
306,3/25/97,0,12.1,602,0,0,31,44,31,NA,13,0,,,,,
307,5/6/97,0,11.4,1446,1275,0.882,NA,NA,NA,NA,NA,0.881742739,TotalBiovolume,553601.7042,,,
308,5/21/97,0,11.4,1742,1818,NA,NA,NA,NA,NA,NA,1.043628014,,,,,
309,6/4/97,0,9.5,934,934,1,NA,NA,NA,NA,NA,1,,,,,
310,6/18/97,0,8.7,761,604.8,0.795,NA,NA,NA,NA,NA,0.794743758,TotalBiovolume,120852.7877,,,
311,7/1/97,0,8.5,1904,1814,0.953,NA,NA,NA,NA,NA,0.952731092,,,,,
312,7/17/97,0,8,294,179.5,0.611,NA,NA,NA,NA,NA,0.610544218,,,,,
313,7/29/97,0,8.1,1606,1620,NA,NA,NA,NA,NA,NA,1.00871731,,,,,
314,8/13/97,0,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
315,8/28/97,0,8.9,267,214.1,0.802,NA,NA,NA,NA,NA,0.801872659,TotalBiovolume,74003.74465,,,
316,9/9/97,0,9,564,402.3,0.713,NA,NA,NA,NA,NA,0.713297872,,,,,
317,9/24/97,0,9.1,712,860,NA,NA,NA,NA,NA,NA,1.207865169,,,,,
318,10/7/97,0,9.1,532,419.4,0.788,NA,NA,NA,NA,NA,0.788345865,,,,,
319,10/24/97,0,9.7,566,423.4,0.748,NA,NA,NA,NA,NA,0.748056537,,,,,
320,11/10/97,0,9.4,142,105.6,0.744,NA,NA,NA,NA,NA,0.743661972,TotalBiovolume,128833.4606,,,
321,1/12/98,0,19.7,166,0,0,17.5,26,0,NA,26,0,,,,,
322,2/23/98,0,14,275,148,0.538,0,35,11,0.359,24,0.538181818,TotalBiovolume,189107.2736,,,
323,3/18/98,0,17,297,2.02,0.007,8.5,37,8,NA,29,0.006801347,,,,,
324,4/20/98,0,11.6,1336,1083,0.811,NA,NA,NA,NA,NA,0.810628743,TotalBiovolume,181669.4978,,,
325,5/5/98,0,10.7,1127,1057,0.938,NA,NA,NA,NA,NA,0.937888199,,,,,
326,5/19/98,0,9.5,1572,1275,0.811,NA,NA,NA,NA,NA,0.811068702,,,,,
327,6/1/98,0,8.9,1064,805,0.757,NA,NA,NA,NA,NA,0.756578947,,,,,
328,6/15/98,0,9.5,1359,1118,0.823,NA,NA,NA,NA,NA,0.822663723,TotalBiovolume,167909.7456,,,
329,6/29/98,0,8.2,1965,1609,0.819,NA,NA,NA,NA,NA,0.818829517,,,,,
330,7/14/98,0,8.3,1754,1642,0.936,NA,NA,NA,NA,NA,0.936145952,,,,,
331,7/27/98,0,9.2,1293,797,0.616,NA,NA,NA,NA,NA,0.616395978,,,,,
332,8/12/98,0,7.9,945,707,0.748,NA,NA,NA,NA,NA,0.748148148,TotalBiovolume,193824.5165,,,
334,8/26/98,0,8.4,1805,1452,0.804,NA,NA,NA,NA,NA,0.804432133,,,,,
335,9/9/98,0,8.5,1553,1186,0.764,NA,NA,NA,NA,NA,0.763683194,,,,,
336,9/24/98,0,8.7,90,50.88,0.565,NA,NA,NA,NA,NA,0.565333333,,,,,
337,10/6/98,0,9.5,937,701,0.748,NA,NA,NA,NA,NA,0.748132337,,,,,
338,10/6/98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
339,10/20/98,0,9.6,234,124.8,0.533,NA,NA,NA,NA,NA,0.533333333,,,,,
340,11/12/98,0,9.2,815,464.2,0.57,NA,NA,NA,NA,NA,0.569570552,TotalBiovolume,147520.6467,,,
341,1/18/99,0,13.6,220,0,0,22.9,26,0,NA,26,0,,,,,
342,2/23/99,0,13.2,1262,9.66,0.008,9,41,14,NA,27,0.007654517,TotalBiovolume,83274.68798,,,
343,3/24/99,0,15.8,1371,137.8,0.101,1,53,17,0.418,36,0.100510576,,,,,
344,5/4/99,0,12.2,1585,1104,0.697,NA,NA,NA,NA,NA,0.696529968,TotalBiovolume,227305.348,,,
345,5/20/99,0,10.4,421,265.73,0.631,NA,NA,NA,NA,NA,0.631187648,,,,,
346,6/2/99,0,9.4,509,301.81,0.593,NA,NA,NA,NA,NA,0.592946955,,,,,
347,6/16/99,0,8.4,716,410.47,0.573,NA,NA,NA,NA,NA,0.573282123,,,,,
348,7/1/99,0,8.4,1745,1354.3,0.776,NA,NA,NA,NA,NA,0.776103152,TotalBiovolume,74952.73654,,,
350,7/15/99,0,8.3,1236,961.2,0.778,NA,NA,NA,NA,NA,0.777669903,,,,,
351,7/28/99,0,7.8,1781,1298,0.729,NA,NA,NA,NA,NA,0.728804043,,,,,
352,8/10/99,0,8.1,491,275.76,0.562,NA,NA,NA,NA,NA,0.561629328,,,,,
354,8/23/99,0,8,424,274.56,0.648,NA,NA,NA,NA,NA,0.64754717,TotalBiovolume,58570.67871,,,
355,9/9/99,0,9,324,173.76,0.536,NA,NA,NA,NA,NA,0.536296296,,,,,
