lakeid,year4,daynum,sampledate,depth,surfchlor
SP,1981,181,6/30/81,0,3.5
SP,1981,181,6/30/81,3,8.6
SP,1981,181,6/30/81,5,4.7
SP,1981,181,6/30/81,8,4.1
SP,1981,181,6/30/81,10,4.1
SP,1981,181,6/30/81,12,4.2
SP,1981,181,6/30/81,15,2.8
SP,1981,181,6/30/81,18,2.4
SP,1981,197,7/16/81,0,1.7
SP,1981,197,7/16/81,3,6.7
SP,1981,197,7/16/81,5,2.8
SP,1981,197,7/16/81,8,5
SP,1981,197,7/16/81,10,10.1
SP,1981,197,7/16/81,12,5.6
SP,1981,197,7/16/81,15,7.8
SP,1981,197,7/16/81,18,10.4
SP,1981,208,7/27/81,0,3.5
SP,1981,208,7/27/81,3,6.9
SP,1981,208,7/27/81,5,4.3
SP,1981,208,7/27/81,8,5.4
SP,1981,208,7/27/81,10,4.8
SP,1981,208,7/27/81,12,10.2
SP,1981,208,7/27/81,15,5
SP,1981,208,7/27/81,18,3.7
SP,1981,223,8/11/81,0,7.3
SP,1981,223,8/11/81,3,5.6
SP,1981,223,8/11/81,5,7.4
SP,1981,223,8/11/81,8,16.7
SP,1981,223,8/11/81,10,13.7
SP,1981,223,8/11/81,12,15
SP,1981,223,8/11/81,15,8.4
SP,1981,223,8/11/81,18,20.9
SP,1981,237,8/25/81,0,1.6
SP,1981,237,8/25/81,3,2.6
SP,1981,237,8/25/81,5,1.8
SP,1981,237,8/25/81,8,3.1
SP,1981,237,8/25/81,10,4.8
SP,1981,237,8/25/81,12,5.4
SP,1981,237,8/25/81,15,7.2
SP,1981,237,8/25/81,18,0.5
SP,1981,258,9/15/81,0,2.1
SP,1981,258,9/15/81,3,1.8
SP,1981,258,9/15/81,5,1.2
SP,1981,258,9/15/81,8,1.6
SP,1981,258,9/15/81,10,2.8
SP,1981,258,9/15/81,12,3.9
SP,1981,258,9/15/81,15,5.2
SP,1981,258,9/15/81,18,3.5
SP,1981,265,9/22/81,0,2.1
SP,1981,265,9/22/81,3,2.6
SP,1981,265,9/22/81,5,2.4
SP,1981,265,9/22/81,8,2.6
SP,1981,265,9/22/81,10,2.8
SP,1981,265,9/22/81,12,5.1
SP,1981,265,9/22/81,15,5.6
SP,1981,265,9/22/81,18,7.2
SP,1981,292,10/19/81,0,4.8
SP,1981,292,10/19/81,3,5
SP,1981,292,10/19/81,5,3.7
SP,1981,292,10/19/81,8,4.4
SP,1981,292,10/19/81,10,4.3
SP,1981,292,10/19/81,12,4.3
SP,1981,292,10/19/81,15,3.1
SP,1981,336,12/2/81,0,10.4
SP,1981,336,12/2/81,3,10.1
SP,1981,336,12/2/81,5,9.3
SP,1981,336,12/2/81,8,9.5
SP,1981,336,12/2/81,10,9.4
SP,1981,336,12/2/81,12,9.5
SP,1981,336,12/2/81,15,8.7
SP,1981,336,12/2/81,18,8.4
SP,1982,20,1/20/82,0,18.8
SP,1982,20,1/20/82,3,7.3
SP,1982,20,1/20/82,5,3.7
SP,1982,20,1/20/82,8,2.2
SP,1982,20,1/20/82,10,1.6
SP,1982,20,1/20/82,12,1.6
SP,1982,20,1/20/82,15,1.6
SP,1982,20,1/20/82,18,5.5
SP,1982,55,2/24/82,0,2.8
SP,1982,55,2/24/82,3,1.6
SP,1982,55,2/24/82,5,1.1
SP,1982,55,2/24/82,8,0.4
SP,1982,55,2/24/82,10,0.4
SP,1982,55,2/24/82,12,0.3
SP,1982,55,2/24/82,15,0.3
SP,1982,55,2/24/82,17,4.6
SP,1982,95,4/5/82,0,4.6
SP,1982,95,4/5/82,3,6.3
SP,1982,95,4/5/82,5,4.1
SP,1982,95,4/5/82,8,2.8
SP,1982,95,4/5/82,10,2.8
SP,1982,95,4/5/82,12,1.1
SP,1982,95,4/5/82,15,1.2
SP,1982,132,5/12/82,0,5.9
SP,1982,132,5/12/82,3,6.7
SP,1982,132,5/12/82,5,16.8
SP,1982,132,5/12/82,8,16.1
SP,1982,132,5/12/82,10,15.9
SP,1982,132,5/12/82,12,14.2
SP,1982,132,5/12/82,15,11.7
SP,1982,132,5/12/82,18,9.3
SP,1982,147,5/27/82,0,1.1
SP,1982,147,5/27/82,3,1.4
SP,1982,147,5/27/82,5,3
SP,1982,147,5/27/82,8,4.2
SP,1982,147,5/27/82,10,13.4
SP,1982,147,5/27/82,12,15.4
SP,1982,147,5/27/82,15,57.9
SP,1982,147,5/27/82,18,12
SP,1982,161,6/10/82,0,1.2
SP,1982,161,6/10/82,3,1.4
SP,1982,161,6/10/82,5,2.1
SP,1982,161,6/10/82,8,2.4
SP,1982,161,6/10/82,10,8
SP,1982,161,6/10/82,12,11.6
SP,1982,161,6/10/82,15,72.3
SP,1982,161,6/10/82,18,38.6
SP,1982,174,6/23/82,0,1.4
SP,1982,174,6/23/82,3,1.1
SP,1982,174,6/23/82,5,1.1
SP,1982,174,6/23/82,8,1.3
SP,1982,174,6/23/82,10,3.5
SP,1982,174,6/23/82,12,18.5
SP,1982,174,6/23/82,15,45.3
SP,1982,174,6/23/82,18,29.1
SP,1982,189,7/8/82,0,1.3
SP,1982,189,7/8/82,3,1.4
SP,1982,189,7/8/82,5,1.7
SP,1982,189,7/8/82,8,1.6
SP,1982,189,7/8/82,10,3.5
SP,1982,189,7/8/82,12,17.1
SP,1982,189,7/8/82,15,24.7
SP,1982,189,7/8/82,18,78.3
SP,1982,201,7/20/82,0,0.9
SP,1982,201,7/20/82,3,1.2
SP,1982,201,7/20/82,5,1.7
SP,1982,201,7/20/82,8,1.1
SP,1982,201,7/20/82,10,9.7
SP,1982,201,7/20/82,12,16.1
SP,1982,201,7/20/82,15,29.4
