lakeid,sampledate,Genus,CellBioVol,year4,extcoef,comments
SP,1/14/97,TotalBiovolume,58814.83928,1997,NA,extcoef: No light data
SP,2/17/97,TotalBiovolume,1720.185234,1997,NA,extcoef: No light data
SP,5/6/97,TotalBiovolume,553601.7042,1997,0.566,NA
SP,6/18/97,TotalBiovolume,120852.7877,1997,0.35,NA
SP,8/28/97,TotalBiovolume,74003.74465,1997,0.325,NA
SP,11/10/97,TotalBiovolume,128833.4606,1997,0.544,NA
SP,2/23/98,TotalBiovolume,189107.2736,1998,0.359,NA
SP,4/20/98,TotalBiovolume,181669.4978,1998,0.49,NA
SP,6/15/98,TotalBiovolume,167909.7456,1998,0.344,NA
SP,8/12/98,TotalBiovolume,193824.5165,1998,0.319,NA
SP,11/12/98,TotalBiovolume,147520.6467,1998,0.769,NA
SP,2/23/99,TotalBiovolume,83274.68798,1999,NA,extcoef: Insufficient light data
SP,5/4/99,TotalBiovolume,227305.348,1999,0.326,NA
SP,7/1/99,TotalBiovolume,74952.73654,1999,0.279,NA
SP,8/23/99,TotalBiovolume,58570.67871,1999,0.245,NA
SP,11/10/99,TotalBiovolume,29393.12457,1999,0.771,NA
SP,2/22/00,TotalBiovolume,19235.34559,2000,NA,extcoef: Insufficient light data
SP,4/6/00,TotalBiovolume,128642.492,2000,0.494,NA
SP,5/30/00,TotalBiovolume,306599.4631,2000,0.282,NA
SP,7/26/00,TotalBiovolume,77778.75809,2000,0.312,NA
SP,8/21/00,TotalBiovolume,76589.00186,2000,0.347,NA
SP,11/16/00,TotalBiovolume,95748.80998,2000,0.361,NA
SP,2/28/01,TotalBiovolume,21262.77994,2001,0.212,NA
SP,4/30/01,TotalBiovolume,28410.14551,2001,0.417,NA
SP,5/29/01,TotalBiovolume,41235.72366,2001,0.315,NA
SP,6/26/01,TotalBiovolume,134990.8154,2001,0.28,NA
SP,7/24/01,TotalBiovolume,22145.11309,2001,0.279,NA
SP,8/20/01,TotalBiovolume,29306.01224,2001,0.264,NA
SP,11/15/01,TotalBiovolume,139887.1505,2001,0.346,NA
SP,2/28/02,TotalBiovolume,52925.62857,2002,0.267,NA
SP,4/23/02,TotalBiovolume,127889.5355,2002,0.365,NA
SP,6/19/02,TotalBiovolume,114042.3605,2002,0.308,NA
SP,7/17/02,TotalBiovolume,72801.22226,2002,0.311,NA
SP,8/14/02,TotalBiovolume,45852.44843,2002,0.333,NA
SP,11/7/02,TotalBiovolume,79280.51352,2002,0.461,NA
SP,3/6/03,TotalBiovolume,39769.15413,2003,0.238,NA
SP,4/29/03,TotalBiovolume,69635.17216,2003,0.36,NA
SP,6/23/03,TotalBiovolume,53497.5692,2003,0.29,NA
SP,7/21/03,TotalBiovolume,76879.44305,2003,0.296,NA
SP,8/20/03,TotalBiovolume,70854.36054,2003,0.26,NA
SP,11/13/03,TotalBiovolume,102362.2103,2003,0.553,NA
SP,2/18/04,TotalBiovolume,9708.792357,2004,NA,extcoef: Insufficient light data
SP,4/30/04,TotalBiovolume,124704.1185,2004,NA,extcoef: No light data
SP,6/22/04,TotalBiovolume,80990.95401,2004,0.32,NA
SP,7/21/04,TotalBiovolume,38911.84667,2004,0.304,NA
SP,8/16/04,TotalBiovolume,34815.18089,2004,0.3,NA
SP,11/10/04,TotalBiovolume,40141.8149,2004,0.524,NA
SP,4/20/05,TotalBiovolume,120897.0379,2005,0.352,NA
SP,6/13/05,TotalBiovolume,112841.9249,2005,0.273,NA
SP,7/12/05,TotalBiovolume,66524.46203,2005,0.289,NA
SP,8/9/05,TotalBiovolume,36120.08981,2005,0.275,NA
SP,11/15/05,TotalBiovolume,37769.78604,2005,0.524,NA
SP,2/13/06,TotalBiovolume,13445.22755,2006,NA,extcoef: Insufficient light data
SP,4/20/06,TotalBiovolume,105932.2045,2006,0.434,NA
SP,7/12/06,TotalBiovolume,55725.91462,2006,0.292,NA
SP,8/9/06,TotalBiovolume,18557.99633,2006,0.311,NA
SP,10/30/06,TotalBiovolume,49288.15794,2006,0.449,extcoef: Calculated from raw light profile; not corrected for changes in surface light
SP,2/20/07,TotalBiovolume,43538.89356,2007,0.315,NA
SP,4/24/07,TotalBiovolume,57749.85027,2007,0.416,NA
SP,6/19/07,TotalBiovolume,63864.52915,2007,0.339,NA
SP,7/16/07,TotalBiovolume,78698.81792,2007,0.336,NA
SP,8/13/07,TotalBiovolume,86298.54542,2007,0.323,NA
SP,11/12/07,TotalBiovolume,69229.21827,2007,0.411,NA
SP,3/3/08,TotalBiovolume,7414.250988,2008,0.236,NA
SP,5/13/08,TotalBiovolume,101618.1581,2008,0.381,NA
SP,7/1/08,TotalBiovolume,137303.0078,2008,NA,extcoef: Light not monotonically decreasing
SP,8/25/08,TotalBiovolume,71584.60772,2008,0.314,NA
SP,11/12/08,TotalBiovolume,77010.33942,2008,0.428,NA
SP,2/24/09,TotalBiovolume,56387.25094,2009,0.278,NA
SP,4/29/09,TotalBiovolume,324208.1319,2009,0.373,NA
