"","lakeid","sampledate","depth","chlor"
"32","SP",1981-12-02,0,10.4
"36","SP",1982-01-20,0,18.8
"40","SP",1982-02-24,0,2.8
"44","SP",1982-04-05,0,4.6
"100","SP",1982-12-02,0,3.7
"147","SP",1983-08-16,0,0.8
"189","SP",1984-04-26,0,5.5
"198","SP",1984-05-21,0,4.4
"208","SP",1984-06-20,0,2.1
"213","SP",1984-07-05,0,1.3
"218","SP",1984-07-16,0,1.2
"235","SP",1984-09-05,0,1.3
"241","SP",1984-09-25,0,2.4
"246","SP",1984-10-17,0,2.1
"255","SP",1984-11-26,0,3.3
"264","SP",1985-02-27,0,0.9
"273","SP",1985-04-11,0,1.4
"276","SP",1985-04-29,0,4.7
"285","SP",1985-05-29,0,2.5
"294","SP",1985-06-25,0,1.4
"308","SP",1985-08-05,0,1.1
"317","SP",1985-09-10,0,1.7
"326","SP",1985-10-23,0,2.2
"335","SP",1986-01-14,0,4.2
"344","SP",1986-04-24,0,5.8
"353","SP",1986-05-19,0,1.4
"357","SP",1986-06-03,0,1.2
"366","SP",1986-06-30,0,0.9
"375","SP",1986-07-29,0,0.9
"384","SP",1986-08-25,0,1.7
"388","SP",1986-09-08,0,1.2
"397","SP",1986-10-07,0,3
"406","SP",1986-11-12,0,3.4
"415","SP",1987-02-24,0,9.6
"424","SP",1987-04-20,0,2.8
"429","SP",1987-05-05,0,2.2
"438","SP",1987-06-02,0,0.8
"452","SP",1987-07-13,0,1.4
"461","SP",1987-08-11,0,1.1
"470","SP",1987-09-08,0,1.1
"479","SP",1987-10-05,0,1.6
"488","SP",1987-11-02,0,3.1
"497","SP",1988-01-19,0,1.1
"506","SP",1988-04-04,0,0.5
"515","SP",1988-05-09,0,2.1
"524","SP",1988-06-06,0,0.8
"533","SP",1988-07-05,0,1.2
"542","SP",1988-08-01,0,0.8
"547","SP",1988-08-16,0,0.8
"551","SP",1988-08-29,0,1.3
"560","SP",1988-09-27,0,3.1
"569","SP",1988-10-24,0,2.7
"578","SP",1989-01-12,0,11.1
"587","SP",1989-03-29,0,0.7
"596","SP",1989-05-17,0,2.1
"605","SP",1989-06-13,0,2.2
"614","SP",1989-07-10,0,1.1
"623","SP",1989-08-08,0,0.9
"632","SP",1989-09-05,0,1.3
"645","SP",1989-10-16,0,1.3
"654","SP",1989-11-14,0,2
"659","SP",1990-01-17,0,3.6
"663","SP",1990-02-19,0,2.1
"672","SP",1990-04-30,0,3.4
"681","SP",1990-05-29,0,0.8
"690","SP",1990-06-26,0,0.2
"699","SP",1990-08-07,0,0.5
"708","SP",1990-09-04,0,0.8
"717","SP",1990-10-02,0,1.3
"726","SP",1990-10-31,0,3.1
"735","SP",1991-01-16,0,-0.9
"744","SP",1991-03-25,0,0.4
"748","SP",1991-05-07,0,6.4
"757","SP",1991-06-03,0,1.5
"766","SP",1991-07-01,0,2.2
"775","SP",1991-07-30,0,2.9
"784","SP",1991-08-28,0,1.9
"793","SP",1991-09-23,0,2.3
"802","SP",1991-11-11,0,3
"811","SP",1992-03-01,0,2.7
"820","SP",1992-05-19,0,7.5
"824","SP",1992-06-02,0,1.6
"828","SP",1992-06-15,0,1.2
"832","SP",1992-06-30,0,1.2
"836","SP",1992-07-14,0,2
"840","SP",1992-07-29,0,-2.8
"849","SP",1992-08-24,0,1.4
"858","SP",1992-09-24,0,2.8
"875","SP",1993-01-13,0,10.2
"880","SP",1993-03-01,0,4.4
"884","SP",1993-03-22,0,7.5
"893","SP",1993-05-18,0,-0.3
"902","SP",1993-06-14,0,2.7
"911","SP",1993-07-14,0,2.9
"920","SP",1993-08-11,0,1.7
"929","SP",1993-09-08,0,1.1
"938","SP",1993-10-05,0,1.8
"947","SP",1993-11-10,0,6.4
"956","SP",1994-02-21,0,0.8
"965","SP",1994-05-05,0,9
"974","SP",1994-06-01,0,3.8
"983","SP",1994-06-27,0,1
"987","SP",1994-07-12,0,1.7
"996","SP",1994-08-09,0,3.1
"1005","SP",1994-09-06,0,1.8
"1014","SP",1994-10-03,0,3.1
"1023","SP",1994-11-01,0,4.2
"1028","SP",1994-11-16,0,4.8
"1032","SP",1995-01-09,0,4.4
"1043","SP",1995-05-02,0,3.4
"1052","SP",1995-05-31,0,1.6
"1061","SP",1995-06-27,0,1.7
"1070","SP",1995-07-24,0,0.4
"1079","SP",1995-08-22,0,1.3
"1092","SP",1995-10-03,0,1.4
"1101","SP",1995-10-31,0,2.3
"1106","SP",1995-11-13,0,4.6
"1110","SP",1996-01-24,0,2.1
"1119","SP",1996-05-14,0,3.7
"1128","SP",1996-06-10,0,0.7
"1137","SP",1996-07-10,0,2.1
"1146","SP",1996-08-08,0,1
"1153","SP",1996-09-05,0,0.7
"1162","SP",1996-09-30,0,1.4
"1171","SP",1996-11-06,0,0.7
"1211","SP",1997-07-29,0,0
"1215","SP",1997-08-13,0,0.8
"1219","SP",1997-08-28,0,0.5
"1223","SP",1997-09-09,0,1.1
"1315","SP",1999-02-23,0,5.1
"1319","SP",1999-03-24,0,0.6
"1332","SP",1999-06-02,0,4.1
"1341","SP",1999-07-01,0,1.3
"1350","SP",1999-07-28,0,1.8
"1355","SP",1999-08-10,0,3.5
"1359","SP",1999-08-23,0,1.7
"1368","SP",1999-09-23,0,1.8
"1377","SP",1999-10-19,0,4.7
"1386","SP",2000-01-18,0,15.8
"1395","SP",2000-04-06,0,10.9
"1404","SP",2000-05-02,0,-1
"1413","SP",2000-05-30,0,0.7
"1418","SP",2000-06-13,0,1
"1422","SP",2000-06-27,0,1.5
"1431","SP",2000-07-26,0,1.8
"1444","SP",2000-09-06,0,1.1
"1453","SP",2000-10-03,0,2.9
"1462","SP",2000-11-01,0,3
"1471","SP",2001-01-22,0,5.5
"1476","SP",2001-02-28,0,2.2
"1480","SP",2001-04-03,0,3
"1485","SP",2001-04-30,0,11
"1489","SP",2001-05-14,0,1.9
"1498","SP",2001-06-11,0,1.7
"1507","SP",2001-07-09,0,0.7
"1516","SP",2001-08-06,0,0.7
"1521","SP",2001-08-20,0,1.2
"1525","SP",2001-09-04,0,1.1
"1534","SP",2001-10-02,0,0.9
"1543","SP",2001-10-29,0,2.4
"1552","SP",2002-01-16,0,0.3
"1561","SP",2002-04-01,0,4.1
"1566","SP",2002-04-23,0,3.1
"1570","SP",2002-05-07,0,5.3
"1579","SP",2002-06-05,0,0.7
"1588","SP",2002-07-03,0,0.6
"1597","SP",2002-07-30,0,2.2
"1601","SP",2002-08-14,0,1.7
"1610","SP",2002-09-12,0,2.2
"1619","SP",2002-10-09,0,3.6
"1628","SP",2002-11-07,0,4
"1637","SP",2003-03-06,0,9
"1642","SP",2003-04-02,0,31.5
"1646","SP",2003-04-29,0,3.4
"1655","SP",2003-05-30,0,2.1
"1659","SP",2003-06-09,0,1.6
"1668","SP",2003-07-07,0,0.5
"1677","SP",2003-08-04,0,3.3
"1686","SP",2003-09-03,0,1.2
"1695","SP",2003-10-01,0,1.9
"1704","SP",2003-10-28,0,2.9
"1713","SP",2004-01-12,0,11.4
"1726","SP",2004-04-30,0,4
"1735","SP",2004-05-24,0,2
"1744","SP",2004-06-22,0,1.1
"1753","SP",2004-07-21,0,1
"1762","SP",2004-08-16,0,1.1
"1771","SP",2004-09-13,0,1.4
"1780","SP",2004-10-11,0,1.7
"1789","SP",2004-11-10,0,4.3
"1798","SP",2005-02-25,0,5.1
"1807","SP",2005-04-20,0,4.7
"1816","SP",2005-05-19,0,3
"1825","SP",2005-06-13,0,0.7
"1834","SP",2005-07-12,0,0.4
"1843","SP",2005-08-09,0,1
"1852","SP",2005-09-08,0,0.8
"1861","SP",2005-10-03,0,1
"1870","SP",2005-11-15,0,5.2
"1879","SP",2006-02-13,0,3.7
"1884","SP",2006-03-31,0,0.6
"1892","SP",2006-05-02,0,4.3
"1897","SP",2006-05-18,0,3.1
"1901","SP",2006-05-31,0,1.6
"1910","SP",2006-06-28,0,2.3
"1923","SP",2006-08-09,0,-0.8
"1932","SP",2006-09-08,0,1.2
"1941","SP",2006-10-04,0,1.2
"1950","SP",2006-10-30,0,2.8
"1959","SP",2007-02-20,0,3.6
"1964","SP",2007-03-28,0,0.5
"1968","SP",2007-04-24,0,4
"1977","SP",2007-05-21,0,3.1
"1986","SP",2007-06-19,0,1.3
"1995","SP",2007-07-16,0,1.5
"2000","SP",2007-07-23,0,1.1
"2004","SP",2007-07-30,0,0.7
"2013","SP",2007-08-27,0,1.3
"2022","SP",2007-09-24,0,1.2
"2031","SP",2007-10-23,0,3
"2040","SP",2008-01-17,0,10.5
"2045","SP",2008-03-03,0,2.3
"2053","SP",2008-05-13,0,3.4
"2062","SP",2008-06-02,0,1.5
"2071","SP",2008-07-01,0,1.2
"2080","SP",2008-07-29,0,1.2
"2089","SP",2008-08-25,0,0.8
"2098","SP",2008-09-23,0,2.1
"2107","SP",2008-10-20,0,2.6
"2116","SP",2009-01-20,0,12.6
"2125","SP",2009-03-20,0,0.4
"2129","SP",2009-04-29,0,5.8
"2138","SP",2009-05-27,0,1.9
"2147","SP",2009-06-25,0,0.8
"2156","SP",2009-07-22,0,1.1
"2165","SP",2009-08-19,0,-0.4
"2174","SP",2009-09-17,0,1.3
"2183","SP",2009-10-14,0,2
"2192","SP",2009-11-11,0,3.3
"2201","SP",2010-02-11,0,6.3
"2210","SP",2010-04-27,0,2.2
"2219","SP",2010-05-24,0,1.6
"2222","SP",2010-06-08,0,3.4
"2227","SP",2010-06-21,0,1
"2231","SP",2010-07-06,0,1
"2240","SP",2010-08-03,0,1.8
"2249","SP",2010-09-01,0,2.6
"2258","SP",2010-09-28,0,1.2
"2275","SP",2011-01-18,0,10.5
"2284","SP",2011-03-21,0,1.5
"2293","SP",2011-05-16,0,3.3
"2302","SP",2011-06-13,0,0.8
"2311","SP",2011-07-11,0,0.7
"2316","SP",2011-07-26,0,1.1
"2320","SP",2011-08-08,0,1.1
"2329","SP",2011-09-06,0,0.8
"2338","SP",2011-10-04,0,0.9
"2351","SP",2011-11-15,0,3.5
"2360","SP",2012-02-21,0,5
"2369","SP",2012-04-17,0,3.3
"2374","SP",2012-05-02,0,1.6
"2378","SP",2012-05-16,0,0.9
"2387","SP",2012-06-14,0,1.5
"2396","SP",2012-07-12,0,0.4
"2405","SP",2012-08-09,0,1.5
"2410","SP",2012-08-23,0,1.5
"2414","SP",2012-09-05,0,0.8
"2423","SP",2012-10-04,0,1.6
"2432","SP",2012-10-31,0,3.5
"2445","SP",2013-02-25,0,2.1
"2449","SP",2013-03-29,0,0
"2454","SP",2013-05-16,0,5.9
"2458","SP",2013-06-11,0,1.4
"2467","SP",2013-07-08,0,1.5
"2476","SP",2013-08-21,0,0.8
"2481","SP",2013-09-04,0,1.1
"2485","SP",2013-10-02,0,1
"2494","SP",2013-11-13,0,2.4
"2499","SP",2014-01-30,0,3.3
"2503","SP",2014-02-17,0,2.5
"2512","SP",2014-05-19,0,6.5
"2519","SP",2014-06-17,0,1.3
"2524","SP",2014-07-01,0,2.3
"2528","SP",2014-07-14,0,2.1
"2537","SP",2014-08-12,0,1
"2542","SP",2014-08-25,0,1.2
"2546","SP",2014-09-08,0,2
"2555","SP",2014-10-08,0,1.7
"2564","SP",2014-11-10,0,2
"2569","SP",2015-01-14,0,2.5
"2573","SP",2015-02-24,0,1.5
"2582","SP",2015-04-23,0,1
"2591","SP",2015-05-18,0,1
"2595","SP",2015-06-01,0,0.8
"2604","SP",2015-06-29,0,1.9
"2613","SP",2015-07-28,0,0.6
"2618","SP",2015-08-11,0,1
"2622","SP",2015-08-24,0,1.7
