"sampledate","species_code","species_name","lakeid","density","individuals_measured","avg_length"
1981-06-04,10000,"COPEPOD NAUPLII","SP",28.07,NA,NA
1981-06-04,20000,"CYCLOPOID","SP",10.59,NA,NA
1981-06-04,20302,"DIACYCLOPS THOMASI","SP",4.01,NA,NA
1981-06-04,30000,"CALANOID","SP",5.22,NA,NA
1981-06-04,30402,"LEPTODIAPTOMUS MINUTUS","SP",0.14,NA,NA
1981-06-04,30801,"SKISTODIAPTOMUS OREGONENSIS","SP",0.62,NA,NA
1981-06-04,51103,"DAPHNIA MENDOTAE","SP",0.54,NA,NA
1981-06-04,51104,"DAPHNIA LONGIREMIS","SP",0.72,NA,NA
1981-06-04,51130,"DAPHNIA PULICARIA","SP",0.23,NA,NA
1981-06-04,51800,"HOLOPEDIUM","SP",0.4,NA,NA
1981-06-04,60300,"ASPLANCHNA","SP",2.58,NA,NA
1981-06-04,60902,"CONOCHILUS UNICORNIS","SP",40.32,NA,NA
1981-06-04,61400,"FILINIA","SP",6.29,NA,NA
1981-06-04,61701,"KELLICOTTIA BOSTONIENSIS","SP",1.56,NA,NA
1981-06-04,61702,"KELLICOTTIA LONGISPINA","SP",46.81,NA,NA
1981-06-04,61801,"KERATELLA COCHLEARIS","SP",110.03,NA,NA
1981-06-04,61805,"KERATELLA HIEMALIS","SP",1.15,NA,NA
1981-06-04,61806,"KERATELLA QUADRATA","SP",9.22,NA,NA
1981-06-04,61900,"LECANE","SP",1.46,NA,NA
1981-06-04,61904,"LECANE INERMIS","SP",0.14,NA,NA
1981-06-04,63001,"POLYARTHRA DOLICHOPTERA","SP",4.62,NA,NA
1981-06-04,63005,"POLYARTHRA VULGARIS","SP",38.8,NA,NA
1981-06-04,69934,"","SP",1.49,NA,NA
1981-06-04,50000,"CLADOCERAN",NA,0,NA,NA
1981-06-04,51100,"DAPHNIA",NA,0,NA,NA
1981-06-04,51108,"DAPHNIA DENTIFERA",NA,0,NA,NA
1981-06-04,51801,"HOLOPEDIUM GIBBERUM",NA,0,NA,NA
1981-06-04,61803,"KERATELLA CRASSA",NA,0,NA,NA
1981-06-04,61808,"KERATELLA TAUROCEPHALA",NA,0,NA,NA
1981-06-04,63000,"POLYARTHRA",NA,0,NA,NA
1981-06-04,63400,"SYNCHAETA",NA,0,NA,NA
1981-06-04,69901,"",NA,0,NA,NA
1981-06-04,69902,"",NA,0,NA,NA
1981-06-04,70038,"",NA,0,NA,NA
1981-06-04,50700,"BOSMINIDAE",NA,0,NA,NA
1981-06-04,51200,"DIAPHANOSOMA",NA,0,NA,NA
1981-06-04,70051,"",NA,0,NA,NA
1981-06-04,60700,"COLURELLA",NA,0,NA,NA
1981-06-04,70039,"",NA,0,NA,NA
1981-06-04,70065,"",NA,0,NA,NA
1981-06-04,51000,"CHYDORUS",NA,0,NA,NA
1981-06-04,51107,"DAPHNIA RETROCURVA",NA,0,NA,NA
1981-06-04,60800,"CONOCHILOIDES",NA,0,NA,NA
1981-06-04,61500,"GASTROPUS",NA,0,NA,NA
1981-06-04,62700,"NOTOMMATA",NA,0,NA,NA
1981-06-04,62900,"PLOESOMA",NA,0,NA,NA
1981-06-04,63003,"POLYARTHRA MAJOR",NA,0,NA,NA
1981-06-04,63600,"TRICHOCERCA",NA,0,NA,NA
1981-06-04,63616,"TRICHOCERCA ROUSSELETI",NA,0,NA,NA
1981-06-04,70064,"",NA,0,NA,NA
1981-06-04,62400,"MONOSTYLA",NA,0,NA,NA
1981-06-04,70041,"",NA,0,NA,NA
1981-06-04,70052,"",NA,0,NA,NA
1981-06-04,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",NA,0,NA,NA
1981-06-04,61804,"KERATELLA EARLINAE",NA,0,NA,NA
1981-06-04,63004,"POLYARTHRA REMATA",NA,0,NA,NA
1981-06-04,69915,"UNKNOWN",NA,0,NA,NA
1981-06-04,60900,"CONOCHILUS",NA,0,NA,NA
1981-06-04,69935,"",NA,0,NA,NA
1981-06-04,69936,"",NA,0,NA,NA
1981-06-04,61402,"FILINIA TERMINALIS",NA,0,NA,NA
1981-06-04,61502,"GASTROPUS STYLIFER",NA,0,NA,NA
1981-06-04,69990,"",NA,0,NA,NA
1981-06-04,69991,"",NA,0,NA,NA
1981-06-04,69992,"UNKNOWN ROTIFER",NA,0,NA,NA
1981-06-04,69932,"",NA,0,NA,NA
1981-06-04,20300,"DIACYCLOPS",NA,0,NA,NA
1981-06-04,70057,"",NA,0,NA,NA
1981-06-04,70058,"",NA,0,NA,NA
1981-06-04,70059,"",NA,0,NA,NA
1981-06-04,70060,"",NA,0,NA,NA
1981-06-04,30400,"DIAPTOMID",NA,0,NA,NA
1981-06-04,51202,"DIAPHANOSOMA BIRGEI",NA,0,NA,NA
1981-06-04,60901,"CONOCHILUS HIPPOCREPIS",NA,0,NA,NA
1981-06-04,70061,"",NA,0,NA,NA
1981-06-04,70062,"",NA,0,NA,NA
1981-06-04,70063,"",NA,0,NA,NA
1981-06-04,63603,"TRICHOCERCA CYLINDRICA",NA,0,NA,NA
1981-06-04,60200,"ASCOMORPHA",NA,0,NA,NA
1981-06-04,61501,"GASTROPUS HYPTOPUS",NA,0,NA,NA
1981-06-04,69928,"UNKNOWN",NA,0,NA,NA
1981-06-04,61802,"KERATELLA COCHLEARIS F. TECTA",NA,0,NA,NA
1981-06-04,69930,"UNKNOWN",NA,0,NA,NA
1981-06-04,69931,"UNKNOWN",NA,0,NA,NA
1981-06-04,60202,"ASCOMORPHA OVALIS",NA,0,NA,NA
1981-06-04,60203,"ASCOMORPHA SALTANS",NA,0,NA,NA
1981-06-04,69921,"UNKNOWN",NA,0,NA,NA
1981-06-04,61807,"KERATELLA SERRULATA",NA,0,NA,NA
1981-06-04,20101,"ACANTHOCYCLOPS VERNALIS",NA,0,NA,NA
1981-06-04,51102,"DAPHNIA DUBIA",NA,0,NA,NA
