,sampledate,depth,o2,deck,light,frlight,avsnow,totice,whiteice,extcoef,blueice,surflite,Genus,CellBioVol
304,01/14/1997,0,12,NA,NA,NA,11,37,26,NA,11,NA,TotalBiovolume,58814.83928
305,02/17/1997,0,11.3,NA,NA,NA,24.5,40,26,NA,14,NA,TotalBiovolume,1720.185234
306,03/25/1997,0,12.1,602,0,0,31,44,31,NA,13,0,,
307,05/06/1997,0,11.4,1446,1275,0.882,NA,NA,NA,NA,NA,0.881742739,TotalBiovolume,553601.7042
308,05/21/1997,0,11.4,1742,1818,NA,NA,NA,NA,NA,NA,1.043628014,,
309,06/04/1997,0,9.5,934,934,1,NA,NA,NA,NA,NA,1,,
310,06/18/1997,0,8.7,761,604.8,0.795,NA,NA,NA,NA,NA,0.794743758,TotalBiovolume,120852.7877
311,07/01/1997,0,8.5,1904,1814,0.953,NA,NA,NA,NA,NA,0.952731092,,
312,07/17/1997,0,8,294,179.5,0.611,NA,NA,NA,NA,NA,0.610544218,,
313,07/29/1997,0,8.1,1606,1620,NA,NA,NA,NA,NA,NA,1.00871731,,
314,08/13/1997,0,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
315,08/28/1997,0,8.9,267,214.1,0.802,NA,NA,NA,NA,NA,0.801872659,TotalBiovolume,74003.74465
316,09/09/1997,0,9,564,402.3,0.713,NA,NA,NA,NA,NA,0.713297872,,
317,09/24/1997,0,9.1,712,860,NA,NA,NA,NA,NA,NA,1.207865169,,
318,10/07/1997,0,9.1,532,419.4,0.788,NA,NA,NA,NA,NA,0.788345865,,
319,10/24/1997,0,9.7,566,423.4,0.748,NA,NA,NA,NA,NA,0.748056537,,
320,11/10/1997,0,9.4,142,105.6,0.744,NA,NA,NA,NA,NA,0.743661972,TotalBiovolume,128833.4606
321,01/12/1998,0,19.7,166,0,0,17.5,26,0,NA,26,0,,
322,02/23/1998,0,14,275,148,0.538,0,35,11,0.359,24,0.538181818,TotalBiovolume,189107.2736
323,03/18/1998,0,17,297,2.02,0.007,8.5,37,8,NA,29,0.006801347,,
