lakeid,year4,sampledate,depth,chlor
SP,2010,2010-01-12,0.00,15.3
SP,2010,2010-01-12,3.00,3.6
SP,2010,2010-01-12,5.00,1.4
SP,2010,2010-01-12,8.00,0.8
SP,2010,2010-01-12,10.00,0.8
SP,2010,2010-01-12,10.00,1.2
SP,2010,2010-01-12,12.00,1.1
SP,2010,2010-01-12,15.00,0.6
SP,2010,2010-01-12,18.00,2.6
SP,2010,2010-02-11,0.00,6.3
SP,2010,2010-02-11,0.00,6.5
SP,2010,2010-02-11,3.00,3.3
SP,2010,2010-02-11,5.00,1.6
SP,2010,2010-02-11,8.00,0.9
SP,2010,2010-02-11,10.00,0.6
SP,2010,2010-02-11,12.00,0.4
SP,2010,2010-02-11,15.00,0.4
SP,2010,2010-02-11,17.00,0.9
SP,2010,2010-04-12,0.00,4.8
SP,2010,2010-04-12,3.00,6.9
SP,2010,2010-04-12,5.00,11.2
SP,2010,2010-04-12,8.00,9.1
SP,2010,2010-04-12,10.00,9.5
SP,2010,2010-04-12,10.00,10.0
SP,2010,2010-04-12,12.00,8.8
SP,2010,2010-04-12,15.00,8.8
SP,2010,2010-04-12,18.00,17.6
SP,2010,2010-04-27,0.00,2.2
SP,2010,2010-04-27,3.00,2.3
SP,2010,2010-04-27,5.00,2.8
SP,2010,2010-04-27,8.00,3.9
SP,2010,2010-04-27,10.00,5.0
SP,2010,2010-04-27,12.00,9.1
SP,2010,2010-04-27,12.00,6.9
SP,2010,2010-04-27,15.00,10.7
SP,2010,2010-04-27,18.00,8.5
SP,2010,2010-05-10,0.00,3.9
SP,2010,2010-05-10,3.00,2.0
SP,2010,2010-05-10,5.00,2.7
SP,2010,2010-05-10,8.00,3.7
SP,2010,2010-05-10,10.00,2.7
SP,2010,2010-05-10,12.00,5.2
SP,2010,2010-05-10,12.00,4.8
SP,2010,2010-05-10,15.00,3.8
SP,2010,2010-05-10,17.00,3.7
SP,2010,2010-05-24,0.00,1.6
SP,2010,2010-05-24,3.00,5.0
SP,2010,2010-05-24,5.00,5.1
SP,2010,2010-05-24,5.00,4.5
SP,2010,2010-05-24,8.00,4.3
SP,2010,2010-05-24,10.00,7.5
SP,2010,2010-06-08,0.00,3.4
SP,2010,2010-06-08,3.00,4.6
SP,2010,2010-06-08,5.00,12.8
SP,2010,2010-06-08,8.00,2.8
SP,2010,2010-06-08,8.00,2.0
SP,2010,2010-06-08,10.00,3.6
SP,2010,2010-06-08,12.00,7.5
SP,2010,2010-06-08,15.00,4.5
SP,2010,2010-06-08,17.00,12.0
SP,2010,2010-06-21,0.00,0.7
SP,2010,2010-06-21,0.00,1.0
SP,2010,2010-06-21,3.00,0.7
SP,2010,2010-06-21,5.00,2.2
SP,2010,2010-06-21,8.00,3.9
SP,2010,2010-06-21,10.00,4.0
SP,2010,2010-06-21,12.00,6.8
SP,2010,2010-06-21,15.00,3.3
SP,2010,2010-06-21,17.00,6.4
SP,2010,2010-07-06,0.00,1.0
SP,2010,2010-07-06,3.00,1.4
SP,2010,2010-07-06,5.00,2.2
SP,2010,2010-07-06,5.00,1.6
SP,2010,2010-07-06,8.00,2.1
SP,2010,2010-07-06,10.00,1.7
SP,2010,2010-07-06,12.00,6.8
SP,2010,2010-07-06,15.00,10.5
SP,2010,2010-07-06,17.00,9.4
SP,2010,2010-07-20,0.00,2.9
SP,2010,2010-07-20,3.00,2.8
SP,2010,2010-07-20,5.00,3.6
SP,2010,2010-07-20,5.00,4.4
