lakeid,year4,sampledate,depth,chlor,division,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc,Season
SP,2010,2/11/10,0,6.4,Total,267.0857,3067.77,6676.3269,111467.3745,0.1114674,0
SP,2010,2/11/10,3,3.3,Total,267.0857,3067.77,6676.3269,111467.3745,0.1114674,0
SP,2010,2/11/10,5,1.6,Total,267.0857,3067.77,6676.3269,111467.3745,0.1114674,0
SP,2010,2/11/10,8,0.9,Total,267.0857,3067.77,6676.3269,111467.3745,0.1114674,0
SP,2010,2/11/10,10,0.6,Total,267.0857,3067.77,6676.3269,111467.3745,0.1114674,0
SP,2010,2/11/10,12,0.4,Total,267.0857,3067.77,6676.3269,111467.3745,0.1114674,0
SP,2010,2/11/10,15,0.4,Total,267.0857,3067.77,6676.3269,111467.3745,0.1114674,0
SP,2010,2/11/10,18,0.9,Total,267.0857,3067.77,6676.3269,111467.3745,0.1114674,0
SP,2010,4/12/10,0,4.8,Total,249.1,8170.9355,11576.0948,1358898.748,1.3588988,1
SP,2010,4/12/10,3,6.9,Total,249.1,8170.9355,11576.0948,1358898.748,1.3588988,1
SP,2010,4/12/10,5,11.2,Total,249.1,8170.9355,11576.0948,1358898.748,1.3588988,1
SP,2010,4/12/10,8,9.1,Total,249.1,8170.9355,11576.0948,1358898.748,1.3588988,1
SP,2010,4/12/10,10,9.75,Total,249.1,8170.9355,11576.0948,1358898.748,1.3588988,1
SP,2010,4/12/10,12,8.8,Total,249.1,8170.9355,11576.0948,1358898.748,1.3588988,1
SP,2010,4/12/10,15,8.8,Total,249.1,8170.9355,11576.0948,1358898.748,1.3588988,1
SP,2010,4/12/10,18,17.6,Total,249.1,8170.9355,11576.0948,1358898.748,1.3588988,1
SP,2010,6/8/10,0,3.4,Total,82.6111,2429.1577,5901.6659,324142.0228,0.32414204,1
SP,2010,6/8/10,3,4.6,Total,82.6111,2429.1577,5901.6659,324142.0228,0.32414204,1
SP,2010,6/8/10,5,12.8,Total,82.6111,2429.1577,5901.6659,324142.0228,0.32414204,1
SP,2010,6/8/10,8,2.4,Total,82.6111,2429.1577,5901.6659,324142.0228,0.32414204,1
SP,2010,6/8/10,10,3.6,Total,82.6111,2429.1577,5901.6659,324142.0228,0.32414204,1
SP,2010,6/8/10,12,7.5,Total,82.6111,2429.1577,5901.6659,324142.0228,0.32414204,1
SP,2010,6/8/10,15,4.5,Total,82.6111,2429.1577,5901.6659,324142.0228,0.32414204,1
SP,2010,6/8/10,18,12,Total,82.6111,2429.1577,5901.6659,324142.0228,0.32414204,1
SP,2010,7/6/10,0,1,Total,309.1253,2976.0654,17017.5774,458858.2479,0.45885826,1
SP,2010,7/6/10,3,1.4,Total,309.1253,2976.0654,17017.5774,458858.2479,0.45885826,1
SP,2010,7/6/10,5,1.9,Total,309.1253,2976.0654,17017.5774,458858.2479,0.45885826,1
SP,2010,7/6/10,8,2.1,Total,309.1253,2976.0654,17017.5774,458858.2479,0.45885826,1
