lakeid,year4,sampledate,depth,chlor,Genus,CellBioVol,Season
SP,1997,1/14/97,0,1.3,TotalBiovolume,58814.83928,Ice On
SP,1997,1/14/97,3,0.8,TotalBiovolume,58814.83928,Ice On
SP,1997,1/14/97,5,0.6,TotalBiovolume,58814.83928,Ice On
SP,1997,1/14/97,8,0.5,TotalBiovolume,58814.83928,Ice On
SP,1997,1/14/97,10,0.3,TotalBiovolume,58814.83928,Ice On
SP,1997,1/14/97,12,0.7,TotalBiovolume,58814.83928,Ice On
SP,1997,1/14/97,15,0.5,TotalBiovolume,58814.83928,Ice On
SP,1997,1/14/97,18,-0.3,TotalBiovolume,58814.83928,Ice On
SP,1997,2/17/97,0,0.9,TotalBiovolume,1720.185234,Ice On
SP,1997,2/17/97,3,0.3,TotalBiovolume,1720.185234,Ice On
SP,1997,2/17/97,5,0.2,TotalBiovolume,1720.185234,Ice On
SP,1997,2/17/97,8,0.1,TotalBiovolume,1720.185234,Ice On
SP,1997,2/17/97,10,0.1,TotalBiovolume,1720.185234,Ice On
SP,1997,2/17/97,12,0.2,TotalBiovolume,1720.185234,Ice On
SP,1997,2/17/97,15,0.2,TotalBiovolume,1720.185234,Ice On
SP,1997,2/17/97,18,-3.6,TotalBiovolume,1720.185234,Ice On
SP,1997,5/6/97,0,7.3,TotalBiovolume,553601.7042,Ice Off
SP,1997,5/6/97,3,9.1,TotalBiovolume,553601.7042,Ice Off
SP,1997,5/6/97,5,7.8,TotalBiovolume,553601.7042,Ice Off
SP,1997,5/6/97,8,6.5,TotalBiovolume,553601.7042,Ice Off
SP,1997,5/6/97,10,5.5,TotalBiovolume,553601.7042,Ice Off
SP,1997,5/6/97,12,4.3,TotalBiovolume,553601.7042,Ice Off
SP,1997,5/6/97,15,3.9,TotalBiovolume,553601.7042,Ice Off
SP,1997,5/6/97,18,3.7,TotalBiovolume,553601.7042,Ice Off
SP,1997,6/18/97,0,1,TotalBiovolume,120852.7877,Ice Off
SP,1997,6/18/97,3,1.5,TotalBiovolume,120852.7877,Ice Off
SP,1997,6/18/97,5,1.9,TotalBiovolume,120852.7877,Ice Off
SP,1997,6/18/97,8,1.5,TotalBiovolume,120852.7877,Ice Off
SP,1997,6/18/97,10,1.5,TotalBiovolume,120852.7877,Ice Off
SP,1997,6/18/97,12,3.7,TotalBiovolume,120852.7877,Ice Off
SP,1997,6/18/97,15,6.9,TotalBiovolume,120852.7877,Ice Off
SP,1997,6/18/97,18,3.9,TotalBiovolume,120852.7877,Ice Off
SP,1997,8/28/97,0,0.5,TotalBiovolume,74003.74465,Ice Off
SP,1997,8/28/97,3,0.6,TotalBiovolume,74003.74465,Ice Off
SP,1997,8/28/97,5,0.8,TotalBiovolume,74003.74465,Ice Off
SP,1997,8/28/97,8,0.8,TotalBiovolume,74003.74465,Ice Off
SP,1997,8/28/97,10,1.5,TotalBiovolume,74003.74465,Ice Off
SP,1997,8/28/97,12,1.9,TotalBiovolume,74003.74465,Ice Off
SP,1997,8/28/97,15,3.5,TotalBiovolume,74003.74465,Ice Off
SP,1997,8/28/97,18,1.9,TotalBiovolume,74003.74465,Ice Off
SP,1997,11/10/97,0,1.8,TotalBiovolume,128833.4606,Ice Off
SP,1997,11/10/97,3,2.3,TotalBiovolume,128833.4606,Ice Off
SP,1997,11/10/97,5,2.1,TotalBiovolume,128833.4606,Ice Off
SP,1997,11/10/97,8,1.9,TotalBiovolume,128833.4606,Ice Off
SP,1997,11/10/97,10,2,TotalBiovolume,128833.4606,Ice Off
SP,1997,11/10/97,12,1.9,TotalBiovolume,128833.4606,Ice Off
SP,1997,11/10/97,15,2,TotalBiovolume,128833.4606,Ice Off
SP,1997,11/10/97,18,1.3,TotalBiovolume,128833.4606,Ice Off
SP,1998,2/23/98,0,0.7,TotalBiovolume,189107.2736,Ice On
SP,1998,2/23/98,3,3.4,TotalBiovolume,189107.2736,Ice On
SP,1998,2/23/98,5,4.4,TotalBiovolume,189107.2736,Ice On
SP,1998,2/23/98,8,1.6,TotalBiovolume,189107.2736,Ice On
SP,1998,2/23/98,10,1.4,TotalBiovolume,189107.2736,Ice On
SP,1998,2/23/98,12,0.9,TotalBiovolume,189107.2736,Ice On
SP,1998,2/23/98,15,0.9,TotalBiovolume,189107.2736,Ice On
SP,1998,2/23/98,18,1.6,TotalBiovolume,189107.2736,Ice On
SP,1998,6/15/98,0,0.9,TotalBiovolume,167909.7456,Ice Off
SP,1998,6/15/98,3,0.9,TotalBiovolume,167909.7456,Ice Off
SP,1998,6/15/98,5,1.5,TotalBiovolume,167909.7456,Ice Off
SP,1998,6/15/98,8,2.7,TotalBiovolume,167909.7456,Ice Off
SP,1998,6/15/98,10,4.6,TotalBiovolume,167909.7456,Ice Off
SP,1998,6/15/98,12,9.6,TotalBiovolume,167909.7456,Ice Off
SP,1998,6/15/98,15,9.2,TotalBiovolume,167909.7456,Ice Off
SP,1998,6/15/98,18,8.4,TotalBiovolume,167909.7456,Ice Off
SP,1998,7/14/98,0,0.6,TotalBiovolume,204417.0737,Ice Off
SP,1998,7/14/98,3,0.7,TotalBiovolume,204417.0737,Ice Off
SP,1998,7/14/98,5,1,TotalBiovolume,204417.0737,Ice Off
SP,1998,7/14/98,8,2.3,TotalBiovolume,204417.0737,Ice Off
SP,1998,7/14/98,10,2.8,TotalBiovolume,204417.0737,Ice Off
SP,1998,7/14/98,12,3.4,TotalBiovolume,204417.0737,Ice Off
SP,1998,7/14/98,15,7,TotalBiovolume,204417.0737,Ice Off
SP,1998,7/14/98,18,17,TotalBiovolume,204417.0737,Ice Off
SP,1998,8/12/98,0,1,TotalBiovolume,193824.5166,Ice Off
SP,1998,8/12/98,3,0.8,TotalBiovolume,193824.5166,Ice Off
SP,1998,8/12/98,5,1.1,TotalBiovolume,193824.5166,Ice Off
SP,1998,8/12/98,8,1.4,TotalBiovolume,193824.5166,Ice Off
SP,1998,8/12/98,10,1.9,TotalBiovolume,193824.5166,Ice Off
SP,1998,8/12/98,12,3.5,TotalBiovolume,193824.5166,Ice Off
SP,1998,8/12/98,15,4.8,TotalBiovolume,193824.5166,Ice Off
SP,1998,8/12/98,18,15.3,TotalBiovolume,193824.5166,Ice Off
SP,1998,11/12/98,0,3.9,TotalBiovolume,147520.6467,Ice Off
SP,1998,11/12/98,3,3.7,TotalBiovolume,147520.6467,Ice Off
SP,1998,11/12/98,5,4.3,TotalBiovolume,147520.6467,Ice Off
SP,1998,11/12/98,8,4.8,TotalBiovolume,147520.6467,Ice Off
SP,1998,11/12/98,10,3.7,TotalBiovolume,147520.6467,Ice Off
SP,1998,11/12/98,12,3.7,TotalBiovolume,147520.6467,Ice Off
SP,1998,11/12/98,15,3.9,TotalBiovolume,147520.6467,Ice Off
SP,1998,11/12/98,18,3.6,TotalBiovolume,147520.6467,Ice Off
SP,1999,2/23/99,0,5.1,TotalBiovolume,83274.68798,Ice On
SP,1999,2/23/99,3,0.6,TotalBiovolume,83274.68798,Ice On
SP,1999,2/23/99,5,0.2,TotalBiovolume,83274.68798,Ice On
SP,1999,2/23/99,8,0.2,TotalBiovolume,83274.68798,Ice On
SP,1999,2/23/99,10,0.2,TotalBiovolume,83274.68798,Ice On
SP,1999,2/23/99,12,0.3,TotalBiovolume,83274.68798,Ice On
SP,1999,2/23/99,15,0.3,TotalBiovolume,83274.68798,Ice On
SP,1999,2/23/99,18,-1.7,TotalBiovolume,83274.68798,Ice On
SP,1999,5/4/99,0,3.3,TotalBiovolume,227305.348,Ice Off
SP,1999,5/4/99,3,3.5,TotalBiovolume,227305.348,Ice Off
SP,1999,5/4/99,8,3.9,TotalBiovolume,227305.348,Ice Off
SP,1999,5/4/99,10,5.1,TotalBiovolume,227305.348,Ice Off
SP,1999,5/4/99,12,7.5,TotalBiovolume,227305.348,Ice Off
SP,1999,5/4/99,15,6.5,TotalBiovolume,227305.348,Ice Off
SP,1999,5/4/99,18,8.15,TotalBiovolume,227305.348,Ice Off
SP,1999,7/1/99,0,1.1,TotalBiovolume,74952.73654,Ice Off
SP,1999,7/1/99,3,1.1,TotalBiovolume,74952.73654,Ice Off
SP,1999,7/1/99,5,1.6,TotalBiovolume,74952.73654,Ice Off
SP,1999,7/1/99,8,3.6,TotalBiovolume,74952.73654,Ice Off
SP,1999,7/1/99,10,3.6,TotalBiovolume,74952.73654,Ice Off
SP,1999,7/1/99,12,3.8,TotalBiovolume,74952.73654,Ice Off
SP,1999,7/1/99,15,5.2,TotalBiovolume,74952.73654,Ice Off
SP,1999,7/1/99,18,5.3,TotalBiovolume,74952.73654,Ice Off
SP,1999,8/23/99,0,1.7,TotalBiovolume,58570.67871,Ice Off
SP,1999,8/23/99,3,1.8,TotalBiovolume,58570.67871,Ice Off
SP,1999,8/23/99,5,1.6,TotalBiovolume,58570.67871,Ice Off
SP,1999,8/23/99,8,1.5,TotalBiovolume,58570.67871,Ice Off
SP,1999,8/23/99,10,2.7,TotalBiovolume,58570.67871,Ice Off
SP,1999,8/23/99,12,3.7,TotalBiovolume,58570.67871,Ice Off
SP,1999,8/23/99,15,17.7,TotalBiovolume,58570.67871,Ice Off
SP,1999,8/23/99,18,17.2,TotalBiovolume,58570.67871,Ice Off
SP,1999,11/10/99,0,15.2,TotalBiovolume,29393.12457,Ice Off
SP,1999,11/10/99,3,17.1,TotalBiovolume,29393.12457,Ice Off
SP,1999,11/10/99,5,15.6,TotalBiovolume,29393.12457,Ice Off
SP,1999,11/10/99,8,15.5,TotalBiovolume,29393.12457,Ice Off
SP,1999,11/10/99,10,15.8,TotalBiovolume,29393.12457,Ice Off
SP,1999,11/10/99,12,14.2,TotalBiovolume,29393.12457,Ice Off
SP,1999,11/10/99,15,13,TotalBiovolume,29393.12457,Ice Off
SP,1999,11/10/99,18,11.9,TotalBiovolume,29393.12457,Ice Off
SP,2000,2/22/00,0,4.3,TotalBiovolume,19235.34559,Ice On
SP,2000,2/22/00,3,2.7,TotalBiovolume,19235.34559,Ice On
SP,2000,2/22/00,5,1.6,TotalBiovolume,19235.34559,Ice On
