"sampledate","division","genus","taxa_name","lakeid","year4","relative_total_biovolume","cells_per_nu","nu_per_ml","cells_per_ml","biovolume_conc","biomass_conc"
2010-02-11,"Bacillariophyta","Fragilaria","Fragilaria filiformis","SP",2010,2.143022,1,6.4912,6.4912,2388.7656,0.00238877
2010-02-11,"Bacillariophyta","Urosolenia","Urosolenia longiseta","SP",2010,26.344516,1,38.9473,38.9473,29365.5444,0.02936554
2010-02-11,"Chlorophyta","","Chlorococcaceae","SP",2010,0.262229,1,38.9473,38.9473,292.2953,0.0002923
2010-02-11,"Chlorophyta","Chlamydomonas","Chlamydomonas ","SP",2010,16.115361,1,97.3682,97.3682,17963.3743,0.01796337
2010-02-11,"Chlorophyta","Monomastix","Monomastix astigmata","SP",2010,0.304914,1,6.4912,6.4912,339.8791,0.00033988
2010-02-11,"Chlorophyta","Monomastix","Monomastix minuta","SP",2010,0.322444,1,19.4736,19.4736,359.4229,0.00035942
2010-02-11,"Chlorophyta","Monoraphidium","Monoraphidium arcuatum","SP",2010,0.788419,1,25.9648,25.9648,878.8295,0.00087883
2010-02-11,"Chlorophyta","Monoraphidium","Monoraphidium griffithii","SP",2010,0.680567,1,12.9824,12.9824,758.6096,0.00075861
2010-02-11,"Chlorophyta","Oocystis","Oocystis parva","SP",2010,0.137215,1,6.4912,6.4912,152.9453,0.00015295
2010-02-11,"Chlorophyta","Scenedesmus","Scenedesmus bijuga","SP",2010,0.137215,2,6.4912,12.9824,152.9453,0.00015295
2010-02-11,"Chlorophyta","Tetraedron","Tetraedron minimum","SP",2010,0.039312,1,6.4912,6.4912,43.8157,4.38e-05
2010-02-11,"Chrysophyta","","Chrysophyceae","SP",2010,3.4415,1,584.209,584.209,3836.1498,0.00383615
2010-02-11,"Chrysophyta","","Chrysophyceae","SP",2010,1.230871,1,12.9824,12.9824,1372.0239,0.00137202
2010-02-11,"Chrysophyta","Kephyrion","Kephyrion planctonicum","SP",2010,0.109772,1,6.4912,6.4912,122.3567,0.00012236
2010-02-11,"Cryptophyta","Cryptomonas","Cryptomonas erosa","SP",2010,26.893367,1,19.4736,19.4736,29977.3281,0.02997733
2010-02-11,"Cryptophyta","Cryptomonas","Cryptomonas lucens","SP",2010,0.548842,1,6.4912,6.4912,611.7823,0.00061178
2010-02-11,"Cryptophyta","Rhodomonas","Rhodomonas minuta","SP",2010,4.488327,1,149.2978,149.2978,5003.0157,0.00500302
2010-02-11,"Cryptophyta","Rhodomonas","Rhodomonas minuta","SP",2010,4.939598,1,58.4209,58.4209,5506.041,0.00550604
2010-02-11,"Cyanophyta","Aphanizomenon","Aphanizomenon flos-aquae","SP",2010,0.878149,2,6.4912,12.9824,978.8512,0.00097885
2010-02-11,"Cyanophyta","Aphanocapsa","Aphanocapsa delicatissima","SP",2010,1.720943,6.8,538.7705,3663.6394,1918.2924,0.00191829
2010-02-11,"Cyanophyta","Aphanothece","Aphanothece nidulans","SP",2010,0.060986,10,6.4912,64.9121,67.976,6.8e-05
2010-02-11,"Cyanophyta","Chroococcus","Chroococcus minimus","SP",2010,0.341499,14,6.4912,90.877,380.6647,0.00038066
2010-02-11,"Cyanophyta","Dactylococcopsis","Dactylococcopsis irregularis","SP",2010,0.079422,1,38.9473,38.9473,88.5271,8.85e-05
2010-02-11,"Cyanophyta","Merismopedia","Merismopedia warmingiana","SP",2010,0.009151,12,6.4912,77.8945,10.1964,1.02e-05
2010-02-11,"Cyanophyta","Pseudanabaena","Pseudanabaena acicularis","SP",2010,1.201311,58.2857,3.5267,205.5548,1339.0677,0.00133907
2010-02-11,"Cyanophyta","Pseudanabaena","Pseudanabaena limnetica","SP",2010,0.320614,140,0.3919,54.8594,357.3765,0.00035738
2010-02-11,"Cyanophyta","Synechococcus","Synechococcus elongatus","SP",2010,0.009151,1,19.4736,19.4736,10.1964,1.02e-05
2010-02-11,"Cyanophyta","Synechocystis","Synechocystis ","SP",2010,2.058109,1,1298.2422,1298.2422,2294.1237,0.00229412
2010-02-11,"Haptophyta","Chrysochromulina","Chrysochromulina parva","SP",2010,0.88059,1,32.4561,32.4561,981.5717,0.00098157
2010-02-11,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 2","SP",2010,3.512606,1,6.4912,6.4912,3915.4062,0.00391541
2010-02-11,"Total","Total","Total","SP",2010,100.000022,267.0857,3067.77,6676.3269,111467.3745,0.1114674
2010-02-11,"Bacillariophyta","Achnanthidium","Achnanthidium minutissima",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Bacillariophyta","Asterionella","Asterionella formosa",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Bacillariophyta","Fragilaria","Fragilaria tenera",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Bacillariophyta","Nitzschia","Nitzschia gracilis",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Bacillariophyta","Synedra","Synedra ulna",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Bacillariophyta","Tabellaria","Tabellaria flocculosa",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chlorophyta","Mucidosphaerium","Mucidosphaerium pulchellum",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chlorophyta","Nannochloris","Nannochloris atomus",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chlorophyta","Pyramichlamys","Pyramichlamys dissecta",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chlorophyta","Schroederia","Schroederia judayi",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chlorophyta","Tetraedron","Tetraedron regulare",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chrysophyta","Chrysolykos","Chrysolykos skujai",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chrysophyta","Dinobryon","Dinobryon ",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chrysophyta","Dinobryon","Dinobryon cylindricum",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chrysophyta","Dinobryon","Dinobryon cyst",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chrysophyta","Dinobryon","Dinobryon divergens",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chrysophyta","Dinobryon","Dinobryon sociale",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chrysophyta","Mallomonas","Mallomonas ",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chrysophyta","Ochromonas","Ochromonas ",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chrysophyta","Synura","Synura ",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Cryptophyta","Cryptomonas","Cryptomonas pyrenoidifera",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Cyanophyta","Jaaginema","Jaaginema angustissimum",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Euglenophyta","Lepocinclis","Lepocinclis ",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Pyrrhophyta","","Pyrrhophyta",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 1",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Pyrrhophyta","Peridinium","Peridinium ",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Bacillariophyta","Fragilaria","Fragilaria delicatissima",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chlorophyta","Quadrigula","Quadrigula lacustris",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chrysophyta","Epipyxis","Epipyxis epiphyticus",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Chrysophyta","Uroglena","Uroglena ",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Pyrrhophyta","Gymnodinium","Gymnodinium helveticum",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Pyrrhophyta","Peridinium","Peridinium umbonatum",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Bacillariophyta","Cyclotella","Cyclotella ocellata",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Bacillariophyta","Cyclotella","Cyclotella pseudostelligera",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Bacillariophyta","Cyclotella","Cyclotella sp. 1",NA,NA,0,NA,NA,0,0,0
2010-02-11,"Bacillariophyta","Epithemia","Epithemia turgida",NA,NA,0,NA,NA,0,0,0
