lakeid,sampledate,species_code,species_name,density,individuals_measured,avg_length
SP,6/4/81,10000,COPEPOD NAUPLII,28.07,,
SP,6/4/81,20000,CYCLOPOID,10.59,,
SP,6/4/81,20302,DIACYCLOPS THOMASI,4.01,,
SP,6/4/81,30000,CALANOID,5.22,,
SP,6/4/81,30402,LEPTODIAPTOMUS MINUTUS,0.14,,
SP,6/4/81,30801,SKISTODIAPTOMUS OREGONENSIS,0.62,,
SP,6/4/81,51103,DAPHNIA MENDOTAE,0.54,,
SP,6/4/81,51104,DAPHNIA LONGIREMIS,0.72,,
SP,6/4/81,51130,DAPHNIA PULICARIA,0.23,,
SP,6/4/81,51800,HOLOPEDIUM,0.4,,
SP,6/4/81,60300,ASPLANCHNA,2.58,,
SP,6/4/81,60902,CONOCHILUS UNICORNIS,40.32,,
SP,6/4/81,61400,FILINIA,6.29,,
SP,6/4/81,61701,KELLICOTTIA BOSTONIENSIS,1.56,,
SP,6/4/81,61702,KELLICOTTIA LONGISPINA,46.81,,
SP,6/4/81,61801,KERATELLA COCHLEARIS,110.03,,
SP,6/4/81,61805,KERATELLA HIEMALIS,1.15,,
SP,6/4/81,61806,KERATELLA QUADRATA,9.22,,
SP,6/4/81,61900,LECANE,1.46,,
SP,6/4/81,61904,LECANE INERMIS,0.14,,
SP,6/4/81,63001,POLYARTHRA DOLICHOPTERA,4.62,,
SP,6/4/81,63005,POLYARTHRA VULGARIS,38.8,,
SP,6/4/81,69934,,1.49,,
SP,6/30/81,10000,COPEPOD NAUPLII,1.86,,
SP,6/30/81,20000,CYCLOPOID,1.81,,
SP,6/30/81,30000,CALANOID,0.85,,
SP,6/30/81,50000,CLADOCERAN,0.58,,
SP,6/30/81,51100,DAPHNIA,0.39,,
SP,6/30/81,51103,DAPHNIA MENDOTAE,0.39,,
SP,6/30/81,51108,DAPHNIA DENTIFERA,0.39,,
SP,6/30/81,51801,HOLOPEDIUM GIBBERUM,0.39,,
SP,6/30/81,61702,KELLICOTTIA LONGISPINA,0.54,,
SP,6/30/81,61801,KERATELLA COCHLEARIS,5.36,,
SP,6/30/81,61803,KERATELLA CRASSA,1.03,,
SP,6/30/81,61806,KERATELLA QUADRATA,0.39,,
SP,6/30/81,61808,KERATELLA TAUROCEPHALA,0.39,,
SP,6/30/81,61900,LECANE,0.39,,
SP,6/30/81,63000,POLYARTHRA,0.97,,
SP,6/30/81,63400,SYNCHAETA,0.68,,
SP,6/30/81,69901,,12.86,,
SP,6/30/81,69902,,0.65,,
SP,6/30/81,70038,,0.39,,
SP,7/16/81,10000,COPEPOD NAUPLII,0.85,,
SP,7/16/81,20000,CYCLOPOID,1.26,,
SP,7/16/81,30000,CALANOID,0.52,,
SP,7/16/81,50000,CLADOCERAN,0.78,,
SP,7/16/81,50700,BOSMINIDAE,0.39,,
SP,7/16/81,51104,DAPHNIA LONGIREMIS,0.39,,
SP,7/16/81,51108,DAPHNIA DENTIFERA,0.39,,
SP,7/16/81,51130,DAPHNIA PULICARIA,0.39,,
SP,7/16/81,51200,DIAPHANOSOMA,0.39,,
SP,7/16/81,61400,FILINIA,0.39,,
SP,7/16/81,61702,KELLICOTTIA LONGISPINA,0.62,,
SP,7/16/81,61801,KERATELLA COCHLEARIS,1.78,,
SP,7/16/81,61808,KERATELLA TAUROCEPHALA,0.39,,
SP,7/16/81,63000,POLYARTHRA,1.86,,
SP,7/16/81,63400,SYNCHAETA,0.78,,
SP,7/16/81,69901,,4.26,,
SP,7/16/81,69902,,1.47,,
SP,7/16/81,70051,,0.39,,
SP,7/27/81,10000,COPEPOD NAUPLII,1,,
SP,7/27/81,20000,CYCLOPOID,0.73,,
SP,7/27/81,30000,CALANOID,0.56,,
SP,7/27/81,50700,BOSMINIDAE,0.84,,
SP,7/27/81,51103,DAPHNIA MENDOTAE,0.42,,
SP,7/27/81,51200,DIAPHANOSOMA,0.84,,
SP,7/27/81,60700,COLURELLA,0.42,,
SP,7/27/81,61702,KELLICOTTIA LONGISPINA,0.94,,
SP,7/27/81,61801,KERATELLA COCHLEARIS,1.46,,
SP,7/27/81,61803,KERATELLA CRASSA,1.26,,
SP,7/27/81,61900,LECANE,0.42,,
SP,7/27/81,63000,POLYARTHRA,2.18,,
SP,7/27/81,63400,SYNCHAETA,0.42,,
SP,7/27/81,69901,,1.05,,
SP,7/27/81,70039,,0.42,,
SP,7/27/81,70065,,0.56,,
SP,8/11/81,10000,COPEPOD NAUPLII,2.07,,
SP,8/11/81,20000,CYCLOPOID,1.16,,
SP,8/11/81,30000,CALANOID,0.21,,
SP,8/11/81,50700,BOSMINIDAE,4.76,,
SP,8/11/81,51000,CHYDORUS,0.29,,
SP,8/11/81,51100,DAPHNIA,0.09,,
SP,8/11/81,51103,DAPHNIA MENDOTAE,0.09,,
SP,8/11/81,51107,DAPHNIA RETROCURVA,0.09,,
SP,8/11/81,51200,DIAPHANOSOMA,1.29,,
SP,8/11/81,60800,CONOCHILOIDES,0.09,,
SP,8/11/81,61500,GASTROPUS,0.95,,
SP,8/11/81,61702,KELLICOTTIA LONGISPINA,1.45,,
SP,8/11/81,61801,KERATELLA COCHLEARIS,0.44,,
SP,8/11/81,61803,KERATELLA CRASSA,1.26,,
SP,8/11/81,61806,KERATELLA QUADRATA,0.09,,
SP,8/11/81,61900,LECANE,0.21,,
SP,8/11/81,62700,NOTOMMATA,0.09,,
SP,8/11/81,62900,PLOESOMA,0.7,,
SP,8/11/81,63000,POLYARTHRA,0.22,,
SP,8/11/81,63003,POLYARTHRA MAJOR,0.56,,
SP,8/11/81,63400,SYNCHAETA,0.23,,
SP,8/11/81,63600,TRICHOCERCA,0.09,,
SP,8/11/81,63616,TRICHOCERCA ROUSSELETI,0.2,,
SP,8/11/81,69901,,0.14,,
