lakeid,year4,sampledate,division,taxa_name,relative_total_biovolume,genus,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc
SP,2010,2/11/10,Bacillariophyta,Fragilaria filiformis,2.143022,Fragilaria,1,6.4912,6.4912,2388.7656,0.00238877
SP,2010,2/11/10,Bacillariophyta,Urosolenia longiseta,26.344516,Urosolenia,1,38.9473,38.9473,29365.5444,0.02936554
SP,2010,2/11/10,Chlorophyta,Chlorococcaceae,0.262229,,1,38.9473,38.9473,292.2953,0.0002923
SP,2010,2/11/10,Chlorophyta,Chlamydomonas ,16.115361,Chlamydomonas,1,97.3682,97.3682,17963.3743,0.01796337
SP,2010,2/11/10,Chlorophyta,Monomastix astigmata,0.304914,Monomastix,1,6.4912,6.4912,339.8791,0.00033988
SP,2010,2/11/10,Chlorophyta,Monomastix minuta,0.322444,Monomastix,1,19.4736,19.4736,359.4229,0.00035942
SP,2010,2/11/10,Chlorophyta,Monoraphidium arcuatum,0.788419,Monoraphidium,1,25.9648,25.9648,878.8295,0.00087883
SP,2010,2/11/10,Chlorophyta,Monoraphidium griffithii,0.680567,Monoraphidium,1,12.9824,12.9824,758.6096,0.00075861
SP,2010,2/11/10,Chlorophyta,Oocystis parva,0.137215,Oocystis,1,6.4912,6.4912,152.9453,0.00015295
SP,2010,2/11/10,Chlorophyta,Scenedesmus bijuga,0.137215,Scenedesmus,2,6.4912,12.9824,152.9453,0.00015295
SP,2010,2/11/10,Chlorophyta,Tetraedron minimum,0.039312,Tetraedron,1,6.4912,6.4912,43.8157,4.38E-05
SP,2010,2/11/10,Chrysophyta,Chrysophyceae,3.4415,,1,584.209,584.209,3836.1498,0.00383615
SP,2010,2/11/10,Chrysophyta,Chrysophyceae,1.230871,,1,12.9824,12.9824,1372.0239,0.00137202
SP,2010,2/11/10,Chrysophyta,Kephyrion planctonicum,0.109772,Kephyrion,1,6.4912,6.4912,122.3567,0.00012236
SP,2010,2/11/10,Cryptophyta,Cryptomonas erosa,26.893367,Cryptomonas,1,19.4736,19.4736,29977.3281,0.02997733
SP,2010,2/11/10,Cryptophyta,Cryptomonas lucens,0.548842,Cryptomonas,1,6.4912,6.4912,611.7823,0.00061178
SP,2010,2/11/10,Cryptophyta,Rhodomonas minuta,4.488327,Rhodomonas,1,149.2978,149.2978,5003.0157,0.00500302
