"lakeid","year4","sampledate","division","taxa_name","relative_total_biovolume","genus","cells_per_nu","nu_per_ml","cells_per_ml","biovolume_conc","biomass_conc","Season"
"SP",2010,2010-02-11,"Total","Total",100.000022,"Total",267.0857,3067.77,6676.3269,111467.3745,0.1114674,0
"SP",2010,2010-04-12,"Total","Total",100.000002,"Total",249.1,8170.9355,11576.0948,1358898.748,1.3588988,1
"SP",2010,2010-06-08,"Total","Total",100.000002,"Total",82.6111,2429.1577,5901.6659,324142.0228,0.32414204,1
"SP",2010,2010-07-06,"Total","Total",100.000003,"Total",309.1253,2976.0654,17017.5774,458858.2479,0.45885826,1
"SP",2010,2010-08-03,"Total","Total",100.000001,"Total",86.35,1764.6589,15951.0053,257408.4966,0.2574085,1
"SP",2010,2010-11-11,"Total","Total",99.999993,"Total",37.3333,1169.8323,1268.7863,425224.0032,0.42522399,1
"SP",2011,2011-02-14,"Total","Total",100.000005,"Total",98,5240.8986,5501.9904,44576.8978,0.0445769,0
"SP",2011,2011-05-03,"Total","Total",100.000006,"Total",78.5,4092.7546,4318.801,499759.1397,0.49975916,1
"SP",2011,2011-06-03,"Total","Total",100.000009,"Total",147.1774,2547.7404,3592.8882,883048.1494,0.88304819,1
"SP",2011,2011-07-26,"Total","Total",99.999997,"Total",70.3355,1756.6683,2795.745,382130.0266,0.38213001,1
"SP",2011,2011-08-22,"Total","Total",99.999998,"Total",312.322,2739.0394,13577.4121,897004.4213,0.89700439,1
"SP",2011,2011-11-15,"Total","Total",99.999997,"Total",100.2523,2298.7569,2824.5006,274511.9437,0.27451193,1
"SP",2012,2012-02-21,"Total","Total",100.000002,"Total",86,4365.4916,7675.9962,55638.3766,0.05563836,0
"SP",2012,2012-04-02,"Total","Total",99.999999,"Total",125.0541,3889.097,4880.0837,241664.8825,0.24166488,1
"SP",2012,2012-06-27,"Total","Total",100.000004,"Total",165.0032,2829.7478,27562.6203,522923.8661,0.52292388,1
"SP",2012,2012-07-25,"Total","Total",100.000004,"Total",186.3065,5454.6276,7487.1918,716890.4938,0.71689047,1
"SP",2012,2012-08-23,"Total","Total",99.999999,"Total",270.4534,2906.2794,6068.1317,205914.9749,0.20591497,1
"SP",2012,2012-11-12,"Total","Total",100.000002,"Total",103.1833,3910.0698,4745.1825,789529.6467,0.78952965,1
"SP",2013,2013-02-25,"Total","Total",100,"Total",45.5,3112.5225,3427.3595,177611.5406,0.17761154,0
"SP",2013,2013-05-16,"Total","Total",100.000011,"Total",25,3494.95,3504.9531,241242.3545,0.24124238,1
"SP",2013,2013-07-08,"Total","Total",100,"Total",78.8629,7049.9854,7829.5848,942137.4221,0.94213744,1
"SP",2013,2013-08-05,"Total","Total",100.000001,"Total",236.3667,7310.4688,12105.1174,781307.6758,0.78130767,1
"SP",2013,2013-11-13,"Total","Total",99.999987,"Total",84.5135,4651.9673,4868.2997,127313.3273,0.12731331,1
"SP",2014,2014-02-17,"Total","Total",99.999992,"Total",121.2667,7132.632,9669.4517,71062.8057,0.0710628,0
"SP",2014,2014-05-19,"Total","Total",100,"Total",81.9167,7446.8153,8000.8465,763067.3469,0.76306735,1
"SP",2014,2014-06-17,"Total","Total",99.999998,"Total",154.0666,10998.4227,16452.1242,1060337.327,1.06033733,1
"SP",2014,2014-07-14,"Total","Total",98.392144,"Total",269.2666,9509.276,18880.4832,875985.7336,0.87598574,1
"SP",2014,2014-08-12,"Total","Total",99.999999,"Total",245.3522,6912.015,12513.4856,378873.2744,0.37887327,1
"SP",2014,2014-11-10,"Total","Total",100.000004,"Total",174.7,4358.6017,4949.8284,234291.5732,0.23429159,1
"SP",2015,2015-02-24,"Total","Total",99.999994,"Total",70.027,7673.6413,9696.9802,63950.3552,0.06395035,0
"SP",2015,2015-04-23,"Total","Total",99.999992,"Total",153,7451.3292,7945.4117,582409.2471,0.5824092,1
"SP",2015,2015-06-17,"Total","Total",99.999996,"Total",165.9394,4094.7145,6422.1263,470425.2049,0.47042519,1
"SP",2015,2015-07-15,"Total","Total",100.000003,"Total",191.8017,5107.3468,33488.8161,266780.5956,0.26678061,1
"SP",2015,2015-08-11,"Total","Total",100.000003,"Total",198.6334,6046.5025,17186.8517,614250.9223,0.61425094,1
"SP",2015,2015-11-17,"Total","Total",100.000002,"Total",281.0203,2588.2304,3712.2848,242515.8099,0.24251581,1
