"sampledate","division","genus","taxa_name","lakeid","year4","relative_total_biovolume","cells_per_nu","nu_per_ml","cells_per_ml","biovolume_conc","biomass_conc"
2010-02-22,"NA","Rhodospirillum","Rhodospirillum rubrum","TB",2010,1.111818,1,1317.7158,1317.7158,1345.3878,0.00134539
2010-02-22,"Chlorophyta","Chlamydomonas","Chlamydomonas ","TB",2010,1.258313,1,15.1462,15.1462,1522.6585,0.00152266
2010-02-22,"Cryptophyta","Cryptomonas","Cryptomonas erosa","TB",2010,20.971848,1,7.5731,7.5731,25377.6325,0.02537763
2010-02-22,"Cyanophyta","Aphanocapsa","Aphanocapsa delicatissima","TB",2010,0.045873,14,7.5731,106.0231,55.5137,5.55e-05
2010-02-22,"Cyanophyta","Synechococcus","Synechococcus ","TB",2010,0.036047,1,45.4385,45.4385,43.6164,4.36e-05
2010-02-22,"Euglenophyta","Euglena","Euglena ","TB",2010,75.593043,1,454.3848,454.3848,91473.6948,0.09147369
2010-02-22,"Miscellaneous","Miscellaneous","Miscellaneous","TB",2010,0.983058,1,15.1462,15.1462,1189.5763,0.00118958
2010-02-22,"Total","Total","Total","TB",2010,100,20,1862.9777,1961.4277,121008.08,0.12100808
2010-02-22,"Bacillariophyta","Asterionella","Asterionella formosa",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","NA","Chlorophyta",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","NA","Chlorococcaceae",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","NA","Chrysophyceae",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Cryptophyta","Rhodomonas","Rhodomonas minuta",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Cyanophyta","Synechocystis","Synechocystis ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Pyrrhophyta","Peridinium","Peridinium ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Coelastrum","Coelastrum ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Monomastix","Monomastix minuta",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Oocystis","Oocystis parva",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Schroederia","Schroederia judayi",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 2",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 3",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Bacillariophyta","Lindavia","Lindavia intermedia",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Sphaerocystis","Sphaerocystis schroeteri",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","Dinobryon","Dinobryon cylindricum",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Monoraphidium","Monoraphidium griffithii",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","Kephyrion","Kephyrion ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Haptophyta","Chrysochromulina","Chrysochromulina parva",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Bacillariophyta","Tabellaria","Tabellaria flocculosa",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","Kephyrion","Kephyrion planctonicum",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Cyanophyta","Aphanizomenon","Aphanizomenon ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Cyanophyta","Aphanothece","Aphanothece saxicola",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Bacillariophyta","Tabellaria","Tabellaria binalis",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Oedogonium","Oedogonium ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Cyanophyta","Phormidium","Phormidium ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Bacillariophyta","Actinella","Actinella punctata",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Gloeococcus","Gloeococcus minor",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","Mallomonas","Mallomonas ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Cyanophyta","Aphanothece","Aphanothece nidulans",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Cyanophyta","Planktothrix","Planktothrix agardhii",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Scenedesmus","Scenedesmus bijuga",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Euglenophyta","Euglena","Euglena acus",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","","Chlorococcaceae",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Mougeotia","Mougeotia ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Stichococcus","Stichococcus bacillaris",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","Dinobryon","Dinobryon cyst",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","","Chlorophyta",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Mucidosphaerium","Mucidosphaerium pulchellum",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","Gonyostomum","Gonyostomum semen",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Spinocosmarium","Spinocosmarium ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Cyanophyta","Synechococcus","Synechococcus elongatus",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Bacillariophyta","Cyclotella","Cyclotella sp. 1",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Bacillariophyta","Stephanodiscus","Stephanodiscus parvus",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Bacillariophyta","Cyclotella","Cyclotella ocellata",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Botryococcus","Botryococcus braunii",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","Uroglena","Uroglena ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Pyrrhophyta","Peridinium","Peridinium inconspicuum",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Pyrrhophyta","Gymnodinium","Gymnodinium sp. 1",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Pyrrhophyta","Peridinium","Peridinium umbonatum",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Euglenophyta","Lepocinclis","Lepocinclis ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Monoraphidium","Monoraphidium arcuatum",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","Dinobryon","Dinobryon ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","Dinobryon","Dinobryon sociale",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Euglenophyta","Trachelomonas","Trachelomonas ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Bacillariophyta","Fragilaria","Fragilaria filiformis",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Cosmarium","Cosmarium ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Monomastix","Monomastix astigmata",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Oocystis","Oocystis pusilla",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Staurastrum","Staurastrum ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Staurastrum","Staurastrum hexacerum",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Teilingia","Teilingia granulata",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","Dinobryon","Dinobryon crenulatum",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","Mallomonas","Mallomonas akrokomas",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chrysophyta","Stichogloea","Stichogloea olivacea",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Pyrrhophyta","Peridinium","Peridinium cinctum",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Cyanophyta","Pseudanabaena","Pseudanabaena limnetica",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Microspora","Microspora ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Bacillariophyta","Eunotia","Eunotia ",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Cyanophyta","Aphanizomenon","Aphanizomenon flos-aquae",NA,NA,0,NA,NA,NA,0,NA
2010-02-22,"Chlorophyta","Colonial","Colonial ",NA,NA,0,NA,NA,NA,0,NA
