"sampledate","taxa_name","genus","division","biovolume_conc"
2010-02-22,"Chlamydomonas ","Chlamydomonas","Chlorophyta",1522.6585
2010-02-22,"Chlamydomonas ","Chlamydomonas","Cryptophyta",0
2010-02-22,"Chlamydomonas ","Chlamydomonas","Cyanophyta",0
2010-02-22,"Chlamydomonas ","Chlamydomonas","Euglenophyta",0
2010-02-22,"Chlamydomonas ","Chlamydomonas","Miscellaneous",0
2010-02-22,"Chlamydomonas ","Chlamydomonas","NA",0
2010-02-22,"Chlamydomonas ","Chlamydomonas","Total",0
2010-02-22,"Chlamydomonas ","Chlamydomonas","Bacillariophyta",0
2010-02-22,"Chlamydomonas ","Chlamydomonas","Chrysophyta",0
2010-02-22,"Chlamydomonas ","Chlamydomonas","Pyrrhophyta",0
2010-02-22,"Chlamydomonas ","Chlamydomonas","Haptophyta",0
2010-02-22,"Cryptomonas erosa","Cryptomonas","Chlorophyta",0
2010-02-22,"Cryptomonas erosa","Cryptomonas","Cryptophyta",25377.6325
2010-02-22,"Cryptomonas erosa","Cryptomonas","Cyanophyta",0
2010-02-22,"Cryptomonas erosa","Cryptomonas","Euglenophyta",0
2010-02-22,"Cryptomonas erosa","Cryptomonas","Miscellaneous",0
2010-02-22,"Cryptomonas erosa","Cryptomonas","NA",0
2010-02-22,"Cryptomonas erosa","Cryptomonas","Total",0
2010-02-22,"Cryptomonas erosa","Cryptomonas","Bacillariophyta",0
2010-02-22,"Cryptomonas erosa","Cryptomonas","Chrysophyta",0
2010-02-22,"Cryptomonas erosa","Cryptomonas","Pyrrhophyta",0
2010-02-22,"Cryptomonas erosa","Cryptomonas","Haptophyta",0
2010-02-22,"Aphanocapsa delicatissima","Aphanocapsa","Chlorophyta",0
2010-02-22,"Aphanocapsa delicatissima","Aphanocapsa","Cryptophyta",0
2010-02-22,"Aphanocapsa delicatissima","Aphanocapsa","Cyanophyta",55.5137
2010-02-22,"Aphanocapsa delicatissima","Aphanocapsa","Euglenophyta",0
2010-02-22,"Aphanocapsa delicatissima","Aphanocapsa","Miscellaneous",0
2010-02-22,"Aphanocapsa delicatissima","Aphanocapsa","NA",0
2010-02-22,"Aphanocapsa delicatissima","Aphanocapsa","Total",0
2010-02-22,"Aphanocapsa delicatissima","Aphanocapsa","Bacillariophyta",0
