"lakeid","year4","sampledate","taxa_name","relative_total_biovolume","genus","cells_per_nu","nu_per_ml","cells_per_ml","biomass_conc","division","biovolume_conc"
"TB",2010,2010-02-22,"Rhodospirillum rubrum",1.111818,"Rhodospirillum",1,1317.7158,1317.7158,0.00134539,"NA",1345.3878
"TB",2010,2010-02-22,"Rhodospirillum rubrum",1.111818,"Rhodospirillum",1,1317.7158,1317.7158,0.00134539,"Chlorophyta",NA
"TB",2010,2010-02-22,"Rhodospirillum rubrum",1.111818,"Rhodospirillum",1,1317.7158,1317.7158,0.00134539,"Cryptophyta",NA
"TB",2010,2010-02-22,"Rhodospirillum rubrum",1.111818,"Rhodospirillum",1,1317.7158,1317.7158,0.00134539,"Cyanophyta",NA
"TB",2010,2010-02-22,"Rhodospirillum rubrum",1.111818,"Rhodospirillum",1,1317.7158,1317.7158,0.00134539,"Euglenophyta",NA
"TB",2010,2010-02-22,"Rhodospirillum rubrum",1.111818,"Rhodospirillum",1,1317.7158,1317.7158,0.00134539,"Miscellaneous",NA
"TB",2010,2010-02-22,"Rhodospirillum rubrum",1.111818,"Rhodospirillum",1,1317.7158,1317.7158,0.00134539,"Total",NA
"TB",2010,2010-02-22,"Rhodospirillum rubrum",1.111818,"Rhodospirillum",1,1317.7158,1317.7158,0.00134539,"Bacillariophyta",NA
"TB",2010,2010-02-22,"Rhodospirillum rubrum",1.111818,"Rhodospirillum",1,1317.7158,1317.7158,0.00134539,"Chrysophyta",NA
"TB",2010,2010-02-22,"Rhodospirillum rubrum",1.111818,"Rhodospirillum",1,1317.7158,1317.7158,0.00134539,"Pyrrhophyta",NA
"TB",2010,2010-02-22,"Rhodospirillum rubrum",1.111818,"Rhodospirillum",1,1317.7158,1317.7158,0.00134539,"Haptophyta",NA
"TB",2010,2010-02-22,"Chlamydomonas ",1.258313,"Chlamydomonas",1,15.1462,15.1462,0.00152266,"NA",NA
"TB",2010,2010-02-22,"Chlamydomonas ",1.258313,"Chlamydomonas",1,15.1462,15.1462,0.00152266,"Chlorophyta",1522.6585
"TB",2010,2010-02-22,"Chlamydomonas ",1.258313,"Chlamydomonas",1,15.1462,15.1462,0.00152266,"Cryptophyta",NA
"TB",2010,2010-02-22,"Chlamydomonas ",1.258313,"Chlamydomonas",1,15.1462,15.1462,0.00152266,"Cyanophyta",NA
"TB",2010,2010-02-22,"Chlamydomonas ",1.258313,"Chlamydomonas",1,15.1462,15.1462,0.00152266,"Euglenophyta",NA
"TB",2010,2010-02-22,"Chlamydomonas ",1.258313,"Chlamydomonas",1,15.1462,15.1462,0.00152266,"Miscellaneous",NA
"TB",2010,2010-02-22,"Chlamydomonas ",1.258313,"Chlamydomonas",1,15.1462,15.1462,0.00152266,"Total",NA
"TB",2010,2010-02-22,"Chlamydomonas ",1.258313,"Chlamydomonas",1,15.1462,15.1462,0.00152266,"Bacillariophyta",NA
"TB",2010,2010-02-22,"Chlamydomonas ",1.258313,"Chlamydomonas",1,15.1462,15.1462,0.00152266,"Chrysophyta",NA
"TB",2010,2010-02-22,"Chlamydomonas ",1.258313,"Chlamydomonas",1,15.1462,15.1462,0.00152266,"Pyrrhophyta",NA
"TB",2010,2010-02-22,"Chlamydomonas ",1.258313,"Chlamydomonas",1,15.1462,15.1462,0.00152266,"Haptophyta",NA
