sampledate,division,genus,taxa_name,biovolume_conc
2/22/10,Chlorophyta,Chlamydomonas,Chlamydomonas ,1522.6585
2/22/10,Chlorophyta,Chlamydomonas,Cryptomonas erosa,0
2/22/10,Chlorophyta,Chlamydomonas,Aphanocapsa delicatissima,0
2/22/10,Chlorophyta,Chlamydomonas,Synechococcus ,0
2/22/10,Chlorophyta,Chlamydomonas,Euglena ,0
2/22/10,Chlorophyta,Chlamydomonas,Miscellaneous,0
2/22/10,Chlorophyta,Chlamydomonas,Rhodospirillum rubrum,0
2/22/10,Chlorophyta,Chlamydomonas,Total,0
2/22/10,Chlorophyta,Chlamydomonas,Asterionella formosa,0
2/22/10,Chlorophyta,Chlamydomonas,Chlorococcaceae,0
2/22/10,Chlorophyta,Chlamydomonas,Chlorophyta,0
2/22/10,Chlorophyta,Chlamydomonas,Chrysophyceae,0
2/22/10,Chlorophyta,Chlamydomonas,Rhodomonas minuta,0
2/22/10,Chlorophyta,Chlamydomonas,Synechocystis ,0
2/22/10,Chlorophyta,Chlamydomonas,Peridinium ,0
2/22/10,Chlorophyta,Chlamydomonas,Coelastrum ,0
2/22/10,Chlorophyta,Chlamydomonas,Monomastix minuta,0
2/22/10,Chlorophyta,Chlamydomonas,Oocystis parva,0
2/22/10,Chlorophyta,Chlamydomonas,Schroederia judayi,0
2/22/10,Chlorophyta,Chlamydomonas,Gymnodinium sp. 2,0
2/22/10,Chlorophyta,Chlamydomonas,Gymnodinium sp. 3,0
2/22/10,Chlorophyta,Chlamydomonas,Lindavia intermedia,0
2/22/10,Chlorophyta,Chlamydomonas,Sphaerocystis schroeteri,0
2/22/10,Chlorophyta,Chlamydomonas,Dinobryon cylindricum,0
2/22/10,Chlorophyta,Chlamydomonas,Monoraphidium griffithii,0
2/22/10,Chlorophyta,Chlamydomonas,Kephyrion ,0
2/22/10,Chlorophyta,Chlamydomonas,Chrysochromulina parva,0
2/22/10,Chlorophyta,Chlamydomonas,Tabellaria flocculosa,0
2/22/10,Chlorophyta,Chlamydomonas,Kephyrion planctonicum,0
2/22/10,Chlorophyta,Chlamydomonas,Aphanizomenon ,0
2/22/10,Chlorophyta,Chlamydomonas,Aphanothece saxicola,0
2/22/10,Chlorophyta,Chlamydomonas,Tabellaria binalis,0
2/22/10,Chlorophyta,Chlamydomonas,Oedogonium ,0
2/22/10,Chlorophyta,Chlamydomonas,Phormidium ,0
2/22/10,Chlorophyta,Chlamydomonas,Actinella punctata,0
2/22/10,Chlorophyta,Chlamydomonas,Gloeococcus minor,0
2/22/10,Chlorophyta,Chlamydomonas,Mallomonas ,0
2/22/10,Chlorophyta,Chlamydomonas,Aphanothece nidulans,0
2/22/10,Chlorophyta,Chlamydomonas,Planktothrix agardhii,0
2/22/10,Chlorophyta,Chlamydomonas,Scenedesmus bijuga,0
2/22/10,Chlorophyta,Chlamydomonas,Euglena acus,0
2/22/10,Chlorophyta,Chlamydomonas,Mougeotia ,0
2/22/10,Chlorophyta,Chlamydomonas,Stichococcus bacillaris,0
2/22/10,Chlorophyta,Chlamydomonas,Dinobryon cyst,0
2/22/10,Chlorophyta,Chlamydomonas,Mucidosphaerium pulchellum,0
2/22/10,Chlorophyta,Chlamydomonas,Gonyostomum semen,0
2/22/10,Chlorophyta,Chlamydomonas,Spinocosmarium ,0
2/22/10,Chlorophyta,Chlamydomonas,Synechococcus elongatus,0
2/22/10,Chlorophyta,Chlamydomonas,Cyclotella sp. 1,0
2/22/10,Chlorophyta,Chlamydomonas,Stephanodiscus parvus,0
2/22/10,Chlorophyta,Chlamydomonas,Cyclotella ocellata,0
2/22/10,Chlorophyta,Chlamydomonas,Botryococcus braunii,0
2/22/10,Chlorophyta,Chlamydomonas,Uroglena ,0
2/22/10,Chlorophyta,Chlamydomonas,Peridinium inconspicuum,0
2/22/10,Chlorophyta,Chlamydomonas,Gymnodinium sp. 1,0
2/22/10,Chlorophyta,Chlamydomonas,Peridinium umbonatum,0
