"sampledate","Synechococcus elongatus","Cyclotella sp. 1","Stephanodiscus parvus","Botryococcus braunii","Cyclotella ocellata","Peridinium inconspicuum","Uroglena ","Gymnodinium sp. 1","Peridinium umbonatum","Lepocinclis ","Dinobryon ","Dinobryon sociale","Monoraphidium arcuatum","Trachelomonas ","Cosmarium ","Dinobryon crenulatum","Fragilaria filiformis","Mallomonas akrokomas","Monomastix astigmata","Oocystis pusilla","Peridinium cinctum","Staurastrum ","Staurastrum hexacerum","Stichogloea olivacea","Teilingia granulata","Pseudanabaena limnetica","Microspora ","Aphanizomenon flos-aquae","Eunotia ","Colonial ","Quadrigula lacustris","Aphanothece ","Chrysococcus minutus","Stephanodiscus medius","Glenodinium quadridens","Chrysocapsaceae","taxa_name","biovolume_conc"
2010-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aphanocapsa delicatissima",55.5137
2010-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chlamydomonas ",1522.6585
2010-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cryptomonas erosa",25377.6325
2010-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Euglena ",91473.6948
2010-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Miscellaneous",1189.5763
2010-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rhodospirillum rubrum",1345.3878
2010-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Synechococcus ",43.6164
2010-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Total",121008.08
2010-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asterionella formosa",0
2010-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chlorococcaceae",0
