"sampledate","species_code","density"
1982-03-03,"20901",0.9
1982-03-03,"50700",1.7
1982-03-03,"51000",0.9
1982-03-03,"60200",13.9
1982-03-03,"60201",2.6
1982-03-03,"61808",0.9
1982-03-03,"61810",0.9
1982-03-03,"10000",0
1982-03-03,"20000",0
1982-03-03,"60300",0
1982-03-03,"61918",0
1982-03-03,"62406",0
1982-03-03,"63400",0
1982-03-03,"51130",0
1982-03-03,"51801",0
1982-03-03,"61501",0
1982-03-03,"63005",0
1982-03-03,"63602",0
1982-03-03,"50900",0
1982-03-03,"61502",0
1982-03-03,"20302",0
1982-03-03,"62007",0
1982-03-03,"60800",0
1982-03-03,"60900",0
1982-03-03,"51105",0
1982-03-03,"61701",0
1982-03-03,"51103",0
1982-03-03,"61805",0
1982-03-03,"20101",0
1982-03-03,"20701",0
1982-03-03,"61402",0
1982-03-03,"61806",0
1982-03-03,"63600",0
1982-03-03,"51100",0
1982-03-03,"61702",0
1982-03-03,"63004",0
1982-03-03,"61801",0
1982-03-03,"62400",0
1982-03-03,"61900",0
1982-03-03,"63612",0
1982-03-03,"30000",0
1982-03-03,"30801",0
1982-03-03,"51202",0
1982-03-03,"20601",0
1982-03-03,"51200",0
1982-03-03,"60202",0
1982-03-03,"61500",0
1982-03-03,"80000",0
1982-03-03,"63000",0
1982-03-03,"80001",0
1982-03-03,"88888",0
1982-03-03,"61904",0
1982-03-03,"63603",0
1982-03-03,"61911",0
1982-03-03,"62201",0
1982-03-03,"61803",0
1982-03-03,"60400",0
1982-03-03,"62407",0
1982-03-03,"61800",0
1982-03-03,"60203",0
1982-03-03,"30201",0
1982-03-03,"51101",0
1982-03-03,"61919",0
1982-03-03,"62000",0
1982-03-03,"60500",0
1982-03-03,"62700",0
1982-03-03,"61804",0
1982-03-03,"61809",0
1982-03-03,"62001",0
1982-03-03,"61300",0
1982-03-03,"62902",0
1982-03-03,"63700",0
1982-03-03,"63003",0
1982-03-03,"50000",0
1982-03-03,"61200",0
1982-03-03,"53200",0
1982-03-03,"51800",0
1982-03-03,"62005",0
1982-03-03,"63616",0
1982-03-03,"62607",0
1982-05-12,"20901",1
1982-05-12,"50700",22.7
1982-05-12,"51000",1
1982-05-12,"60200",8.9
1982-05-12,"60201",0
1982-05-12,"61808",36.5
1982-05-12,"61810",1
1982-05-12,"10000",1
1982-05-12,"20000",1
1982-05-12,"60300",5.9
1982-05-12,"61918",1
1982-05-12,"62406",2
1982-05-12,"63400",4
1982-05-12,"51130",0
1982-05-12,"51801",0
1982-05-12,"61501",0
1982-05-12,"63005",0
1982-05-12,"63602",0
1982-05-12,"50900",0
1982-05-12,"61502",0
1982-05-12,"20302",0
1982-05-12,"62007",0
1982-05-12,"60800",0
1982-05-12,"60900",0
1982-05-12,"51105",0
1982-05-12,"61701",0
1982-05-12,"51103",0
1982-05-12,"61805",0
1982-05-12,"20101",0
1982-05-12,"20701",0
1982-05-12,"61402",0
1982-05-12,"61806",0
1982-05-12,"63600",0
1982-05-12,"51100",0
1982-05-12,"61702",0
1982-05-12,"63004",0
1982-05-12,"61801",0
1982-05-12,"62400",0
1982-05-12,"61900",0
1982-05-12,"63612",0
1982-05-12,"30000",0
1982-05-12,"30801",0
1982-05-12,"51202",0
1982-05-12,"20601",0
1982-05-12,"51200",0
1982-05-12,"60202",0
1982-05-12,"61500",0
1982-05-12,"80000",0
1982-05-12,"63000",0
1982-05-12,"80001",0
1982-05-12,"88888",0
1982-05-12,"61904",0
1982-05-12,"63603",0
1982-05-12,"61911",0
1982-05-12,"62201",0
1982-05-12,"61803",0
1982-05-12,"60400",0
1982-05-12,"62407",0
1982-05-12,"61800",0
1982-05-12,"60203",0
1982-05-12,"30201",0
1982-05-12,"51101",0
1982-05-12,"61919",0
1982-05-12,"62000",0
1982-05-12,"60500",0
1982-05-12,"62700",0
1982-05-12,"61804",0
1982-05-12,"61809",0
1982-05-12,"62001",0
1982-05-12,"61300",0
1982-05-12,"62902",0
1982-05-12,"63700",0
1982-05-12,"63003",0
1982-05-12,"50000",0
1982-05-12,"61200",0
1982-05-12,"53200",0
1982-05-12,"51800",0
1982-05-12,"62005",0
1982-05-12,"63616",0
1982-05-12,"62607",0
1982-06-07,"20901",187.4
1982-06-07,"50700",61.2
1982-06-07,"51000",0
1982-06-07,"60200",0
1982-06-07,"60201",11
1982-06-07,"61808",395.2
1982-06-07,"61810",0
1982-06-07,"10000",102
1982-06-07,"20000",0
1982-06-07,"60300",0
1982-06-07,"61918",0
1982-06-07,"62406",28.2
1982-06-07,"63400",4.7
1982-06-07,"51130",1.6
1982-06-07,"51801",2.4
1982-06-07,"61501",1.6
1982-06-07,"63005",3.1
1982-06-07,"63602",1.6
1982-06-07,"50900",0
1982-06-07,"61502",0
1982-06-07,"20302",0
1982-06-07,"62007",0
1982-06-07,"60800",0
1982-06-07,"60900",0
