"sampledate","species_name","density"
1982-03-03,"ASCOMORPHA",13.9
1982-03-03,"ASCOMORPHA ECAUDIS",2.6
1982-03-03,"BOSMINIDAE",1.7
1982-03-03,"CHYDORUS",0.9
1982-03-03,"KERATELLA TAUROCEPHALA",0.9
1982-03-03,"KERATELLA TICINENSIS",0.9
1982-03-03,"TROPOCYCLOPS PRASINUS MEXICANUS",0.9
1982-03-03,"ASPLANCHNA",0
1982-03-03,"COPEPOD NAUPLII",0
1982-03-03,"CYCLOPOID",0
1982-03-03,"LECANE TENUISETA",0
1982-03-03,"MONOSTYLA LUNARIS",0
1982-03-03,"SYNCHAETA",0
1982-03-03,"DAPHNIA PULICARIA",0
1982-03-03,"GASTROPUS HYPTOPUS",0
1982-03-03,"HOLOPEDIUM GIBBERUM",0
1982-03-03,"POLYARTHRA VULGARIS",0
1982-03-03,"TRICHOCERCA BIROSTRIS",0
1982-03-03,"CERIODAPHNIA",0
1982-03-03,"GASTROPUS STYLIFER",0
1982-03-03,"DIACYCLOPS THOMASI",0
1982-03-03,"LEPADELLA TRIPTERA",0
1982-03-03,"CONOCHILOIDES",0
1982-03-03,"CONOCHILUS",0
1982-03-03,"DAPHNIA PARVULA",0
1982-03-03,"KELLICOTTIA BOSTONIENSIS",0
1982-03-03,"DAPHNIA MENDOTAE",0
1982-03-03,"KERATELLA HIEMALIS",0
1982-03-03,"ACANTHOCYCLOPS VERNALIS",0
1982-03-03,"FILINIA TERMINALIS",0
1982-03-03,"KERATELLA QUADRATA",0
1982-03-03,"ORTHOCYCLOPS MODESTUS",0
1982-03-03,"TRICHOCERCA",0
1982-03-03,"DAPHNIA",0
1982-03-03,"KELLICOTTIA LONGISPINA",0
1982-03-03,"POLYARTHRA REMATA",0
1982-03-03,"KERATELLA COCHLEARIS",0
1982-03-03,"MONOSTYLA",0
1982-03-03,"LECANE",0
1982-03-03,"TRICHOCERCA MULTICRINIS",0
1982-03-03,"CALANOID",0
1982-03-03,"SKISTODIAPTOMUS OREGONENSIS",0
1982-03-03,"DIAPHANOSOMA BIRGEI",0
1982-03-03,"MESOCYCLOPS EDAX",0
1982-03-03,"DIAPHANOSOMA",0
1982-03-03,"ASCOMORPHA OVALIS",0
1982-03-03,"GASTROPUS",0
1982-03-03,"UNKNOWN",0
1982-03-03,"POLYARTHRA",0
1982-03-03,"UNKNOWN ROTIFER",0
1982-03-03,"LECANE INERMIS",0
1982-03-03,"TRICHOCERCA CYLINDRICA",0
1982-03-03,"LECANE MIRA",0
1982-03-03,"MANFREDIUM EUDACTYLOTUM",0
1982-03-03,"KERATELLA CRASSA",0
1982-03-03,"BRACHIONUS",0
1982-03-03,"MONOSTYLA OBTUSA",0
1982-03-03,"KERATELLA",0
1982-03-03,"ASCOMORPHA SALTANS",0
1982-03-03,"EPISCHURA LACUSTRIS",0
1982-03-03,"DAPHNIA AMBIGUA",0
1982-03-03,"LECANE TUDICOLA",0
1982-03-03,"LEPADELLA",0
1982-03-03,"CEPHALODELLA",0
1982-03-03,"NOTOMMATA",0
1982-03-03,"KERATELLA EARLINAE",0
1982-03-03,"KERATELLA TESTUDO",0
1982-03-03,"LEPADELLA ACUMINATA",0
1982-03-03,"EUCHLANIS",0
1982-03-03,"PLOESOMA LENTICULARE",0
1982-03-03,"TRICHOTRIA",0
1982-03-03,"POLYARTHRA MAJOR",0
1982-03-03,"CLADOCERAN",0
1982-03-03,"ENCENTRUM",0
1982-03-03,"SCAPHOLEBERIS",0
1982-03-03,"HOLOPEDIUM",0
1982-03-03,"LEPADELLA PATELLA",0
1982-03-03,"TRICHOCERCA ROUSSELETI",0
1982-03-03,"NOTHOLCA MICHIGANENSIS",0
1982-05-12,"ASCOMORPHA",8.9
1982-05-12,"ASCOMORPHA ECAUDIS",0
1982-05-12,"BOSMINIDAE",22.7
1982-05-12,"CHYDORUS",1
1982-05-12,"KERATELLA TAUROCEPHALA",36.5
1982-05-12,"KERATELLA TICINENSIS",1
1982-05-12,"TROPOCYCLOPS PRASINUS MEXICANUS",1
1982-05-12,"ASPLANCHNA",5.9
1982-05-12,"COPEPOD NAUPLII",1
1982-05-12,"CYCLOPOID",1
1982-05-12,"LECANE TENUISETA",1
1982-05-12,"MONOSTYLA LUNARIS",2
1982-05-12,"SYNCHAETA",4
1982-05-12,"DAPHNIA PULICARIA",0
1982-05-12,"GASTROPUS HYPTOPUS",0
1982-05-12,"HOLOPEDIUM GIBBERUM",0
1982-05-12,"POLYARTHRA VULGARIS",0
1982-05-12,"TRICHOCERCA BIROSTRIS",0
1982-05-12,"CERIODAPHNIA",0
1982-05-12,"GASTROPUS STYLIFER",0
1982-05-12,"DIACYCLOPS THOMASI",0
1982-05-12,"LEPADELLA TRIPTERA",0
1982-05-12,"CONOCHILOIDES",0
1982-05-12,"CONOCHILUS",0
1982-05-12,"DAPHNIA PARVULA",0
1982-05-12,"KELLICOTTIA BOSTONIENSIS",0
1982-05-12,"DAPHNIA MENDOTAE",0
1982-05-12,"KERATELLA HIEMALIS",0
1982-05-12,"ACANTHOCYCLOPS VERNALIS",0
1982-05-12,"FILINIA TERMINALIS",0
1982-05-12,"KERATELLA QUADRATA",0
1982-05-12,"ORTHOCYCLOPS MODESTUS",0
1982-05-12,"TRICHOCERCA",0
1982-05-12,"DAPHNIA",0
1982-05-12,"KELLICOTTIA LONGISPINA",0
1982-05-12,"POLYARTHRA REMATA",0
1982-05-12,"KERATELLA COCHLEARIS",0
1982-05-12,"MONOSTYLA",0
1982-05-12,"LECANE",0
