"lakeid","sampledate","depth","chlor"
"TB","1981-07-15",0,60.3
"TB","1981-07-29",0,27.7
"TB","1981-08-12",0,30.7
"TB","1981-08-27",0,21.4
"TB","1981-09-14",0,21.3
"TB","1981-09-26",0,10.2
"TB","1981-10-23",0,18.7
"TB","1982-01-27",0,7.3
"TB","1982-03-03",0,9.7
"TB","1982-04-06",0,1.2
"TB","1982-05-12",0,9.8
"TB","1982-05-24",0,4.6
"TB","1982-06-07",0,10.3
"TB","1982-06-21",0,5.5
"TB","1982-07-07",0,7.7
"TB","1982-07-22",0,2.8
"TB","1982-08-04",0,28.8
"TB","1982-08-19",0,13.2
"TB","1982-09-07",0,3.1
"TB","1982-09-20",0,32.6
"TB","1982-10-07",0,13.6
"TB","1982-10-18",0,25.7
"TB","1982-11-09",0,19.2
"TB","1982-11-30",0,39.1
"TB","1983-01-10",0,14.6
"TB","1983-02-22",0,3.5
"TB","1983-03-24",0,85.4
"TB","1983-05-09",0,4.8
"TB","1983-05-24",0,13.2
"TB","1983-06-09",0,6
"TB","1983-06-23",0,5.1
"TB","1983-07-05",0,3.1
"TB","1983-07-19",0,2
"TB","1983-08-03",0,1.7
"TB","1983-08-17",0,45.9
"TB","1983-09-08",0,29.6
"TB","1983-09-28",0,38.9
"TB","1983-10-19",0,40.6
"TB","1983-11-14",0,5.6
"TB","1984-01-03",0,7.8
"TB","1984-02-28",0,23.6
"TB","1984-04-04",0,51.3
"TB","1984-05-08",0,23.1
"TB","1984-05-22",0,10.1
"TB","1984-06-04",0,5.6
"TB","1984-06-19",0,2.4
"TB","1984-07-02",0,5.2
"TB","1984-07-17",0,24
"TB","1984-08-01",0,29
"TB","1984-08-15",0,1.4
"TB","1984-09-06",0,29.4
"TB","1984-09-27",0,46
"TB","1984-10-17",0,10.7
"TB","1984-11-08",0,8
"TB","1985-01-15",0,160.9
"TB","1985-01-15",0,174
"TB","1985-02-27",0,5.6
"TB","1985-03-25",0,38.7
"TB","1985-03-25",0,45.5
"TB","1985-04-10",0,36
"TB","1985-04-29",0,5.5
"TB","1985-04-29",0,4.7
"TB","1985-05-13",0,2.8
"TB","1985-05-31",0,18.3
"TB","1985-06-12",0,8.7
"TB","1985-06-27",0,4.7
"TB","1985-07-11",0,7.1
"TB","1985-07-24",0,15.9
"TB","1985-08-06",0,5.5
"TB","1985-08-21",0,12.4
"TB","1985-09-09",0,16.3
"TB","1985-10-01",0,13.4
"TB","1985-10-23",0,4.2
"TB","1985-11-12",0,13.3
"TB","1986-02-25",0,7.7
"TB","1986-03-31",0,12
"TB","1986-04-21",0,12.3
"TB","1986-05-06",0,8.5
"TB","1986-05-06",0,7.4
"TB","1986-05-21",0,2.8
"TB","1986-06-03",0,2.7
"TB","1986-06-16",0,12.1
"TB","1986-07-01",0,2.6
"TB","1986-07-15",0,58.3
"TB","1986-07-29",0,1.1
"TB","1986-08-13",0,2.8
"TB","1986-08-26",0,9.2
"TB","1986-09-08",0,11.1
"TB","1986-09-25",0,33.3
"TB","1986-10-06",0,9.9
"TB","1986-10-06",0,10.9
"TB","1986-10-23",0,5.2
"TB","1986-11-04",0,1.8
"TB","1987-01-15",0,2
"TB","1987-02-23",0,2.6
"TB","1987-03-20",0,1.6
"TB","1987-04-13",0,11.7
"TB","1987-04-30",0,5.1
"TB","1987-05-18",0,4.5
"TB","1987-06-03",0,0.8
"TB","1987-06-22",0,1.1
"TB","1987-07-01",0,16.3
"TB","1987-07-16",0,1
"TB","1987-07-28",0,27.3
"TB","1987-08-12",0,18.8
"TB","1987-08-24",0,9
"TB","1987-09-10",0,25.6
"TB","1987-09-24",0,10.3
"TB","1987-10-06",0,9.8
"TB","1987-10-19",0,5.7
"TB","1987-10-19",0,5.4
"TB","1987-11-02",0,12.4
"TB","1987-11-19",0,3.7
"TB","1988-01-14",0,3.1
"TB","1988-03-01",0,3.3
"TB","1988-03-23",0,192.3
"TB","1988-04-21",0,60.1
"TB","1988-04-21",0,59.9
"TB","1988-05-10",0,5.4
"TB","1988-05-10",0,5
"TB","1988-05-24",0,3.5
"TB","1988-06-06",0,6
"TB","1988-06-20",0,2.2
"TB","1988-07-04",0,2.7
"TB","1988-07-20",0,1.4
"TB","1988-08-03",0,1.6
"TB","1988-08-16",0,1.2
"TB","1988-08-31",0,1.4
"TB","1988-09-15",0,6.6
"TB","1988-09-28",0,12.9
"TB","1988-10-11",0,7.2
"TB","1988-10-25",0,8.3
"TB","1988-11-03",0,15.6
"TB","1989-01-17",0,2.6
"TB","1989-01-17",0,2.6
"TB","1989-03-06",0,0.4
"TB","1989-03-27",0,3.6
"TB","1989-05-03",0,7.6
"TB","1989-05-18",0,4
"TB","1989-05-18",0,3.8
"TB","1989-05-29",0,8.2
"TB","1989-06-14",0,25.1
"TB","1989-06-27",0,12.2
"TB","1989-07-13",0,20.6
"TB","1989-07-24",0,2.1
"TB","1989-08-08",0,18.5
"TB","1989-08-21",0,2.5
