lakeid,sampledate,depth,chlor.surf
TB,7/15/81,0,60.3
TB,7/29/81,0,27.7
TB,8/12/81,0,30.7
TB,8/27/81,0,21.4
TB,9/14/81,0,21.3
TB,9/26/81,0,10.2
TB,10/23/81,0,18.7
TB,1/27/82,0,7.3
TB,3/3/82,0,9.7
TB,4/6/82,0,1.2
TB,5/12/82,0,9.8
TB,5/24/82,0,4.6
TB,6/7/82,0,10.3
TB,6/21/82,0,5.5
TB,7/7/82,0,7.7
TB,7/22/82,0,2.8
TB,8/4/82,0,28.8
TB,8/19/82,0,13.2
TB,9/7/82,0,3.1
TB,9/20/82,0,32.6
TB,10/7/82,0,13.6
TB,10/18/82,0,25.7
TB,11/9/82,0,19.2
TB,11/30/82,0,39.1
TB,1/10/83,0,14.6
TB,2/22/83,0,3.5
TB,3/24/83,0,85.4
TB,5/9/83,0,4.8
TB,5/24/83,0,13.2
TB,6/9/83,0,6
TB,6/23/83,0,5.1
TB,7/5/83,0,3.1
TB,7/19/83,0,2
TB,8/3/83,0,1.7
TB,8/17/83,0,45.9
TB,9/8/83,0,29.6
TB,9/28/83,0,38.9
TB,10/19/83,0,40.6
TB,11/14/83,0,5.6
TB,1/3/84,0,7.8
TB,2/28/84,0,23.6
TB,4/4/84,0,51.3
TB,5/8/84,0,23.1
TB,5/22/84,0,10.1
TB,6/4/84,0,5.6
TB,6/19/84,0,2.4
TB,7/2/84,0,5.2
TB,7/17/84,0,24
TB,8/1/84,0,29
TB,8/15/84,0,1.4
TB,9/6/84,0,29.4
TB,9/27/84,0,46
TB,10/17/84,0,10.7
TB,11/8/84,0,8
TB,1/15/85,0,160.9
TB,2/27/85,0,5.6
TB,3/25/85,0,38.7
TB,4/10/85,0,36
TB,4/29/85,0,5.5
TB,5/13/85,0,2.8
TB,5/31/85,0,18.3
TB,6/12/85,0,8.7
TB,6/27/85,0,4.7
TB,7/11/85,0,7.1
TB,7/24/85,0,15.9
TB,8/6/85,0,5.5
TB,8/21/85,0,12.4
TB,9/9/85,0,16.3
TB,10/1/85,0,13.4
TB,10/23/85,0,4.2
TB,11/12/85,0,13.3
TB,2/25/86,0,7.7
TB,3/31/86,0,12
TB,4/21/86,0,12.3
TB,5/6/86,0,8.5
TB,5/21/86,0,2.8
TB,6/3/86,0,2.7
TB,6/16/86,0,12.1
TB,7/1/86,0,2.6
TB,7/15/86,0,58.3
TB,7/29/86,0,1.1
TB,8/13/86,0,2.8
TB,8/26/86,0,9.2
TB,9/8/86,0,11.1
TB,9/25/86,0,33.3
TB,10/6/86,0,9.9
TB,10/23/86,0,5.2
TB,11/4/86,0,1.8
TB,1/15/87,0,2
TB,2/23/87,0,2.6
TB,3/20/87,0,1.6
TB,4/13/87,0,11.7
TB,4/30/87,0,5.1
TB,5/18/87,0,4.5
TB,6/3/87,0,0.8
TB,6/22/87,0,1.1
TB,7/1/87,0,16.3
TB,7/16/87,0,1
TB,7/28/87,0,27.3
TB,8/12/87,0,18.8
TB,8/24/87,0,9
TB,9/10/87,0,25.6
TB,9/24/87,0,10.3
TB,10/6/87,0,9.8
TB,10/19/87,0,5.7
TB,11/2/87,0,12.4
TB,11/19/87,0,3.7
TB,1/14/88,0,3.1
TB,3/1/88,0,3.3
TB,3/23/88,0,192.3
TB,4/21/88,0,60.1
TB,5/10/88,0,5.4
TB,5/24/88,0,3.5
TB,6/6/88,0,6
TB,6/20/88,0,2.2
TB,7/4/88,0,2.7
TB,7/20/88,0,1.4
TB,8/3/88,0,1.6
TB,8/16/88,0,1.2
TB,8/31/88,0,1.4
TB,9/15/88,0,6.6
TB,9/28/88,0,12.9
