lakeid,year4,sampledate,division,taxa_name,relative_total_biovolume,genus,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc
TB,2010,2/22/10,NA,Rhodospirillum rubrum,1.111818,Rhodospirillum,1,1317.7158,1317.7158,1345.3878,0.00134539
TB,2010,2/22/10,Chlorophyta,Chlamydomonas ,1.258313,Chlamydomonas,1,15.1462,15.1462,1522.6585,0.00152266
TB,2010,2/22/10,Cryptophyta,Cryptomonas erosa,20.971848,Cryptomonas,1,7.5731,7.5731,25377.6325,0.02537763
TB,2010,2/22/10,Cyanophyta,Aphanocapsa delicatissima,0.045873,Aphanocapsa,14,7.5731,106.0231,55.5137,5.55E-05
TB,2010,2/22/10,Cyanophyta,Synechococcus ,0.036047,Synechococcus,1,45.4385,45.4385,43.6164,4.36E-05
TB,2010,2/22/10,Euglenophyta,Euglena ,75.593043,Euglena,1,454.3848,454.3848,91473.6948,0.09147369
TB,2010,2/22/10,Miscellaneous,Miscellaneous,0.983058,Miscellaneous,1,15.1462,15.1462,1189.5763,0.00118958
TB,2010,2/22/10,Total,Total,100,Total,20,1862.9777,1961.4277,121008.08,0.12100808
TB,2010,4/13/10,NA,Rhodospirillum rubrum,13.028204,Rhodospirillum,1,48164.7842,48164.7842,52961.9967,0.052962
TB,2010,4/13/10,Bacillariophyta,Asterionella formosa,0.3153,Asterionella,4,0.9143,3.6573,1281.7498,0.00128175
TB,2010,4/13/10,Chlorophyta,Chlorophyta,1.474835,NA,1,136.3154,136.3154,5995.466,0.00599547
TB,2010,4/13/10,Chlorophyta,Chlorococcaceae,6.390949,NA,1,136.3154,136.3154,25980.3572,0.02598036
TB,2010,4/13/10,Chlorophyta,Chlamydomonas ,45.450422,Chlamydomonas,1,545.2617,545.2617,184764.1653,0.18476417
TB,2010,4/13/10,Chrysophyta,Chrysophyceae,2.338769,,1,681.5771,681.5771,9507.5239,0.00950752
TB,2010,4/13/10,Cryptophyta,Rhodomonas minuta,1.123682,Rhodomonas,1,136.3154,136.3154,4567.9709,0.00456797
TB,2010,4/13/10,Cyanophyta,Synechococcus ,0.008779,Synechococcus,1,45.4385,45.4385,35.6874,3.57E-05
TB,2010,4/13/10,Cyanophyta,Synechocystis ,0.019751,Synechocystis,1,45.4385,45.4385,80.2943,8.03E-05
TB,2010,4/13/10,Euglenophyta,Euglena ,25.367141,Euglena,1,681.5771,681.5771,103122.0071,0.10312201
TB,2010,4/13/10,Miscellaneous,Miscellaneous,1.123684,Miscellaneous,1,90.877,90.877,4567.9754,0.00456798
TB,2010,4/13/10,Pyrrhophyta,Peridinium ,3.358488,Peridinium,1,1.8286,1.8286,13652.8602,0.01365286
TB,2010,4/13/10,Total,Total,100.000004,Total,15,50666.6432,50669.3862,406518.0542,0.40651807
TB,2010,6/10/10,NA,Rhodospirillum rubrum,0.671022,Rhodospirillum,1,5907.0018,5907.0018,6959.0389,0.00695904
TB,2010,6/10/10,Bacillariophyta,Asterionella formosa,17.175023,Asterionella,5.3333,151.4616,807.7901,178118.8246,0.17811882
TB,2010,6/10/10,Chlorophyta,Chlorococcaceae,0.012235,NA,1,30.2923,30.2923,126.8885,0.00012689
