sampledate,species_code,species_name,density,individuals_measured,avg_length
3/3/82,20901,TROPOCYCLOPS PRASINUS MEXICANUS,0.9,,
3/3/82,50700,BOSMINIDAE,1.7,,
3/3/82,51000,CHYDORUS,0.9,,
3/3/82,60200,ASCOMORPHA,13.9,,
3/3/82,60201,ASCOMORPHA ECAUDIS,2.6,,
3/3/82,61808,KERATELLA TAUROCEPHALA,0.9,,
3/3/82,61810,KERATELLA TICINENSIS,0.9,,
5/12/82,10000,COPEPOD NAUPLII,1,,
5/12/82,20000,CYCLOPOID,1,,
5/12/82,20901,TROPOCYCLOPS PRASINUS MEXICANUS,1,,
5/12/82,50700,BOSMINIDAE,22.7,,
5/12/82,51000,CHYDORUS,1,,
5/12/82,60200,ASCOMORPHA,8.9,,
5/12/82,60300,ASPLANCHNA,5.9,,
5/12/82,61808,KERATELLA TAUROCEPHALA,36.5,,
5/12/82,61810,KERATELLA TICINENSIS,1,,
5/12/82,61918,LECANE TENUISETA,1,,
5/12/82,62406,MONOSTYLA LUNARIS,2,,
5/12/82,63400,SYNCHAETA,4,,
6/7/82,10000,COPEPOD NAUPLII,102,,
6/7/82,20901,TROPOCYCLOPS PRASINUS MEXICANUS,187.4,,
6/7/82,50700,BOSMINIDAE,61.2,,
6/7/82,51130,DAPHNIA PULICARIA,1.6,,
6/7/82,51801,HOLOPEDIUM GIBBERUM,2.4,,
6/7/82,60201,ASCOMORPHA ECAUDIS,11,,
6/7/82,61501,GASTROPUS HYPTOPUS,1.6,,
6/7/82,61808,KERATELLA TAUROCEPHALA,395.2,,
6/7/82,62406,MONOSTYLA LUNARIS,28.2,,
6/7/82,63005,POLYARTHRA VULGARIS,3.1,,
6/7/82,63400,SYNCHAETA,4.7,,
6/7/82,63602,TRICHOCERCA BIROSTRIS,1.6,,
8/19/82,10000,COPEPOD NAUPLII,40.1,,
8/19/82,20901,TROPOCYCLOPS PRASINUS MEXICANUS,52.9,,
8/19/82,50700,BOSMINIDAE,1.2,,
8/19/82,50900,CERIODAPHNIA,20.3,,
8/19/82,51000,CHYDORUS,0.6,,
8/19/82,51130,DAPHNIA PULICARIA,1.7,,
8/19/82,51801,HOLOPEDIUM GIBBERUM,9.9,,
8/19/82,60200,ASCOMORPHA,13.4,,
8/19/82,60201,ASCOMORPHA ECAUDIS,15.7,,
8/19/82,61502,GASTROPUS STYLIFER,1.2,,
8/19/82,61808,KERATELLA TAUROCEPHALA,67.4,,
8/19/82,61810,KERATELLA TICINENSIS,13.9,,
8/19/82,61918,LECANE TENUISETA,0.6,,
8/19/82,62406,MONOSTYLA LUNARIS,1.2,,
11/9/82,20302,DIACYCLOPS THOMASI,0.6,,
11/9/82,20901,TROPOCYCLOPS PRASINUS MEXICANUS,10.2,,
11/9/82,50700,BOSMINIDAE,7.7,,
11/9/82,50900,CERIODAPHNIA,1.3,,
11/9/82,60200,ASCOMORPHA,2.6,,
11/9/82,61808,KERATELLA TAUROCEPHALA,10.2,,
11/9/82,61810,KERATELLA TICINENSIS,17.3,,
11/9/82,61918,LECANE TENUISETA,0.6,,
11/9/82,62007,LEPADELLA TRIPTERA,0.6,,
11/9/82,63400,SYNCHAETA,3.2,,
2/22/83,20000,CYCLOPOID,1.1,,
2/22/83,20901,TROPOCYCLOPS PRASINUS MEXICANUS,15.7,,
2/22/83,50700,BOSMINIDAE,6.3,,
2/22/83,60200,ASCOMORPHA,16.7,,
2/22/83,60201,ASCOMORPHA ECAUDIS,4.2,,
2/22/83,60800,CONOCHILOIDES,3.1,,
2/22/83,60900,CONOCHILUS,4.2,,
2/22/83,61808,KERATELLA TAUROCEPHALA,167.3,,
2/22/83,61810,KERATELLA TICINENSIS,6.3,,
2/22/83,63400,SYNCHAETA,1.1,,
5/9/83,10000,COPEPOD NAUPLII,3.7,,
5/9/83,20901,TROPOCYCLOPS PRASINUS MEXICANUS,18.3,,
5/9/83,50700,BOSMINIDAE,0.5,,
5/9/83,50900,CERIODAPHNIA,1.1,,
5/9/83,51105,DAPHNIA PARVULA,1.6,,
5/9/83,51130,DAPHNIA PULICARIA,0.5,,
5/9/83,60200,ASCOMORPHA,83.7,,
5/9/83,60201,ASCOMORPHA ECAUDIS,8.9,,
5/9/83,60900,CONOCHILUS,0.5,,
5/9/83,61701,KELLICOTTIA BOSTONIENSIS,0.5,,
5/9/83,61808,KERATELLA TAUROCEPHALA,40.8,,
5/9/83,61810,KERATELLA TICINENSIS,7.8,,
5/9/83,63400,SYNCHAETA,7.8,,
6/23/83,10000,COPEPOD NAUPLII,62.3,,
6/23/83,20901,TROPOCYCLOPS PRASINUS MEXICANUS,17.2,,
6/23/83,50700,BOSMINIDAE,3.7,,
6/23/83,50900,CERIODAPHNIA,6,,
6/23/83,51000,CHYDORUS,0.5,,
6/23/83,51103,DAPHNIA MENDOTAE,0.5,,
6/23/83,51130,DAPHNIA PULICARIA,0.9,,
6/23/83,51801,HOLOPEDIUM GIBBERUM,20.5,,
6/23/83,60200,ASCOMORPHA,6.5,,
6/23/83,60201,ASCOMORPHA ECAUDIS,2.8,,
6/23/83,61502,GASTROPUS STYLIFER,9.3,,
6/23/83,61808,KERATELLA TAUROCEPHALA,1118.1,,
6/23/83,61810,KERATELLA TICINENSIS,1230.6,,
6/23/83,62406,MONOSTYLA LUNARIS,9.3,,
6/23/83,63400,SYNCHAETA,3.7,,
8/17/83,10000,COPEPOD NAUPLII,88.2,,
8/17/83,20901,TROPOCYCLOPS PRASINUS MEXICANUS,32,,
8/17/83,50700,BOSMINIDAE,5.8,,
8/17/83,50900,CERIODAPHNIA,12.8,,
8/17/83,51801,HOLOPEDIUM GIBBERUM,2.6,,
8/17/83,60200,ASCOMORPHA,29.4,,
8/17/83,60201,ASCOMORPHA ECAUDIS,1.3,,
8/17/83,61502,GASTROPUS STYLIFER,1.3,,
8/17/83,61808,KERATELLA TAUROCEPHALA,20.5,,
8/17/83,61810,KERATELLA TICINENSIS,846,,
11/14/83,10000,COPEPOD NAUPLII,3.5,,
11/14/83,20302,DIACYCLOPS THOMASI,0.4,,
11/14/83,20901,TROPOCYCLOPS PRASINUS MEXICANUS,3.1,,
11/14/83,50700,BOSMINIDAE,1.7,,
11/14/83,50900,CERIODAPHNIA,0.4,,
11/14/83,60200,ASCOMORPHA,7.8,,
11/14/83,61808,KERATELLA TAUROCEPHALA,176.9,,
11/14/83,61810,KERATELLA TICINENSIS,149,,
11/14/83,63400,SYNCHAETA,7,,
2/28/84,20901,TROPOCYCLOPS PRASINUS MEXICANUS,4.4,,
2/28/84,50700,BOSMINIDAE,6.7,,
2/28/84,60200,ASCOMORPHA,19.3,,
2/28/84,60300,ASPLANCHNA,4.4,,
2/28/84,61701,KELLICOTTIA BOSTONIENSIS,0.7,,
2/28/84,61805,KERATELLA HIEMALIS,0.7,,
2/28/84,61808,KERATELLA TAUROCEPHALA,118.5,,
2/28/84,61810,KERATELLA TICINENSIS,12.6,,
2/28/84,62406,MONOSTYLA LUNARIS,0.7,,
5/8/84,10000,COPEPOD NAUPLII,5.8,,
5/8/84,20000,CYCLOPOID,1.8,,
5/8/84,20901,TROPOCYCLOPS PRASINUS MEXICANUS,3.5,,
5/8/84,50900,CERIODAPHNIA,0.6,,
5/8/84,60200,ASCOMORPHA,122,,
5/8/84,60800,CONOCHILOIDES,1.2,,
5/8/84,61502,GASTROPUS STYLIFER,4.7,,
5/8/84,61805,KERATELLA HIEMALIS,1.2,,
5/8/84,61808,KERATELLA TAUROCEPHALA,504.2,,
5/8/84,61810,KERATELLA TICINENSIS,18.6,,
5/8/84,61918,LECANE TENUISETA,1.2,,
5/8/84,63400,SYNCHAETA,134.8,,
6/19/84,10000,COPEPOD NAUPLII,25.4,,
6/19/84,20000,CYCLOPOID,1.2,,
6/19/84,20101,ACANTHOCYCLOPS VERNALIS,0.6,,
6/19/84,20701,ORTHOCYCLOPS MODESTUS,0.6,,
6/19/84,20901,TROPOCYCLOPS PRASINUS MEXICANUS,22,,
6/19/84,50700,BOSMINIDAE,32.6,,
6/19/84,50900,CERIODAPHNIA,17.1,,
6/19/84,51130,DAPHNIA PULICARIA,1.1,,
6/19/84,51801,HOLOPEDIUM GIBBERUM,37,,
6/19/84,60200,ASCOMORPHA,6.6,,
6/19/84,61402,FILINIA TERMINALIS,1.1,,
6/19/84,61502,GASTROPUS STYLIFER,15.5,,
6/19/84,61806,KERATELLA QUADRATA,1.1,,
6/19/84,61808,KERATELLA TAUROCEPHALA,1005.5,,
6/19/84,61810,KERATELLA TICINENSIS,242.8,,
6/19/84,62406,MONOSTYLA LUNARIS,15.5,,
6/19/84,63005,POLYARTHRA VULGARIS,12.1,,
6/19/84,63400,SYNCHAETA,9.9,,
6/19/84,63602,TRICHOCERCA BIROSTRIS,2.2,,
8/1/84,10000,COPEPOD NAUPLII,209.9,,
8/1/84,20901,TROPOCYCLOPS PRASINUS MEXICANUS,97.7,,
8/1/84,50900,CERIODAPHNIA,21.6,,
8/1/84,51801,HOLOPEDIUM GIBBERUM,7.2,,
8/1/84,60201,ASCOMORPHA ECAUDIS,23,,
8/1/84,61502,GASTROPUS STYLIFER,15.8,,
8/1/84,61808,KERATELLA TAUROCEPHALA,10.1,,
8/1/84,61810,KERATELLA TICINENSIS,47.4,,
8/1/84,63005,POLYARTHRA VULGARIS,2.9,,
11/8/84,10000,COPEPOD NAUPLII,0.6,,
11/8/84,20901,TROPOCYCLOPS PRASINUS MEXICANUS,12.2,,
11/8/84,50700,BOSMINIDAE,1.2,,
11/8/84,51130,DAPHNIA PULICARIA,0.6,,
11/8/84,60200,ASCOMORPHA,4.7,,
11/8/84,61806,KERATELLA QUADRATA,0.6,,
11/8/84,61808,KERATELLA TAUROCEPHALA,27.9,,
11/8/84,61810,KERATELLA TICINENSIS,26.7,,
11/8/84,61918,LECANE TENUISETA,1.2,,
11/8/84,63600,TRICHOCERCA,0.6,,
11/8/84,63602,TRICHOCERCA BIROSTRIS,1.7,,
2/27/85,10000,COPEPOD NAUPLII,1.5,,
2/27/85,20701,ORTHOCYCLOPS MODESTUS,0.7,,
2/27/85,20901,TROPOCYCLOPS PRASINUS MEXICANUS,11.6,,
2/27/85,50700,BOSMINIDAE,2.2,,
2/27/85,60200,ASCOMORPHA,580.9,,
2/27/85,60201,ASCOMORPHA ECAUDIS,2.9,,
2/27/85,60300,ASPLANCHNA,10.2,,
2/27/85,61808,KERATELLA TAUROCEPHALA,30.5,,
2/27/85,61810,KERATELLA TICINENSIS,63.9,,
4/29/85,10000,COPEPOD NAUPLII,14.4,,
4/29/85,20901,TROPOCYCLOPS PRASINUS MEXICANUS,34.6,,
4/29/85,50700,BOSMINIDAE,32,,
4/29/85,51100,DAPHNIA,2,,
4/29/85,60200,ASCOMORPHA,105.2,,
4/29/85,60201,ASCOMORPHA ECAUDIS,5.9,,
4/29/85,61805,KERATELLA HIEMALIS,2.6,,
4/29/85,61808,KERATELLA TAUROCEPHALA,85,,
4/29/85,61810,KERATELLA TICINENSIS,87.6,,
4/29/85,62406,MONOSTYLA LUNARIS,2,,
4/29/85,63400,SYNCHAETA,17.6,,
6/12/85,10000,COPEPOD NAUPLII,16.6,,
6/12/85,20701,ORTHOCYCLOPS MODESTUS,0.8,,
6/12/85,20901,TROPOCYCLOPS PRASINUS MEXICANUS,20.5,,
6/12/85,50700,BOSMINIDAE,15.9,,
6/12/85,51130,DAPHNIA PULICARIA,4.5,,
6/12/85,51801,HOLOPEDIUM GIBBERUM,0.8,,
6/12/85,60200,ASCOMORPHA,1.5,,
6/12/85,60201,ASCOMORPHA ECAUDIS,1.5,,
6/12/85,61502,GASTROPUS STYLIFER,13.6,,
6/12/85,61702,KELLICOTTIA LONGISPINA,1.5,,
6/12/85,61808,KERATELLA TAUROCEPHALA,327.7,,
6/12/85,61810,KERATELLA TICINENSIS,225,,
6/12/85,62406,MONOSTYLA LUNARIS,9.1,,
6/12/85,63004,POLYARTHRA REMATA,22.7,,
6/12/85,63005,POLYARTHRA VULGARIS,58.9,,
6/12/85,63602,TRICHOCERCA BIROSTRIS,28.7,,
8/21/85,10000,COPEPOD NAUPLII,118.5,,
8/21/85,20901,TROPOCYCLOPS PRASINUS MEXICANUS,22.9,,
8/21/85,50700,BOSMINIDAE,1.9,,
8/21/85,50900,CERIODAPHNIA,11.1,,
8/21/85,51100,DAPHNIA,1.2,,
8/21/85,51130,DAPHNIA PULICARIA,11.7,,
8/21/85,60200,ASCOMORPHA,12.3,,
8/21/85,60300,ASPLANCHNA,1.2,,
8/21/85,61502,GASTROPUS STYLIFER,25.9,,
8/21/85,61808,KERATELLA TAUROCEPHALA,239.5,,
8/21/85,61810,KERATELLA TICINENSIS,260.5,,
11/12/85,10000,COPEPOD NAUPLII,1.2,,
11/12/85,20901,TROPOCYCLOPS PRASINUS MEXICANUS,5.8,,
11/12/85,50700,BOSMINIDAE,2.3,,
11/12/85,50900,CERIODAPHNIA,1.2,,
11/12/85,60200,ASCOMORPHA,3.5,,
11/12/85,60300,ASPLANCHNA,10.4,,
11/12/85,61808,KERATELLA TAUROCEPHALA,251.4,,
11/12/85,61810,KERATELLA TICINENSIS,140.7,,
11/12/85,61918,LECANE TENUISETA,8.1,,
11/12/85,63400,SYNCHAETA,6.9,,
3/31/86,10000,COPEPOD NAUPLII,0.4,,
3/31/86,20302,DIACYCLOPS THOMASI,0.6,,
3/31/86,50700,BOSMINIDAE,0.1,,
3/31/86,61702,KELLICOTTIA LONGISPINA,0.1,,
3/31/86,61801,KERATELLA COCHLEARIS,0.3,,
3/31/86,61805,KERATELLA HIEMALIS,0.3,,
3/31/86,61808,KERATELLA TAUROCEPHALA,0.3,,
3/31/86,62400,MONOSTYLA,0.1,,
4/21/86,10000,COPEPOD NAUPLII,0.1,,
4/21/86,61900,LECANE,0.4,,
4/21/86,63612,TRICHOCERCA MULTICRINIS,0.3,,
6/16/86,10000,COPEPOD NAUPLII,0.5,,
6/16/86,30000,CALANOID,0.6,,
6/16/86,50900,CERIODAPHNIA,1.3,,
6/16/86,51100,DAPHNIA,0.3,,
6/16/86,61502,GASTROPUS STYLIFER,1.8,,
6/16/86,61702,KELLICOTTIA LONGISPINA,2,,
6/16/86,61801,KERATELLA COCHLEARIS,13.6,,
6/16/86,61808,KERATELLA TAUROCEPHALA,173.3,,
6/16/86,61810,KERATELLA TICINENSIS,0.3,,
6/16/86,63400,SYNCHAETA,0.5,,
6/16/86,63600,TRICHOCERCA,0.3,,
6/16/86,63612,TRICHOCERCA MULTICRINIS,2,,
8/13/86,10000,COPEPOD NAUPLII,9.7,,
8/13/86,20000,CYCLOPOID,2.4,,
8/13/86,30000,CALANOID,4.4,,
8/13/86,50700,BOSMINIDAE,7.3,,
8/13/86,50900,CERIODAPHNIA,11.7,,
8/13/86,60800,CONOCHILOIDES,4.8,,
8/13/86,60900,CONOCHILUS,1.6,,
8/13/86,61502,GASTROPUS STYLIFER,0.8,,
8/13/86,61808,KERATELLA TAUROCEPHALA,130.9,,
8/13/86,61810,KERATELLA TICINENSIS,446.9,,
8/13/86,63005,POLYARTHRA VULGARIS,7.3,,
8/13/86,63400,SYNCHAETA,3.2,,
8/13/86,63602,TRICHOCERCA BIROSTRIS,1.6,,
11/4/86,10000,COPEPOD NAUPLII,0.8,,
11/4/86,20000,CYCLOPOID,0.4,,
11/4/86,30801,SKISTODIAPTOMUS OREGONENSIS,4.2,,
11/4/86,50700,BOSMINIDAE,5,,
11/4/86,50900,CERIODAPHNIA,0.8,,
11/4/86,60200,ASCOMORPHA,0.8,,
11/4/86,60800,CONOCHILOIDES,32.3,,
11/4/86,61808,KERATELLA TAUROCEPHALA,351.2,,
11/4/86,61810,KERATELLA TICINENSIS,103.5,,
11/4/86,63005,POLYARTHRA VULGARIS,3.3,,
11/4/86,63612,TRICHOCERCA MULTICRINIS,1.7,,
2/23/87,20302,DIACYCLOPS THOMASI,0.5,,
2/23/87,30801,SKISTODIAPTOMUS OREGONENSIS,5.7,,
2/23/87,50700,BOSMINIDAE,5.7,,
2/23/87,60800,CONOCHILOIDES,13.3,,
