lakeid,year,lastice,datelastice,firstice,datefirstice,ice dur try two?
TB,1981,,,328,11/24/81,
TB,1982,121,5/1/82,326,11/22/82,158
TB,1983,117,4/27/83,318,11/14/83,156
TB,1984,109,4/18/84,317,11/12/84,156
TB,1985,112,4/22/85,318,11/14/85,160
TB,1986,100,4/10/86,315,11/11/86,147
TB,1987,100,4/10/87,327,11/23/87,150
TB,1988,104,4/13/88,323,11/18/88,142
TB,1989,114,4/24/89,318,11/14/89,156
TB,1990,110,4/20/90,330,11/26/90,157
TB,1991,108,4/18/91,308,11/4/91,143
TB,1992,119,4/28/92,318,11/13/92,176
TB,1993,116,4/26/93,312,11/8/93,163
TB,1994,108,4/18/94,330,11/26/94,161
TB,1995,115,4/25/95,313,11/9/95,150
TB,1996,129,5/8/96,316,11/11/96,181
TB,1997,118,4/28/97,317,11/13/97,167
TB,1998,100,4/10/98,342,12/8/98,148
TB,1999,104,4/14/99,331,11/27/99,127
TB,2000,94,4/3/00,325,11/20/00,128
TB,2001,110,4/20/01,341,12/7/01,150
TB,2002,112,4/22/02,318,11/14/02,136
TB,2003,112,4/22/03,314,11/10/03,159
TB,2004,110,4/19/04,329,11/24/04,161
TB,2005,103,4/13/05,326,11/22/05,139
TB,2006,102,4/12/06,334,11/30/06,141
TB,2007,106,4/16/07,320,11/16/07,137
TB,2008,120,4/29/08,324,11/19/08,165
TB,2009,110,4/20/09,335,12/1/09,151
TB,2010,88,3/29/10,331,11/27/10,118
TB,2011,119,4/29/11,323,11/18/11,153
TB,2012,83,3/23/12,331,11/26/12,125
TB,2013,127,5/7/13,323,11/19/13,161
TB,2014,127,5/8/14,314,11/10/14,169
TB,2015,100,4/10/15,327,11/23/15,151
TB,2016,107,4/16/16,340,12/5/16,145
TB,2017,104,4/14/17,314,11/10/17,129
TB,2018,124,5/4/18,313,11/9/18,175
TB,2019,113,4/13/19,310,11/6/19,165
