"sampledate","Genus","CellBioVol","daynum","year"
1997-01-14,"TotalBiovolume",58814.83928,14,1997
1997-02-17,"TotalBiovolume",1720.185234,48,1997
1997-05-06,"TotalBiovolume",553601.7042,126,1997
1997-06-18,"TotalBiovolume",120852.7877,169,1997
1997-08-28,"TotalBiovolume",74003.74465,240,1997
1997-11-10,"TotalBiovolume",128833.4606,314,1997
1998-02-23,"TotalBiovolume",189107.2736,54,1998
1998-04-20,"TotalBiovolume",181669.4978,110,1998
1998-06-15,"TotalBiovolume",167909.7456,166,1998
1997-07-14,"TotalBiovolume",204417.0737,195,1997
1998-08-12,"TotalBiovolume",193824.5166,224,1998
1998-11-12,"TotalBiovolume",147520.6467,316,1998
1999-02-23,"TotalBiovolume",83274.68798,54,1999
1999-05-04,"TotalBiovolume",227305.348,124,1999
1999-07-01,"TotalBiovolume",74952.73654,182,1999
1999-08-23,"TotalBiovolume",58570.67871,235,1999
1999-11-10,"TotalBiovolume",29393.12457,314,1999
2000-02-22,"TotalBiovolume",19235.34559,53,2000
2000-04-06,"TotalBiovolume",128642.492,97,2000
2000-05-30,"TotalBiovolume",306599.4631,151,2000
2000-07-26,"TotalBiovolume",77778.75809,208,2000
2000-08-21,"TotalBiovolume",76589.00186,234,2000
2000-11-16,"TotalBiovolume",95748.80998,321,2000
2001-02-28,"TotalBiovolume",21262.77994,59,2001
2001-04-30,"TotalBiovolume",28410.14551,120,2001
2001-05-29,"TotalBiovolume",41235.72366,149,2001
2001-06-26,"TotalBiovolume",134990.8154,177,2001
2001-07-24,"TotalBiovolume",22145.11309,205,2001
2001-08-20,"TotalBiovolume",29306.01225,232,2001
2001-11-15,"TotalBiovolume",198499.175,319,2001
2002-02-28,"TotalBiovolume",52925.62857,59,2002
2002-04-23,"TotalBiovolume",127889.5355,113,2002
2002-06-19,"TotalBiovolume",114042.3605,170,2002
2002-07-17,"TotalBiovolume",72801.22226,198,2002
2002-08-14,"TotalBiovolume",46163.60343,226,2002
2002-11-07,"TotalBiovolume",79327.76072,311,2002
2003-03-06,"TotalBiovolume",39769.15413,65,2003
2003-04-29,"TotalBiovolume",69635.17216,119,2003
2003-06-23,"TotalBiovolume",53497.5692,174,2003
2003-07-21,"TotalBiovolume",76879.44305,202,2003
2003-08-20,"TotalBiovolume",70854.36054,232,2003
2003-11-13,"TotalBiovolume",102849.4575,317,2003
2004-02-18,"TotalBiovolume",9708.792357,49,2004
2004-04-30,"TotalBiovolume",124704.1185,121,2004
2004-06-22,"TotalBiovolume",81870.95401,174,2004
2004-07-21,"TotalBiovolume",38911.84667,203,2004
2004-08-16,"TotalBiovolume",35695.18089,229,2004
2004-11-10,"TotalBiovolume",40141.8149,315,2004
2005-04-20,"TotalBiovolume",140811.0487,110,2005
2005-06-13,"TotalBiovolume",112841.9249,164,2005
2005-07-12,"TotalBiovolume",66524.46203,193,2005
2005-08-09,"TotalBiovolume",36120.08981,221,2005
2005-11-15,"TotalBiovolume",37769.78604,319,2005
2006-02-13,"TotalBiovolume",13445.22755,44,2006
2006-04-20,"TotalBiovolume",105932.2045,110,2006
2006-06-16,"TotalBiovolume",95564.66686,167,2006
2006-07-12,"TotalBiovolume",76774.5854,193,2006
2006-08-09,"TotalBiovolume",18557.99633,221,2006
2006-10-30,"TotalBiovolume",49288.15794,303,2006
2007-02-20,"TotalBiovolume",43538.89356,51,2007
2007-04-24,"TotalBiovolume",57749.85027,114,2007
2007-06-19,"TotalBiovolume",63864.52915,170,2007
2007-07-16,"TotalBiovolume",79321.12792,197,2007
2007-08-13,"TotalBiovolume",86298.54542,225,2007
2007-11-12,"TotalBiovolume",69229.21827,316,2007
2008-03-03,"TotalBiovolume",7414.250988,63,2008
2008-05-13,"TotalBiovolume",101618.1581,134,2008
2008-07-01,"TotalBiovolume",137303.0078,183,2008
2008-08-25,"TotalBiovolume",72434.45871,238,2008
2008-11-12,"TotalBiovolume",77010.33942,317,2008
2009-02-24,"TotalBiovolume",56387.25094,55,2009
2009-04-29,"TotalBiovolume",324208.1319,119,2009
