"sampledate.x","wtemp","o2","o2sat","cond","frlight","chlor.x","phaeo","ph","phair","alk","dic","tic","doc","toc","no3no2","no2","nh4","totnf","totnuf","totpf","totpuf","drsif","brsif","brsiuf","tpm","cl","so4","ca","mg","na","k","fe","mn","chlDate","chlor.y","datePlus1","dateMinus1","year4","daynum","avsnow","totice","whiteice","blueice","CBV.date","Genus.x","CellBioVol.x","bv.datePlus1","bv.dateMinus1","Genus.y","CellBioVol.y","PerBioVol"
1981-06-04,12.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-06-16,13.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-06-30,14.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981-06-30,3.5,1981-07-01,1981-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-07-16,15.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981-07-16,1.7,1981-07-17,1981-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-07-27,15.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981-07-27,3.5,1981-07-28,1981-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-08-11,16.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981-08-11,7.3,1981-08-12,1981-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-08-25,16.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981-08-25,1.6,1981-08-26,1981-08-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-09-15,15.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981-09-15,2.1,1981-09-16,1981-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-09-22,13.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981-09-22,2.1,1981-09-23,1981-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-10-19,9.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981-10-19,4.8,1981-10-20,1981-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981-12-02,3.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981-12-02,10.4,1981-12-03,1981-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-01-20,2.46,11.55,89.61,69.43,NA,5.52,NA,7.12,NA,707.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-01-20,18.8,1982-01-21,1982-01-19,1982,20,4.3,43,22.5,20.5,NA,NA,NA,NA,NA,NA,NA,NA
1982-02-24,2.61,9.27,72.16,72.6,NA,1.24,NA,6.99,NA,634.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-02-24,2.8,1982-02-25,1982-02-23,1982,55,13.4,49.2,29.3,19.9,NA,NA,NA,NA,NA,NA,NA,NA
1982-04-05,2.61,8.35,64.74,74.92,NA,3.53,NA,6.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-04-05,4.6,1982-04-06,1982-04-04,1982,95,4,51,24.7,26.3,NA,NA,NA,NA,NA,NA,NA,NA
1982-05-12,7.23,9.9,87.38,72.18,0.21,12.16,NA,7.29,NA,567.12,NA,NA,NA,NA,10.6,0,NA,NA,NA,NA,NA,3756.77,NA,NA,NA,2.59,3.31,8.69,2.53,1.55,0.56,NA,NA,1982-05-12,5.9,1982-05-13,1982-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-05-27,10.66,8.5,81.3,74.19,0.2,10.82,NA,7.35,NA,NA,NA,NA,NA,NA,4.87,0,NA,NA,NA,NA,NA,3621.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-05-27,1.1,1982-05-28,1982-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-06-10,11.23,7.88,76.22,NA,0.25,11.82,NA,7.4,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,3607.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-06-10,1.2,1982-06-11,1982-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-06-23,12.07,NA,NA,75.48,0.26,8.72,0.66,7.4,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,3567.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-06-23,1.4,1982-06-24,1982-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-07-08,14.61,NA,NA,73.78,NA,8.58,0.7,7.36,NA,NA,NA,NA,NA,NA,6.21,0,NA,NA,NA,NA,NA,3544.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-07-08,1.3,1982-07-09,1982-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-07-20,15.73,10.33,110.06,NA,NA,6.58,0.73,7.94,NA,NA,NA,NA,NA,NA,0,0,12.65,NA,NA,NA,NA,3615.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-07-20,0.9,1982-07-21,1982-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-02,15.55,9.58,102.45,76.15,NA,5.11,0.41,7.25,NA,NA,NA,NA,NA,NA,0,0,39.92,NA,NA,NA,NA,3522.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-08-02,1.8,1982-08-03,1982-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-08-17,15.47,NA,NA,72.09,0.25,2.91,0.7,7.43,NA,588.58,NA,NA,NA,NA,0,0,8.36,NA,NA,4.88,NA,3479.54,NA,NA,NA,2.52,3.24,9.11,2.83,1.72,0.6,NA,NA,1982-08-17,1.1,1982-08-18,1982-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-09,14.22,8.55,89.78,NA,0.24,2.93,1,7.25,NA,NA,NA,NA,NA,NA,0,0,14.06,NA,NA,NA,NA,3658.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-09-09,0.9,1982-09-10,1982-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982-09-20,13.25,7.66,78.97,NA,NA,5.76,0.27,7.22,NA,NA,NA,NA,NA,NA,1.1,0,17.96,NA,NA,NA,NA,3636.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-09-20,1.8,1982-09-21,1982-09-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
