lakeid,year4,sampledate,depth,deck,light,frlight
SP,1981,1981-06-04,1.00,,,
SP,1981,1981-06-04,3.00,,,
SP,1981,1981-06-04,5.00,,,
SP,1981,1981-06-04,7.00,,,
SP,1981,1981-06-04,9.00,,,
SP,1981,1981-06-04,11.00,,,
SP,1981,1981-06-04,13.00,,,
SP,1981,1981-06-04,15.00,,,
SP,1981,1981-06-04,17.00,,,
SP,1981,1981-06-04,19.00,,,
SP,1981,1981-06-16,1.00,,160.00,
SP,1981,1981-06-16,3.00,,325.00,
SP,1981,1981-06-16,5.00,,180.00,
SP,1981,1981-06-16,7.00,,93.00,
SP,1981,1981-06-16,9.00,,48.00,
SP,1981,1981-06-16,11.00,,,
SP,1981,1981-06-16,13.00,,19.50,
SP,1981,1981-06-16,15.00,,5.10,
SP,1981,1981-06-16,17.00,,2.70,
SP,1981,1981-06-16,19.00,,0.90,
SP,1981,1981-06-16,20.30,,0.00,
SP,1981,1981-06-30,1.00,,500.00,
SP,1981,1981-06-30,3.00,,170.00,
SP,1981,1981-06-30,5.00,,100.00,
SP,1981,1981-06-30,7.00,,50.00,
SP,1981,1981-06-30,9.00,,31.00,
SP,1981,1981-06-30,11.00,,16.00,
SP,1981,1981-06-30,13.00,,10.00,
SP,1981,1981-06-30,15.00,,6.50,
SP,1981,1981-06-30,17.00,,3.10,
SP,1981,1981-06-30,19.00,,0.60,
SP,1981,1981-07-16,0.00,760,440.00,0.579000
SP,1981,1981-07-16,2.00,,310.00,
SP,1981,1981-07-16,4.00,,145.00,
SP,1981,1981-07-16,6.00,,52.00,
SP,1981,1981-07-16,8.00,,27.50,
SP,1981,1981-07-16,10.00,,15.50,
SP,1981,1981-07-16,12.00,,9.50,
SP,1981,1981-07-16,14.00,,5.60,
SP,1981,1981-07-16,16.00,,2.60,
SP,1981,1981-07-16,18.00,,0.80,
SP,1981,1981-07-16,20.00,,0.00,
SP,1981,1981-07-27,1.00,,88.00,
SP,1981,1981-07-27,3.00,,48.50,
SP,1981,1981-07-27,5.00,,28.00,
SP,1981,1981-07-27,7.00,,15.00,
SP,1981,1981-07-27,9.00,,7.30,
SP,1981,1981-07-27,11.00,,4.20,
SP,1981,1981-07-27,13.00,,2.30,
SP,1981,1981-07-27,15.00,,1.20,
SP,1981,1981-07-27,17.00,,0.40,
SP,1981,1981-07-27,19.00,,0.00,
SP,1981,1981-08-11,1.00,,450.00,
SP,1981,1981-08-11,3.00,,220.00,
SP,1981,1981-08-11,5.00,,125.00,
SP,1981,1981-08-11,7.00,,62.00,
SP,1981,1981-08-11,9.00,,28.00,
SP,1981,1981-08-11,11.00,,14.00,
SP,1981,1981-08-11,13.00,,7.20,
SP,1981,1981-08-11,15.00,,3.90,
SP,1981,1981-08-11,17.00,,1.30,
SP,1981,1981-08-11,19.00,,0.30,
SP,1981,1981-08-25,1.00,,300.00,
SP,1981,1981-08-25,3.00,,160.00,
SP,1981,1981-08-25,5.00,,72.00,
SP,1981,1981-08-25,7.00,,43.00,
SP,1981,1981-08-25,9.00,,24.50,
SP,1981,1981-08-25,11.00,,10.50,
SP,1981,1981-08-25,13.00,,6.40,
SP,1981,1981-08-25,15.00,,3.00,
