sampledate,wtemp,o2,o2sat,cond,frlight,chlor.int,phaeo,ph,phair,alk,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,cl,so4,ca,mg,na,k,fe,mn,chlor.surf,avsnow,totice,whiteice,blueice,division,biovolume,Season,,
1/12/10,2.74,12.26,95.53,NA,0.01,3.39,0.94,7.48,7.85,NA,9.01,8.52,3.3,3.27,14.9,NA,88.86,351.69,372.55,7.53,9.4,4022.03,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,15.3,5.7,32,17,15,NA,NA,NA,,
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,6.3,9.4,46,14,32,Bacillariophyta,31754.31,0,,31754.31
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,6.3,9.4,46,14,32,Chlorophyta,26272.6474,0,,26272.6474
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,6.3,9.4,46,14,32,Cryptophyta,41098.1671,0,,41098.1671
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,6.3,9.4,46,14,32,Cyanophyta,7445.2721,0,,7445.2721
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,6.3,9.4,46,14,32,Haptophyta,981.5717,0,,
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,6.3,9.4,46,14,32,Pyrrhophyta,3915.4062,0,,
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,6.3,9.4,46,14,32,Total,111467.3745,0,,
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,6.5,9.4,46,14,32,Bacillariophyta,31754.31,0,,31754.31
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,6.5,9.4,46,14,32,Chlorophyta,20942.117,0,,20942.117
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,6.5,9.4,46,14,32,Chrysophyta,46428.6975,0,,46428.6975
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,6.5,9.4,46,14,32,Cyanophyta,7445.2721,0,,7445.2721
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,6.5,9.4,46,14,32,Haptophyta,981.5717,0,,
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,6.5,9.4,46,14,32,Pyrrhophyta,3915.4062,0,,
2/11/10,2.82,11.13,86.87,115.29,0.01,2.05,0.44,7.36,7.87,801.27,12.98,12.36,3.41,3.34,19.94,NA,7.38,352.99,363.58,0.52,4.9,3994.88,NA,NA,0,9.54,2.67,12.33,3.76,3.52,0.85,0.02,0.03,6.5,9.4,46,14,32,Total,111467.3745,0,,
4/12/10,6.7,12.28,106.62,107.62,0.15,8.78,0.48,7.68,7.93,766.75,9.51,9.65,-9.79,-9.88,5.9,NA,19.93,181.11,250.88,3.93,12.24,3518.43,NA,NA,0.24,8.94,2.24,13.4,3.54,3.51,0.73,0,0,4.8,0,0,0,0,Bacillariophyta,575541.9283,1,,575541.9283
4/12/10,6.7,12.28,106.62,107.62,0.15,8.78,0.48,7.68,7.93,766.75,9.51,9.65,-9.79,-9.88,5.9,NA,19.93,181.11,250.88,3.93,12.24,3518.43,NA,NA,0.24,8.94,2.24,13.4,3.54,3.51,0.73,0,0,4.8,0,0,0,0,Chlorophyta,43626.4173,1,,43626.4173
4/12/10,6.7,12.28,106.62,107.62,0.15,8.78,0.48,7.68,7.93,766.75,9.51,9.65,-9.79,-9.88,5.9,NA,19.93,181.11,250.88,3.93,12.24,3518.43,NA,NA,0.24,8.94,2.24,13.4,3.54,3.51,0.73,0,0,4.8,0,0,0,0,Chrysophyta,367037.7052,1,,367037.7052
4/12/10,6.7,12.28,106.62,107.62,0.15,8.78,0.48,7.68,7.93,766.75,9.51,9.65,-9.79,-9.88,5.9,NA,19.93,181.11,250.88,3.93,12.24,3518.43,NA,NA,0.24,8.94,2.24,13.4,3.54,3.51,0.73,0,0,4.8,0,0,0,0,Cryptophyta,157960.5228,1,,157960.5228
4/12/10,6.7,12.28,106.62,107.62,0.15,8.78,0.48,7.68,7.93,766.75,9.51,9.65,-9.79,-9.88,5.9,NA,19.93,181.11,250.88,3.93,12.24,3518.43,NA,NA,0.24,8.94,2.24,13.4,3.54,3.51,0.73,0,0,4.8,0,0,0,0,Cyanophyta,11788.7862,1,,11788.7862
4/12/10,6.7,12.28,106.62,107.62,0.15,8.78,0.48,7.68,7.93,766.75,9.51,9.65,-9.79,-9.88,5.9,NA,19.93,181.11,250.88,3.93,12.24,3518.43,NA,NA,0.24,8.94,2.24,13.4,3.54,3.51,0.73,0,0,4.8,0,0,0,0,Euglenophyta,60297.2543,1,,
4/12/10,6.7,12.28,106.62,107.62,0.15,8.78,0.48,7.68,7.93,766.75,9.51,9.65,-9.79,-9.88,5.9,NA,19.93,181.11,250.88,3.93,12.24,3518.43,NA,NA,0.24,8.94,2.24,13.4,3.54,3.51,0.73,0,0,4.8,0,0,0,0,Haptophyta,110485.7092,1,,
4/12/10,6.7,12.28,106.62,107.62,0.15,8.78,0.48,7.68,7.93,766.75,9.51,9.65,-9.79,-9.88,5.9,NA,19.93,181.11,250.88,3.93,12.24,3518.43,NA,NA,0.24,8.94,2.24,13.4,3.54,3.51,0.73,0,0,4.8,0,0,0,0,Pyrrhophyta,32160.4244,1,,
4/12/10,6.7,12.28,106.62,107.62,0.15,8.78,0.48,7.68,7.93,766.75,9.51,9.65,-9.79,-9.88,5.9,NA,19.93,181.11,250.88,3.93,12.24,3518.43,NA,NA,0.24,8.94,2.24,13.4,3.54,3.51,0.73,0,0,4.8,0,0,0,0,Total,1358898.748,1,,
4/27/10,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2.2,0,0,0,0,NA,NA,NA,,
6/8/10,13.75,9.11,94.73,NA,0.16,6.14,1.39,7.54,7.92,NA,8.61,8.73,2.85,2.83,9.56,NA,60.49,195.2,214.44,7.14,10.94,4020.94,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,3.4,0,0,0,0,Bacillariophyta,26716.1431,1,,26716.1431
