"year","daynum","sampledate","chlor","avsnow","totice","whiteice","blueice","perwhiteice","perblueice","light","Genus","CellBioVol"
1997,14,1997-01-14,1.3,11,37,26,11,70.2702702702703,29.7297297297297,NA,"Limnothrix",38415.98497
1997,14,1997-01-14,1.3,11,37,26,11,70.2702702702703,29.7297297297297,NA,"Microcystis",5776.317644
1997,14,1997-01-14,1.3,11,37,26,11,70.2702702702703,29.7297297297297,NA,"Peanut",3994.2997
1997,14,1997-01-14,1.3,11,37,26,11,70.2702702702703,29.7297297297297,NA,"Cyclotella",113.0973355
1997,14,1997-01-14,1.3,11,37,26,11,70.2702702702703,29.7297297297297,NA,"unID cyanobacteria (colony)",1104.760206
1997,14,1997-01-14,1.3,11,37,26,11,70.2702702702703,29.7297297297297,NA,"Cyclostephanos invisitatus",188.494
1997,14,1997-01-14,1.3,11,37,26,11,70.2702702702703,29.7297297297297,NA,"Naked Dinoflagellate",7003.540037
1997,14,1997-01-14,1.3,11,37,26,11,70.2702702702703,29.7297297297297,NA,"Cryptomonas",976.177
1997,14,1997-01-14,1.3,11,37,26,11,70.2702702702703,29.7297297297297,NA,"Cf. Komvophoron / Trichormus",1242.168395
1997,14,1997-01-14,1.3,11,37,26,11,70.2702702702703,29.7297297297297,NA,"TotalBiovolume",58814.83928
1997,48,1997-02-17,0.9,24.5,40,26,14,65,35,NA,"Limnothrix",1292.194559
1997,48,1997-02-17,0.9,24.5,40,26,14,65,35,NA,"Microcystis",369.3055543
1997,48,1997-02-17,0.9,24.5,40,26,14,65,35,NA,"Cf. Komvophoron / Trichormus",58.685121
1997,48,1997-02-17,0.9,24.5,40,26,14,65,35,NA,"TotalBiovolume",1720.185234
1997,84,1997-03-25,3.8,31,44,31,13,70.4545454545455,29.5454545454545,0,NA,NA
1997,126,1997-05-06,7.3,NA,NA,NA,NA,NA,NA,1275,"Limnothrix",485.278306
1997,126,1997-05-06,7.3,NA,NA,NA,NA,NA,NA,1275,"Microcystis",852.2435868
1997,126,1997-05-06,7.3,NA,NA,NA,NA,NA,NA,1275,"Cf. Komvophoron / Trichormus",1408.442904
1997,126,1997-05-06,7.3,NA,NA,NA,NA,NA,NA,1275,"Cf. Planktolyngabia",6283.185308
1997,126,1997-05-06,7.3,NA,NA,NA,NA,NA,NA,1275,"Small cocconeis",12669.29705
1997,126,1997-05-06,7.3,NA,NA,NA,NA,NA,NA,1275,"Peanut",934.8361
1997,126,1997-05-06,7.3,NA,NA,NA,NA,NA,NA,1275,"Rhoicosphenia",6568.57089
1997,126,1997-05-06,7.3,NA,NA,NA,NA,NA,NA,1275,"Cyclotella",565.4866775
1997,126,1997-05-06,7.3,NA,NA,NA,NA,NA,NA,1275,"Cyclostephanos invisitatus",94.247
1997,126,1997-05-06,7.3,NA,NA,NA,NA,NA,NA,1275,"Cryptomonad",42366.0818
1997,126,1997-05-06,7.3,NA,NA,NA,NA,NA,NA,1275,"Naked Dinoflagellate",301152.2216
1997,126,1997-05-06,7.3,NA,NA,NA,NA,NA,NA,1275,"Armored Dinoflagellate",180221.813
1997,126,1997-05-06,7.3,NA,NA,NA,NA,NA,NA,1275,"TotalBiovolume",553601.7042
1997,141,1997-05-21,4.5,NA,NA,NA,NA,NA,NA,1818,NA,NA
1997,155,1997-06-04,0.3,NA,NA,NA,NA,NA,NA,934,NA,NA
1997,169,1997-06-18,1,NA,NA,NA,NA,NA,NA,604.8,"Sellaphora",120
1997,169,1997-06-18,1,NA,NA,NA,NA,NA,NA,604.8,"Diatoma mesodon",530.1437603
